date,symbol,spot_price,near_contract,near_contract_price,dominant_contract,dominant_contract_price,near_month,dominant_month,near_basis,dom_basis,near_basis_rate,dom_basis_rate
2025-06-16,BR,11810.0,br2506,11290.0,br2508,11275.0,2506.0,2508.0,-520.0,-535.0,-0.0440304826418289,-0.0453005927180355
2025-06-17,BR,11870.0,br2507,11465.0,br2508,11320.0,2507.0,2508.0,-405.0,-550.0,-0.0341196293176073,-0.046335299073294
2025-06-18,BR,12040.0,br2507,11660.0,br2508,11515.0,2507.0,2508.0,-380.0,-525.0,-0.0315614617940199,-0.0436046511627906
2025-06-19,BR,12040.0,br2507,11735.0,br2508,11605.0,2507.0,2508.0,-305.0,-435.0,-0.0253322259136212,-0.0361295681063122
2025-06-20,BR,12040.0,br2507,11725.0,br2508,11590.0,2507.0,2508.0,-315.0,-450.0,-0.0261627906976744,-0.037375415282392
2025-06-23,BR,12000.0,br2507,11585.0,br2508,11465.0,2507.0,2508.0,-415.0,-535.0,-0.0345833333333333,-0.0445833333333333
2025-06-24,BR,12000.0,br2507,11330.0,br2508,11190.0,2507.0,2508.0,-670.0,-810.0,-0.0558333333333332,-0.0675
2025-06-25,BR,11800.0,br2507,11245.0,br2508,11065.0,2507.0,2508.0,-555.0,-735.0,-0.0470338983050847,-0.0622881355932203
2025-06-26,BR,11800.0,br2507,11225.0,br2508,11090.0,2507.0,2508.0,-575.0,-710.0,-0.048728813559322,-0.0601694915254237
2025-06-27,BR,11800.0,br2507,11305.0,br2508,11210.0,2507.0,2508.0,-495.0,-590.0,-0.0419491525423728,-0.05
2025-06-30,BR,11820.0,br2507,11360.0,br2508,11270.0,2507.0,2508.0,-460.0,-550.0,-0.038917089678511,-0.0465313028764805
2025-07-01,BR,11820.0,br2507,11350.0,br2508,11220.0,2507.0,2508.0,-470.0,-600.0,-0.0397631133671743,-0.0507614213197969
2025-07-02,BR,11820.0,br2507,11390.0,br2508,11230.0,2507.0,2508.0,-430.0,-590.0,-0.0363790186125211,-0.0499153976311336
2025-07-03,BR,11730.0,br2507,11395.0,br2508,11270.0,2507.0,2508.0,-335.0,-460.0,-0.0285592497868713,-0.0392156862745097
2025-07-04,BR,11730.0,br2507,11350.0,br2509,11185.0,2507.0,2509.0,-380.0,-545.0,-0.0323955669224211,-0.046462063086104
2025-07-07,BR,11690.0,br2507,11160.0,br2509,10965.0,2507.0,2509.0,-530.0,-725.0,-0.0453378956372968,-0.0620188195038494
2025-07-08,BR,11690.0,br2507,11200.0,br2509,11130.0,2507.0,2509.0,-490.0,-560.0,-0.0419161676646706,-0.0479041916167665
2025-07-09,BR,11690.0,br2507,11200.0,br2509,11245.0,2507.0,2509.0,-490.0,-445.0,-0.0419161676646706,-0.0380667236954662
2025-07-10,BR,11810.0,br2507,11545.0,br2509,11420.0,2507.0,2509.0,-265.0,-390.0,-0.0224386113463166,-0.0330228619813717
2025-07-11,BR,11850.0,br2507,11750.0,br2509,11585.0,2507.0,2509.0,-100.0,-265.0,-0.0084388185654008,-0.0223628691983122
2025-07-14,BR,11850.0,br2507,11410.0,br2509,11545.0,2507.0,2509.0,-440.0,-305.0,-0.0371308016877637,-0.0257383966244725
2025-07-15,BR,11850.0,br2507,11410.0,br2509,11550.0,2507.0,2509.0,-440.0,-300.0,-0.0371308016877637,-0.0253164556962025
2025-07-16,BR,11850.0,br2508,11470.0,br2509,11420.0,2508.0,2509.0,-380.0,-430.0,-0.0320675105485231,-0.0362869198312236
2025-07-17,BR,11850.0,br2508,11520.0,br2509,11480.0,2508.0,2509.0,-330.0,-370.0,-0.0278481012658228,-0.0312236286919831
2025-07-18,BR,11860.0,br2508,11710.0,br2509,11675.0,2508.0,2509.0,-150.0,-185.0,-0.0126475548060708,-0.0155986509274873
2025-07-21,BR,12070.0,br2508,11910.0,br2509,11895.0,2508.0,2509.0,-160.0,-175.0,-0.0132560066280033,-0.0144987572493786
