date,symbol,spot_price,near_contract,near_contract_price,dominant_contract,dominant_contract_price,near_month,dominant_month,near_basis,dom_basis,near_basis_rate,dom_basis_rate
2025-09-02,BU,0.0,,0.0,,0.0,2509,0,-116.67000000000009,-115.67000000000009,-0.0318190619826709,-0.0315463349578772
2025-09-03,BU,0.0,,0.0,,0.0,2509,0,-133.67000000000007,-128.67000000000007,-0.0364554214041623,-0.0350917862801942
2025-09-04,BU,0.0,,0.0,,0.0,2509,0,-162.67000000000007,-189.67000000000007,-0.0443645051231771,-0.0517281347926047
2025-09-05,BU,0.0,,0.0,,0.0,2509,0,-187.0,-240.0,-0.0509536784741144,-0.0653950953678473
2025-09-08,BU,0.0,,0.0,,0.0,2509,0,-208.67000000000007,-239.67000000000007,-0.0570655815263614,-0.0655432401611302
2025-09-09,BU,0.0,,0.0,,0.0,2509,0,-212.0,-240.0,-0.0579234972677595,-0.0655737704918032
2025-09-10,BU,0.0,,0.0,,0.0,2509,0,-249.33,-216.33,-0.0682473250431797,-0.0592144700861952
2025-09-11,BU,0.0,,0.0,,0.0,2509,0,-230.33,-194.33,-0.0630465903709766,-0.053192566781539
2025-09-12,BU,0.0,,0.0,,0.0,2509,0,-212.0,-232.0,-0.058321870701513,-0.0638239339752406
2025-09-15,BU,0.0,,0.0,,0.0,2509,0,-324.0,-232.0,-0.0892561983471074,-0.0639118457300275
2025-09-16,BU,0.0,,0.0,,0.0,2510,0,-193.0,-205.0,-0.0531680440771349,-0.0564738292011018
2025-09-17,BU,0.0,,0.0,,0.0,2510,0,-182.0,-191.0,-0.0501377410468319,-0.0526170798898071
2025-09-18,BU,0.0,,0.0,,0.0,2510,0,-187.0,-194.0,-0.0515151515151515,-0.0534435261707989
2025-09-19,BU,0.0,,0.0,,0.0,2510,0,-197.0,-205.0,-0.0542699724517906,-0.0564738292011018
2025-09-22,BU,0.0,,0.0,,0.0,2510,0,-195.67000000000007,-202.67000000000007,-0.0541022542836365,-0.0560377363707499
2025-09-23,BU,0.0,,0.0,,0.0,2510,0,-236.33,-246.33,-0.0652245310253275,-0.0679844231687425
2025-09-24,BU,0.0,,0.0,,0.0,2510,0,-210.33,-227.33,-0.0580488114524484,-0.062740628096254
2025-09-25,BU,0.0,,0.0,,0.0,2510,0,-159.32999999999993,-177.32999999999993,-0.0442174322085404,-0.0492128114827118
2025-09-26,BU,0.0,,0.0,,0.0,2510,0,-131.32999999999993,-152.32999999999993,-0.036446842226496,-0.0422747847130293
2025-09-29,BU,0.0,,0.0,,0.0,2510,0,-122.32999999999991,-139.32999999999993,-0.0340436308382474,-0.0387746185293307
2025-09-30,BU,0.0,,0.0,,0.0,2510,0,-139.32999999999993,-156.32999999999993,-0.0388828268677459,-0.0436270173274579
2025-10-09,BU,0.0,,0.0,,0.0,2510,0,-100.0,-194.0,-0.0280112044817927,-0.0543417366946779
2025-10-10,BU,0.0,,0.0,,0.0,2510,0,-105.0,-214.0,-0.0294943820224719,-0.0601123595505618
2025-10-13,BU,0.0,,0.0,,0.0,2510,0,-68.67000000000007,-206.67000000000007,-0.0195269957090088,-0.0587686646742514
2025-10-14,BU,0.0,,0.0,,0.0,2510,0,-46.67000000000007,-350.6700000000001,-0.013271077468173,-0.0997164931597222
2025-10-15,BU,0.0,,0.0,,0.0,2510,0,-13.329999999999927,-334.3299999999999,-0.0038267979203807,-0.0959799961531063
