date,symbol,spot_price,near_contract,near_contract_price,dominant_contract,dominant_contract_price,near_month,dominant_month,near_basis,dom_basis,near_basis_rate,dom_basis_rate
2025-06-16,HC,3170.0,hc2506,3140.0,hc2510,3089.0,2506.0,2510.0,-30.0,-81.0,-0.0094637223974763,-0.025552050473186
2025-06-17,HC,3173.33,hc2507,3118.0,hc2510,3092.0,2507.0,2510.0,-55.32999999999993,-81.32999999999993,-0.0174359426848137,-0.0256292286021309
2025-06-18,HC,3173.33,hc2507,3132.0,hc2510,3099.0,2507.0,2510.0,-41.32999999999993,-74.32999999999993,-0.0130241733447198,-0.0234233439320838
2025-06-19,HC,3173.33,hc2507,3141.0,hc2510,3104.0,2507.0,2510.0,-32.32999999999993,-69.32999999999993,-0.0101880359118023,-0.0218477120249075
2025-06-20,HC,3190.0,hc2507,3151.0,hc2510,3117.0,2507.0,2510.0,-39.0,-73.0,-0.0122257053291535,-0.0228840125391849
2025-06-23,HC,3190.0,hc2507,3143.0,hc2510,3115.0,2507.0,2510.0,-47.0,-75.0,-0.0147335423197492,-0.0235109717868338
2025-06-24,HC,3190.0,hc2507,3132.0,hc2510,3106.0,2507.0,2510.0,-58.0,-84.0,-0.0181818181818181,-0.0263322884012539
2025-06-25,HC,3180.0,hc2507,3121.0,hc2510,3091.0,2507.0,2510.0,-59.0,-89.0,-0.0185534591194969,-0.0279874213836478
2025-06-26,HC,3200.0,hc2507,3126.0,hc2510,3092.0,2507.0,2510.0,-74.0,-108.0,-0.0231249999999999,-0.0337499999999999
2025-06-27,HC,3206.67,hc2507,3143.0,hc2510,3119.0,2507.0,2510.0,-63.67000000000007,-87.67000000000007,-0.0198554887157081,-0.0273398884200744
2025-06-30,HC,3210.0,hc2507,3147.0,hc2510,3134.0,2507.0,2510.0,-63.0,-76.0,-0.019626168224299,-0.0236760124610592
2025-07-01,HC,3206.67,hc2507,3124.0,hc2510,3121.0,2507.0,2510.0,-82.67000000000007,-85.67000000000007,-0.0257806384816647,-0.0267161884447105
2025-07-02,HC,3216.67,hc2507,3175.0,hc2510,3162.0,2507.0,2510.0,-41.67000000000007,-54.67000000000007,-0.0129543907208387,-0.0169958373100131
2025-07-03,HC,3233.33,hc2507,3195.0,hc2510,3193.0,2507.0,2510.0,-38.32999999999993,-40.32999999999993,-0.0118546513965478,-0.0124732087352666
2025-07-04,HC,3273.33,hc2507,3195.0,hc2510,3211.0,2507.0,2510.0,-78.32999999999993,-62.32999999999993,-0.0239297596026064,-0.0190417709183002
2025-07-07,HC,3276.67,hc2507,3195.0,hc2510,3193.0,2507.0,2510.0,-81.67000000000007,-83.67000000000007,-0.024924694888408,-0.0255350706662557
2025-07-08,HC,3276.67,hc2507,3191.0,hc2510,3187.0,2507.0,2510.0,-85.67000000000007,-89.67000000000007,-0.0261454464441033,-0.0273661979997985
2025-07-09,HC,3276.67,hc2507,3176.0,hc2510,3193.0,2507.0,2510.0,-100.67000000000009,-83.67000000000007,-0.0307232647779606,-0.0255350706662557
2025-07-10,HC,3290.0,hc2507,3237.0,hc2510,3233.0,2507.0,2510.0,-53.0,-57.0,-0.0161094224924012,-0.0173252279635258
