date,symbol,spot_price,near_contract,near_contract_price,dominant_contract,dominant_contract_price,near_month,dominant_month,near_basis,dom_basis,near_basis_rate,dom_basis_rate
2025-09-02,M,0.0,,0.0,,0.0,2509,0,-91.0,-48.0,-0.0293170103092783,-0.0154639175257731
2025-09-03,M,0.0,,0.0,,0.0,2509,0,-89.0,-47.0,-0.0286726804123711,-0.0151417525773195
2025-09-04,M,0.0,,0.0,,0.0,2509,0,-80.0,-21.0,-0.0259403372243839,-0.0068093385214007
2025-09-05,M,0.0,,0.0,,0.0,2509,0,-56.0,-26.0,-0.0181582360570687,-0.0084306095979247
2025-09-08,M,0.0,,0.0,,0.0,2509,0,-45.0,3.0,-0.0146293888166449,0.0009752925877763
2025-09-09,M,0.0,,0.0,,0.0,2509,0,-45.0,0.0,-0.0146293888166449,0.0
2025-09-10,M,0.0,,0.0,,0.0,2509,0,-25.0,8.0,-0.0081806282722513,0.0026178010471205
2025-09-11,M,0.0,,0.0,,0.0,2509,0,-29.0,15.0,-0.0094771241830065,0.0049019607843137
2025-09-12,M,0.0,,0.0,,0.0,2509,0,-37.0,27.0,-0.0120915032679738,0.0088235294117646
2025-09-15,M,0.0,,0.0,,0.0,2511,0,-36.0,-7.0,-0.0117724002616088,-0.0022890778286461
2025-09-16,M,0.0,,0.0,,0.0,2511,0,-41.0,-10.0,-0.0134162303664921,-0.0032722513089005
2025-09-17,M,0.0,,0.0,,0.0,2511,0,-60.0,-21.0,-0.0197368421052631,-0.006907894736842
2025-09-18,M,0.0,,0.0,,0.0,2511,0,-44.0,-11.0,-0.0146082337317396,-0.0036520584329349
2025-09-19,M,0.0,,0.0,,0.0,2511,0,-37.0,-8.0,-0.0122841965471447,-0.0026560424966799
2025-09-22,M,0.0,,0.0,,0.0,2511,0,-35.0,-8.0,-0.0115207373271889,-0.0026333113890717
2025-09-23,M,0.0,,0.0,,0.0,2511,0,-64.0,-32.0,-0.0214333556597454,-0.0107166778298727
2025-09-24,M,0.0,,0.0,,0.0,2511,0,-93.0,-66.0,-0.0311244979919679,-0.0220883534136546
2025-09-25,M,0.0,,0.0,,0.0,2511,0,-68.0,-41.0,-0.022651565622918,-0.0136575616255829
2025-09-26,M,0.0,,0.0,,0.0,2511,0,-82.0,-49.0,-0.0273515677118079,-0.0163442294863241
2025-09-29,M,0.0,,0.0,,0.0,2511,0,-82.0,-51.0,-0.0274431057563587,-0.0170682730923694
2025-09-30,M,0.0,,0.0,,0.0,2511,0,-81.0,-55.0,-0.0271084337349397,-0.0184069611780455
2025-10-09,M,0.0,,0.0,,0.0,2511,0,-107.0,-82.0,-0.0354774535809018,-0.0271883289124668
2025-10-10,M,0.0,,0.0,,0.0,2511,0,-109.0,-82.0,-0.0362608117099134,-0.0272787757817698
2025-10-13,M,0.0,,0.0,,0.0,2511,0,-114.0,-96.0,-0.0375989445910289,-0.0316622691292876
2025-10-14,M,0.0,,0.0,,0.0,2511,0,-116.0,-100.0,-0.0385126162018591,-0.0332005312084993
2025-10-15,M,0.0,,0.0,,0.0,2511,0,-120.0,-100.0,-0.0398142003981419,-0.033178500331785
2025-10-16,M,0.0,,0.0,,0.0,2511,0,-117.0,-95.0,-0.0388704318936876,-0.0315614617940199
2025-10-17,M,0.0,,0.0,,0.0,2511,0,-153.0,-128.0,-0.0508305647840531,-0.0425249169435215
2025-10-20,M,0.0,,0.0,,0.0,2511,0,-102.0,-82.0,-0.0342741935483871,-0.0275537634408602
2025-10-21,M,0.0,,0.0,,0.0,2511,0,-100.0,-81.0,-0.0335795836131631,-0.0271994627266621
2025-10-22,M,0.0,,0.0,,0.0,2511,0,-112.0,-92.0,-0.0377867746288799,-0.0310391363022941
2025-10-23,M,0.0,,0.0,,0.0,2511,0,-93.0,-68.0,-0.0311662198391421,-0.0227882037533512
2025-10-24,M,0.0,,0.0,,0.0,2511,0,-75.0,-44.0,-0.0251340482573726,-0.0147453083109919
2025-10-27,M,0.0,,0.0,,0.0,2511,0,-85.0,-50.0,-0.028485254691689,-0.0167560321715817
2025-10-28,M,0.0,,0.0,,0.0,2511,0,-115.0,-66.0,-0.037928759894459,-0.0217678100263851
2025-10-29,M,3032.0,m2511,2930.0,m2601,2974.0,2511,0,-102.0,-58.0,-0.033641160949868,-0.0191292875989446
2025-10-30,M,3028.0,m2511,2925.0,m2601,2981.0,2511,0,-103.0,-47.0,-0.0340158520475561,-0.0155217965653896
2025-10-31,M,3046.0,m2511,2949.0,m2601,3005.0,2511,0,-97.0,-41.0,-0.0318450426789231,-0.0134602757715036
2025-11-03,M,3090.0,m2511,2962.0,m2601,3036.0,2511,0,-128.0,-54.0,-0.0414239482200646,-0.0174757281553398
2025-11-04,M,3088.0,m2511,2956.0,m2601,3028.0,2511,0,-132.0,-60.0,-0.0427461139896373,-0.0194300518134714
2025-11-05,M,0.0,,0.0,,0.0,2511,0,-104.0,-29.0,-0.0338983050847457,-0.0094524119947848
2025-11-06,M,3094.0,m2511,2974.0,m2601,3070.0,2511,2601,-120.0,-24.0,-0.0387847446670975,-0.0077569489334194
2025-11-07,M,3072.0,m2511,2974.0,m2601,3051.0,2511,2601,-98.0,-21.0,-0.0319010416666666,-0.0068359375
2025-11-10,M,3080.0,m2511,2974.0,m2601,3051.0,2511,2601,-106.0,-29.0,-0.0344155844155844,-0.0094155844155844
2025-11-11,M,3080.0,m2511,2974.0,m2601,3058.0,2511,2601,-106.0,-22.0,-0.0344155844155844,-0.0071428571428571
2025-11-12,M,3072.0,m2511,2974.0,m2601,3053.0,2511,2601,-98.0,-19.0,-0.0319010416666666,-0.0061848958333333
2025-11-13,M,3072.0,m2511,2979.0,m2601,3062.0,2511,2601,-93.0,-10.0,-0.0302734375,-0.0032552083333333
2025-11-14,M,3098.0,m2511,2963.0,m2601,3081.0,2511,2601,-135.0,-17.0,-0.04357650096836674,-0.0054874112330536295
