date,symbol,spot_price,near_contract,near_contract_price,dominant_contract,dominant_contract_price,near_month,dominant_month,near_basis,dom_basis,near_basis_rate,dom_basis_rate
2025-06-16,PB,16812.5,pb2506,16840.0,pb2507,16920.0,2506.0,2507.0,27.5,107.5,0.001635687732342,0.0063940520446097
2025-06-17,PB,16800.0,pb2507,16925.0,pb2507,16925.0,2507.0,2507.0,125.0,125.0,0.0074404761904762,0.0074404761904762
2025-06-18,PB,16781.25,pb2507,16835.0,pb2507,16835.0,2507.0,2507.0,53.75,53.75,0.0032029795158285,0.0032029795158285
2025-06-19,PB,16856.25,pb2507,16880.0,pb2507,16880.0,2507.0,2507.0,23.75,23.75,0.0014089729328883,0.0014089729328883
2025-06-20,PB,16812.5,pb2507,16855.0,pb2508,16865.0,2507.0,2508.0,42.5,52.5,0.0025278810408921,0.0031226765799257
2025-06-23,PB,16812.5,pb2507,16870.0,pb2508,16885.0,2507.0,2508.0,57.5,72.5,0.0034200743494423,0.0043122676579925
2025-06-24,PB,16850.0,pb2507,16930.0,pb2508,16940.0,2507.0,2508.0,80.0,90.0,0.004747774480712,0.0053412462908011
2025-06-25,PB,17031.25,pb2507,17105.0,pb2508,17120.0,2507.0,2508.0,73.75,88.75,0.0043302752293576,0.0052110091743118
2025-06-26,PB,17075.0,pb2507,17185.0,pb2508,17205.0,2507.0,2508.0,110.0,130.0,0.0064421669106882,0.0076134699853587
2025-06-27,PB,17072.5,pb2507,17155.0,pb2508,17195.0,2507.0,2508.0,82.5,122.5,0.0048323326987846,0.0071752818860741
2025-06-30,PB,17043.75,pb2507,17100.0,pb2508,17145.0,2507.0,2508.0,56.25,101.25,0.0033003300330032,0.0059405940594059
2025-07-01,PB,17018.75,pb2507,17085.0,pb2508,17135.0,2507.0,2508.0,66.25,116.25,0.0038927653323539,0.0068307014322439
2025-07-02,PB,17010.0,pb2507,17125.0,pb2508,17160.0,2507.0,2508.0,115.0,150.0,0.0067607289829512,0.0088183421516754
2025-07-03,PB,17100.0,pb2507,17220.0,pb2508,17260.0,2507.0,2508.0,120.0,160.0,0.0070175438596491,0.0093567251461987
2025-07-04,PB,17112.5,pb2507,17230.0,pb2508,17270.0,2507.0,2508.0,117.5,157.5,0.0068663257852445,0.0092037983929875
2025-07-07,PB,17050.0,pb2507,17140.0,pb2508,17210.0,2507.0,2508.0,90.0,160.0,0.0052785923753666,0.0093841642228738
2025-07-08,PB,16968.75,pb2507,17065.0,pb2508,17115.0,2507.0,2508.0,96.25,146.25,0.0056721915285451,0.0086187845303866
2025-07-09,PB,17087.5,pb2507,17145.0,pb2508,17200.0,2507.0,2508.0,57.5,112.5,0.0033650329188001,0.0065837600585223
2025-07-10,PB,17093.75,pb2507,17155.0,pb2508,17215.0,2507.0,2508.0,61.25,121.25,0.0035831809872028,0.0070932358318098
2025-07-11,PB,16993.75,pb2507,17165.0,pb2508,17105.0,2507.0,2508.0,171.25,111.25,0.0100772342773078,0.0065465244575211
2025-07-14,PB,16937.5,pb2507,17005.0,pb2508,17060.0,2507.0,2508.0,67.5,122.5,0.0039852398523985,0.0072324723247232
2025-07-15,PB,16925.0,pb2507,16870.0,pb2508,17010.0,2507.0,2508.0,-55.0,85.0,-0.0032496307237813,0.0050221565731167
2025-07-16,PB,16825.0,pb2508,16895.0,pb2508,16895.0,2508.0,2508.0,70.0,70.0,0.0041604754829123,0.0041604754829123
2025-07-17,PB,16762.5,pb2508,16870.0,pb2508,16870.0,2508.0,2508.0,107.5,107.5,0.0064131245339298,0.0064131245339298
2025-07-18,PB,16756.25,pb2508,16815.0,pb2508,16815.0,2508.0,2508.0,58.75,58.75,0.0035061544199925,0.0035061544199925
2025-07-21,PB,16862.5,pb2508,16935.0,pb2508,16935.0,2508.0,2508.0,72.5,72.5,0.0042994810971088,0.0042994810971088
