date,symbol,spot_price,near_contract,near_contract_price,dominant_contract,dominant_contract_price,near_month,dominant_month,near_basis,dom_basis,near_basis_rate,dom_basis_rate
2025-09-02,PF,0.0,,0.0,,0.0,2509,0,-165.21000000000004,-63.21000000000004,-0.0253187253743557,-0.0096870445548878
2025-09-03,PF,0.0,,0.0,,0.0,2509,0,-166.46000000000004,-86.46000000000004,-0.0255445441236499,-0.0132679399551289
2025-09-04,PF,0.0,,0.0,,0.0,2509,0,-207.08,-135.07999999999993,-0.0319219124783415,-0.020822928035418
2025-09-05,PF,0.0,,0.0,,0.0,2509,0,-189.0,-123.0,-0.0293250581846392,-0.0190845616757175
2025-09-08,PF,0.0,,0.0,,0.0,2509,0,-184.33,-124.32999999999991,-0.0285856958313237,-0.0192809611170644
2025-09-09,PF,0.0,,0.0,,0.0,2509,0,-186.83,-114.82999999999991,-0.0289442169662097,-0.0177897791266384
2025-09-10,PF,0.0,,0.0,,0.0,2509,0,-195.5,-101.5,-0.0302467703256749,-0.0157035661793145
2025-09-11,PF,0.0,,0.0,,0.0,2509,0,-199.33,-105.32999999999991,-0.0308020144236192,-0.0162764068591773
2025-09-12,PF,0.0,,0.0,,0.0,2509,0,-225.0,-133.0,-0.0348459036704351,-0.0205978008363016
2025-09-15,PF,0.0,,0.0,,0.0,2510,0,-105.0,-109.0,-0.0162262401483541,-0.0168443826301962
2025-09-16,PF,0.0,,0.0,,0.0,2510,0,-100.34000000000016,-98.34000000000016,-0.0154885356433901,-0.0151798145821305
2025-09-17,PF,0.0,,0.0,,0.0,2510,0,-88.0,-98.0,-0.0135802469135802,-0.0151234567901235
2025-09-18,PF,0.0,,0.0,,0.0,2510,0,-77.88000000000011,-75.88000000000011,-0.0120150326757052,-0.011706480218702
2025-09-19,PF,0.0,,0.0,,0.0,2510,0,-137.17000000000007,-139.17000000000007,-0.0212364746554123,-0.0215461119617536
2025-09-22,PF,0.0,,0.0,,0.0,2510,0,-146.07999999999993,-164.07999999999993,-0.0226759059185852,-0.0254700345230112
2025-09-23,PF,0.0,,0.0,,0.0,2510,0,-162.78999999999996,-170.78999999999996,-0.0254169145280329,-0.0266659796808326
2025-09-24,PF,0.0,,0.0,,0.0,2510,0,-151.21000000000004,-153.21000000000004,-0.0235338611500636,-0.0238451350228241
2025-09-25,PF,0.0,,0.0,,0.0,2510,0,-69.28999999999996,-99.28999999999996,-0.0107805933760574,-0.0154481904504075
2025-09-26,PF,0.0,,0.0,,0.0,2510,0,-91.11999999999988,-97.11999999999988,-0.0141466080433216,-0.0150781230593437
2025-09-29,PF,0.0,,0.0,,0.0,2510,0,-126.13000000000012,-118.13000000000012,-0.0195728515718957,-0.0183314116878461
2025-09-30,PF,0.0,,0.0,,0.0,2510,0,-150.32999999999993,-142.32999999999993,-0.0234292812246252,-0.0221824625603732
2025-10-09,PF,0.0,,0.0,,0.0,2510,0,-161.52000000000044,-197.52000000000044,-0.0251921541225794,-0.0308070473148334
2025-10-10,PF,0.0,,0.0,,0.0,2510,0,-194.9300000000003,-210.9300000000003,-0.0304819599276302,-0.0329839419665266
2025-10-13,PF,0.0,,0.0,,0.0,2510,0,-206.5299999999997,-230.5299999999997,-0.0324399633709414,-0.0362096777993663
2025-10-14,PF,0.0,,0.0,,0.0,2510,0,-235.30000000000013,-275.3000000000002,-0.0370475335758033,-0.0433454568356085
