date,symbol,spot_price,near_contract,near_contract_price,dominant_contract,dominant_contract_price,near_month,dominant_month,near_basis,dom_basis,near_basis_rate,dom_basis_rate
2025-09-02,PP,0.0,,0.0,,0.0,2509,0,-288.0,-202.0,-0.040251572327044,-0.0282320055904962
2025-09-03,PP,0.0,,0.0,,0.0,2509,0,-269.3299999999999,-176.32999999999993,-0.0377301133458385,-0.0247018560363558
2025-09-04,PP,0.0,,0.0,,0.0,2509,0,-283.6700000000001,-191.67000000000007,-0.039831949528692,-0.0269136312129036
2025-09-05,PP,0.0,,0.0,,0.0,2509,0,-281.3299999999999,-162.32999999999993,-0.0395496905106328,-0.0228205355297729
2025-09-08,PP,0.0,,0.0,,0.0,2509,0,-206.33,-163.32999999999993,-0.0290061054386623,-0.0229611166640658
2025-09-09,PP,0.0,,0.0,,0.0,2509,0,-278.3299999999999,-168.32999999999993,-0.039127947107754,-0.0236640223355305
2025-09-10,PP,0.0,,0.0,,0.0,2509,0,-281.3299999999999,-162.32999999999993,-0.0395496905106328,-0.0228205355297729
2025-09-11,PP,0.0,,0.0,,0.0,2509,0,-285.3299999999999,-170.32999999999993,-0.0401120150478045,-0.0239451846041164
2025-09-12,PP,0.0,,0.0,,0.0,2509,0,-251.67000000000007,-196.67000000000007,-0.0354132104065617,-0.0276740020290797
2025-09-15,PP,0.0,,0.0,,0.0,2510,0,-258.6700000000001,-160.67000000000007,-0.0363982005636958,-0.0226083383638188
2025-09-16,PP,0.0,,0.0,,0.0,2510,0,-213.0,-108.0,-0.03,-0.0152112676056338
2025-09-17,PP,0.0,,0.0,,0.0,2510,0,-235.33,-131.32999999999993,-0.0330829583331575,-0.0184625203666918
2025-09-18,PP,0.0,,0.0,,0.0,2510,0,-209.67000000000007,-116.67000000000009,-0.0296492907615881,-0.0164982246060689
2025-09-19,PP,0.0,,0.0,,0.0,2510,0,-204.0,-103.0,-0.029059829059829,-0.0146723646723646
2025-09-22,PP,0.0,,0.0,,0.0,2510,0,-235.0,-125.0,-0.0334757834757835,-0.0178062678062678
2025-09-23,PP,0.0,,0.0,,0.0,2510,0,-211.67000000000007,-111.67000000000009,-0.0304050608546512,-0.0160406913858313
2025-09-24,PP,0.0,,0.0,,0.0,2510,0,-182.0,-75.0,-0.0262059035277177,-0.0107991360691144
2025-09-25,PP,0.0,,0.0,,0.0,2510,0,-189.33,-80.32999999999993,-0.0271505865920586,-0.0115196039768661
2025-09-26,PP,0.0,,0.0,,0.0,2510,0,-178.32999999999993,-73.32999999999993,-0.0255731479795162,-0.0105157794052482
2025-09-29,PP,0.0,,0.0,,0.0,2510,0,-138.0,-21.0,-0.0199421965317918,-0.0030346820809248
2025-09-30,PP,0.0,,0.0,,0.0,2510,0,-162.0,-47.0,-0.0234104046242774,-0.0067919075144509
2025-10-09,PP,0.0,,0.0,,0.0,2510,0,-268.0,-160.0,-0.0387843704775687,-0.0231548480463097
2025-10-10,PP,0.0,,0.0,,0.0,2510,0,-246.67000000000007,-142.67000000000007,-0.0358705594422882,-0.0207469603747162
2025-10-13,PP,0.0,,0.0,,0.0,2510,0,-229.0,-132.0,-0.0334795321637426,-0.019298245614035
2025-10-14,PP,0.0,,0.0,,0.0,2510,0,-254.0,-162.0,-0.0374079528718703,-0.0238586156111929
2025-10-15,PP,0.0,,0.0,,0.0,2510,0,-308.0,-200.0,-0.0453608247422679,-0.0294550810014727
2025-10-16,PP,0.0,,0.0,,0.0,2510,0,-308.0,-192.0,-0.0453608247422679,-0.0282768777614138
2025-10-17,PP,0.0,,0.0,,0.0,2510,0,-335.0,-207.0,-0.0493372606774669,-0.0304860088365243
2025-10-20,PP,0.0,,0.0,,0.0,2510,0,-335.0,-196.0,-0.0493372606774669,-0.0288659793814433
2025-10-21,PP,0.0,,0.0,,0.0,2510,0,-318.3299999999999,-201.33,-0.0469975624988003,-0.0297239319507539
2025-10-22,PP,0.0,,0.0,,0.0,2510,0,-169.0,-133.0,-0.0250741839762611,-0.0197329376854599
2025-10-23,PP,0.0,,0.0,,0.0,2511,0,-148.0,-78.0,-0.0219584569732937,-0.0115727002967359
2025-10-24,PP,0.0,,0.0,,0.0,2511,0,-169.32999999999993,-94.32999999999991,-0.0249995201769291,-0.0139266800820275
2025-10-27,PP,0.0,,0.0,,0.0,2511,0,-169.32999999999993,-91.32999999999991,-0.0249995201769291,-0.0134837664782315
2025-10-28,PP,0.0,,0.0,,0.0,2511,0,-172.32999999999993,-97.32999999999991,-0.0254424337807253,-0.0143695936858236
2025-10-29,PP,6773.33,pp2511,6585.0,pp2601,6665.0,2511,0,-188.33,-108.32999999999991,-0.0278046396676375,-0.0159936102330758
2025-10-30,PP,6810.0,pp2511,6581.0,pp2601,6671.0,2511,0,-229.0,-139.0,-0.0336270190895741,-0.0204111600587371
2025-10-31,PP,6723.33,pp2511,6559.0,pp2601,6631.0,2511,0,-164.32999999999993,-92.32999999999991,-0.0244417572839649,-0.0137327782512534
2025-11-03,PP,6756.67,pp2511,6522.0,pp2601,6603.0,2511,0,-234.67000000000007,-153.67000000000007,-0.0347316059538204,-0.0227434520259239
2025-11-04,PP,6756.67,pp2511,6470.0,pp2601,6565.0,2511,0,-286.6700000000001,-191.67000000000007,-0.0424277047717293,-0.0283675242390112
2025-11-05,PP,0.0,,0.0,,0.0,2511,0,-337.6700000000001,-248.67000000000007,-0.0499758016892937,-0.036803632558642
2025-11-06,PP,6740.0,pp2511,6370.0,pp2601,6452.0,2511,2601,-370.0,-288.0,-0.0548961424332343,-0.0427299703264094
2025-11-07,PP,6706.67,pp2511,6394.0,pp2601,6464.0,2511,2601,-312.6700000000001,-242.67000000000007,-0.0466207521765645,-0.0361833816185975
2025-11-10,PP,6706.67,pp2511,6394.0,pp2601,6463.0,2511,2601,-312.6700000000001,-243.67000000000007,-0.0466207521765645,-0.0363324869122828
2025-11-11,PP,6656.67,pp2511,6393.0,pp2601,6467.0,2511,2601,-263.6700000000001,-189.67000000000007,-0.0396098950376089,-0.0284932255917749
2025-11-12,PP,6556.67,pp2511,6393.0,pp2601,6455.0,2511,2601,-163.67000000000007,-101.67000000000009,-0.0249623665671751,-0.0155063469718622
