date,symbol,spot_price,near_contract,near_contract_price,dominant_contract,dominant_contract_price,near_month,dominant_month,near_basis,dom_basis,near_basis_rate,dom_basis_rate
2025-09-02,PS,0.0,,0.0,,0.0,2509,0,2035.0,1985.0,0.0406999999999999,0.0397
2025-09-03,PS,0.0,,0.0,,0.0,2509,0,2410.0,1910.0,0.0482,0.0382
2025-09-04,PS,0.0,,0.0,,0.0,2509,0,2230.0,2055.0,0.0445999999999999,0.0410999999999999
2025-09-05,PS,0.0,,0.0,,0.0,2509,0,5930.0,4875.0,0.1186,0.0974999999999999
2025-09-08,PS,0.0,,0.0,,0.0,2509,0,5960.0,5595.0,0.1191999999999999,0.1119000000000001
2025-09-09,PS,0.0,,0.0,,0.0,2509,0,5960.0,5320.0,0.1191999999999999,0.1064
2025-09-10,PS,0.0,,0.0,,0.0,2509,0,5575.0,2690.0,0.1114999999999999,0.0538
2025-09-11,PS,0.0,,0.0,,0.0,2509,0,4908.330000000002,2368.3300000000017,0.0968749278371758,0.0467433521879374
2025-09-12,PS,0.0,,0.0,,0.0,2509,0,2258.3300000000017,3063.3300000000017,0.0445722996991908,0.0604604565486541
2025-09-15,PS,0.0,,0.0,,0.0,2510,0,2838.3300000000017,2733.3300000000017,0.0560196673671271,0.0539472990824145
2025-09-16,PS,0.0,,0.0,,0.0,2510,0,4258.330000000002,3963.3300000000017,0.0840459813127645,0.0782236132747622
2025-09-17,PS,0.0,,0.0,,0.0,2510,0,2798.3300000000017,2798.3300000000017,0.0552301937348556,0.0552301937348556
2025-09-18,PS,0.0,,0.0,,0.0,2510,0,1200.0,1160.0,0.0230769230769229,0.0223076923076923
2025-09-19,PS,0.0,,0.0,,0.0,2510,0,1040.0,910.0,0.02,0.0175
2025-09-22,PS,0.0,,0.0,,0.0,2510,0,-110.0,-325.0,-0.0021153846153846,-0.0062499999999999
2025-09-23,PS,0.0,,0.0,,0.0,2510,0,-1665.0,-1830.0,-0.0320192307692307,-0.0351923076923077
2025-09-24,PS,0.0,,0.0,,0.0,2510,0,-610.0,-1090.0,-0.0117307692307692,-0.0209615384615384
2025-09-25,PS,0.0,,0.0,,0.0,2510,0,-405.0,-640.0,-0.0077884615384615,-0.0123076923076923
2025-09-26,PS,0.0,,0.0,,0.0,2510,0,-495.0,-580.0,-0.0095192307692307,-0.0111538461538461
2025-09-29,PS,0.0,,0.0,,0.0,2510,0,-820.0,-1175.0,-0.0157692307692307,-0.0225961538461538
2025-09-30,PS,0.0,,0.0,,0.0,2510,0,-1155.0,-1235.0,-0.0222115384615384,-0.02375
2025-10-09,PS,0.0,,0.0,,0.0,2510,0,-1240.0,-1815.0,-0.0238461538461538,-0.0349038461538461
2025-10-10,PS,0.0,,0.0,,0.0,2510,0,-1230.0,-2085.0,-0.0236538461538461,-0.0400961538461538
2025-10-13,PS,0.0,,0.0,,0.0,2510,0,-3065.0,-3255.0,-0.0589423076923076,-0.0625961538461538
2025-10-14,PS,0.0,,0.0,,0.0,2510,0,-2020.0,-2795.0,-0.0388461538461538,-0.0537499999999999
2025-10-15,PS,0.0,,0.0,,0.0,2510,0,-1245.0,-1195.0,-0.0239423076923076,-0.0229807692307691
2025-10-16,PS,0.0,,0.0,,0.0,2510,0,555.0,2225.0,0.0106730769230769,0.0427884615384615
2025-10-17,PS,0.0,,0.0,,0.0,2510,0,545.0,2780.0,0.0104807692307691,0.0534615384615384
2025-10-20,PS,0.0,,0.0,,0.0,2510,0,345.0,1755.0,0.0066346153846152,0.0337499999999999
2025-10-21,PS,0.0,,0.0,,0.0,2510,0,-65.0,985.0,-0.0012499999999999,0.0189423076923076
2025-10-22,PS,0.0,,0.0,,0.0,2510,0,-1140.0,600.0,-0.0219230769230769,0.0115384615384614
2025-10-23,PS,0.0,,0.0,,0.0,2511,0,-1225.0,1115.0,-0.0235576923076923,0.0214423076923075
2025-10-24,PS,0.0,,0.0,,0.0,2511,0,-1610.0,495.0,-0.0309615384615384,0.0095192307692306
2025-10-27,PS,0.0,,0.0,,0.0,2511,0,-650.0,1510.0,-0.0124999999999999,0.0290384615384615
2025-10-28,PS,0.0,,0.0,,0.0,2511,0,425.0,2595.0,0.008173076923077,0.0499038461538461
2025-10-29,PS,52000.0,PS2511,52740.0,PS2601,55030.0,2511,0,740.0,3030.0,0.0142307692307692,0.0582692307692307
2025-10-30,PS,52000.0,PS2511,52535.0,PS2601,54910.0,2511,0,535.0,2910.0,0.0102884615384615,0.0559615384615383
2025-10-31,PS,52000.0,PS2511,53180.0,PS2601,55965.0,2511,0,1180.0,3965.0,0.0226923076923077,0.0762499999999999
2025-11-03,PS,52000.0,PS2511,51815.0,PS2601,55900.0,2511,0,-185.0,3900.0,-0.0035576923076923,0.0749999999999999
2025-11-04,PS,52000.0,PS2511,52650.0,PS2601,54690.0,2511,0,650.0,2690.0,0.0124999999999999,0.0517307692307691
2025-11-05,PS,0.0,,0.0,,0.0,2511,0,-475.0,1445.0,-0.0091346153846153,0.0277884615384615
2025-11-06,PS,52000.0,PS2511,51125.0,PS2601,53760.0,2511,2601,-875.0,1760.0,-0.0168269230769231,0.0338461538461538
2025-11-07,PS,52000.0,PS2511,50915.0,PS2601,53145.0,2511,2601,-1085.0,1145.0,-0.0208653846153845,0.0220192307692308
2025-11-10,PS,52000.0,PS2511,50920.0,PS2601,53260.0,2511,2601,-1080.0,1260.0,-0.0207692307692307,0.0242307692307692
2025-11-11,PS,52000.0,PS2511,51335.0,PS2601,53230.0,2511,2601,-665.0,1230.0,-0.0127884615384615,0.0236538461538462
2025-11-12,PS,52000.0,PS2511,51335.0,PS2601,52265.0,2511,2601,-665.0,265.0,-0.0127884615384615,0.0050961538461538
2025-11-13,PS,52000.0,PS2511,51335.0,PS2601,53940.0,2511,2601,-665.0,1940.0,-0.0127884615384615,0.0373076923076922
2025-11-14,PS,52000.0,PS2511,51750.0,PS2601,54225.0,2511,2601,-250.0,2225.0,-0.004807692307692291,0.0427884615384615
