date,symbol,spot_price,near_contract,near_contract_price,dominant_contract,dominant_contract_price,near_month,dominant_month,near_basis,dom_basis,near_basis_rate,dom_basis_rate
2025-09-02,SA,0.0,,0.0,,0.0,2509,0,-110.5,10.5,-0.0875247524752474,0.0083168316831683
2025-09-03,SA,0.0,,0.0,,0.0,2509,0,-106.5,14.5,-0.0843564356435643,0.0114851485148514
2025-09-04,SA,0.0,,0.0,,0.0,2509,0,-110.5,6.5,-0.0875247524752474,0.0051485148514851
2025-09-05,SA,0.0,,0.0,,0.0,2509,0,-103.5,25.5,-0.0819801980198019,0.0201980198019802
2025-09-08,SA,0.0,,0.0,,0.0,2509,0,-97.5,23.5,-0.0772277227722771,0.0186138613861386
2025-09-09,SA,0.0,,0.0,,0.0,2509,0,-95.5,24.5,-0.0756435643564356,0.0194059405940594
2025-09-10,SA,0.0,,0.0,,0.0,2509,0,-111.5,8.5,-0.0883168316831682,0.0067326732673267
2025-09-11,SA,0.0,,0.0,,0.0,2509,0,-103.5,23.5,-0.0819801980198019,0.0186138613861386
2025-09-12,SA,0.0,,0.0,,0.0,2509,0,-99.5,23.5,-0.0788118811881187,0.0186138613861386
2025-09-15,SA,0.0,,0.0,,0.0,2510,0,-53.5,35.5,-0.0423762376237624,0.0281188118811881
2025-09-16,SA,0.0,,0.0,,0.0,2510,0,-18.5,74.5,-0.0146534653465346,0.059009900990099
2025-09-17,SA,0.0,,0.0,,0.0,2510,0,-16.5,70.5,-0.013069306930693,0.0558415841584158
2025-09-18,SA,0.0,,0.0,,0.0,2510,0,-35.5,54.5,-0.0281188118811881,0.0431683168316832
2025-09-19,SA,0.0,,0.0,,0.0,2510,0,-39.5,49.5,-0.0312871287128713,0.0392079207920792
2025-09-22,SA,0.0,,0.0,,0.0,2510,0,-43.5,44.5,-0.0344554455445544,0.0352475247524752
2025-09-23,SA,0.0,,0.0,,0.0,2510,0,-62.5,15.5,-0.0495049504950495,0.0122772277227722
2025-09-24,SA,0.0,,0.0,,0.0,2510,0,-49.5,37.5,-0.0392079207920792,0.0297029702970297
2025-09-25,SA,0.0,,0.0,,0.0,2510,0,-40.5,48.5,-0.0320792079207921,0.0384158415841584
2025-09-26,SA,0.0,,0.0,,0.0,2510,0,-50.5,38.5,-0.04,0.0304950495049505
2025-09-29,SA,0.0,,0.0,,0.0,2510,0,-61.5,21.5,-0.0487128712871287,0.017029702970297
2025-09-30,SA,0.0,,0.0,,0.0,2510,0,-78.5,9.5,-0.0621782178217822,0.0075247524752475
2025-10-09,SA,0.0,,0.0,,0.0,2510,0,-99.5,-11.5,-0.0788118811881187,-0.0091089108910891
2025-10-10,SA,0.0,,0.0,,0.0,2510,0,-98.5,-9.5,-0.0780198019801979,-0.0075247524752475
2025-10-13,SA,0.0,,0.0,,0.0,2510,0,-62.569999999999936,24.430000000000064,-0.0513470707468589,0.0200480891536802
2025-10-14,SA,0.0,,0.0,,0.0,2510,0,-71.56999999999994,10.430000000000064,-0.0587327769434664,0.0085592128478462
2025-10-15,SA,0.0,,0.0,,0.0,2510,0,-63.28999999999997,16.710000000000036,-0.052120992514144,0.0137611279019016
2025-10-16,SA,0.0,,0.0,,0.0,2510,0,-76.28999999999996,12.710000000000036,-0.0628268370817514,0.0104670218810993
2025-10-17,SA,0.0,,0.0,,0.0,2510,0,-77.8599999999999,11.1400000000001,-0.0644611130429022,0.009222923186462
2025-10-20,SA,0.0,,0.0,,0.0,2510,0,-65.8599999999999,20.1400000000001,-0.0545261868097295,0.0166741178613416
2025-10-21,SA,0.0,,0.0,,0.0,2510,0,-74.56999999999994,3.430000000000064,-0.0619573435695471,0.0028498550146647
2025-10-22,SA,0.0,,0.0,,0.0,2510,0,-68.56999999999994,16.430000000000064,-0.0569721744476847,0.0136510547787001
2025-10-23,SA,0.0,,0.0,,0.0,2511,0,-47.71000000000004,22.289999999999964,-0.0395700458650919,0.0184870325368455
2025-10-24,SA,0.0,,0.0,,0.0,2511,0,-44.71000000000004,23.289999999999964,-0.0370818853621518,0.0193164193711588
2025-10-27,SA,0.0,,0.0,,0.0,2511,0,-40.0,29.0,-0.0330578512396694,0.0239669421487602
2025-10-28,SA,0.0,,0.0,,0.0,2511,0,-34.0,35.0,-0.028099173553719,0.0289256198347107
2025-10-29,SA,1210.0,SA511,1170.0,SA601,1249.0,2511,0,-40.0,39.0,-0.0330578512396694,0.0322314049586776
2025-10-30,SA,1212.14,SA511,1161.0,SA601,1242.0,2511,0,-51.1400000000001,29.8599999999999,-0.0421898460573861,0.0246341181711682
2025-10-31,SA,1212.14,SA511,1147.0,SA601,1233.0,2511,0,-65.1400000000001,20.8599999999999,-0.053739667035161,0.0172092332568845
2025-11-03,SA,1204.29,SA511,1128.0,SA601,1210.0,2511,0,-76.28999999999996,5.710000000000036,-0.0633485290087935,0.0047413828895033
2025-11-04,SA,1203.57,SA511,1114.0,SA601,1194.0,2511,0,-89.56999999999994,-9.569999999999936,-0.0744202663742034,-0.0079513447493705
2025-11-05,SA,0.0,,0.0,,0.0,2511,0,-85.56999999999994,-6.569999999999936,-0.0710968202929617,-0.0054587601884393
2025-11-06,SA,1203.57,SA511,1114.0,SA601,1201.0,2511,2601,-89.56999999999994,-2.5699999999999363,-0.0744202663742034,-0.0021353141071976
2025-11-07,SA,1206.43,SA511,1121.0,SA601,1208.0,2511,2601,-85.43000000000006,1.5699999999999363,-0.0708122311282047,0.001301360211533
2025-11-10,SA,1207.86,SA511,1120.0,SA601,1211.0,2511,2601,-87.8599999999999,3.1400000000001,-0.0727402182372128,0.0025996390310136
2025-11-11,SA,1212.14,SA511,1135.0,SA601,1225.0,2511,2601,-77.1400000000001,12.8599999999999,-0.0636395135875395,0.0106093355552987
2025-11-12,SA,1211.43,SA511,1139.0,SA601,1216.0,2511,2601,-72.43000000000006,4.569999999999936,-0.0597888445886267,0.003772401211791
2025-11-13,SA,1214.29,SA511,1143.0,SA601,1229.0,2511,2601,-71.28999999999996,14.710000000000036,-0.0587092045557485,0.0121140748915005
2025-11-14,SA,1213.57,SA511,1146.0,SA601,1229.0,2511,2601,-67.56999999999994,15.430000000000064,-0.05567870003378461,0.012714552930609635
