date,symbol,spot_price,near_contract,near_contract_price,dominant_contract,dominant_contract_price,near_month,dominant_month,near_basis,dom_basis,near_basis_rate,dom_basis_rate
2025-06-16,SN,265350.0,sn2506,264410.0,sn2507,264530.0,2506.0,2507.0,-940.0,-820.0,-0.0035424910495571,-0.0030902581496137
2025-06-17,SN,264275.0,sn2507,264260.0,sn2507,264260.0,2507.0,2507.0,-15.0,-15.0,-5.675905779967128e-05,-5.675905779967128e-05
2025-06-18,SN,264275.0,sn2507,263440.0,sn2507,263440.0,2507.0,2507.0,-835.0,-835.0,-0.0031595875508466,-0.0031595875508466
2025-06-19,SN,264462.5,sn2507,263730.0,sn2507,263730.0,2507.0,2507.0,-732.5,-732.5,-0.0027697688708229,-0.0027697688708229
2025-06-20,SN,263350.0,sn2507,260910.0,sn2507,260910.0,2507.0,2507.0,-2440.0,-2440.0,-0.0092652363774444,-0.0092652363774444
2025-06-23,SN,261975.0,sn2507,263020.0,sn2507,263020.0,2507.0,2507.0,1045.0,1045.0,0.0039889302414353,0.0039889302414353
2025-06-24,SN,263612.5,sn2507,263190.0,sn2508,263140.0,2507.0,2508.0,-422.5,-472.5,-0.0016027312817108,-0.0017924036227416
2025-06-25,SN,262250.0,sn2507,262150.0,sn2508,262240.0,2507.0,2508.0,-100.0,-10.0,-0.0003813155386082,-3.813155386078737e-05
2025-06-26,SN,265425.0,sn2507,266610.0,sn2508,266690.0,2507.0,2508.0,1185.0,1265.0,0.0044645380050862,0.0047659414147123
2025-06-27,SN,269425.0,sn2507,269490.0,sn2508,269730.0,2507.0,2508.0,65.0,305.0,0.0002412545235224,0.0011320404565278
2025-06-30,SN,267487.5,sn2507,267860.0,sn2508,268140.0,2507.0,2508.0,372.5,652.5,0.001392588438712,0.0024393663255293
2025-07-01,SN,266637.5,sn2507,266880.0,sn2508,267340.0,2507.0,2508.0,242.5,702.5,0.0009094744737705,0.0026346631662839
2025-07-02,SN,268537.5,sn2507,269020.0,sn2508,269300.0,2507.0,2508.0,482.5,762.5,0.0017967695387051,0.0028394544523577
