date,symbol,spot_price,near_contract,near_contract_price,dominant_contract,dominant_contract_price,near_month,dominant_month,near_basis,dom_basis,near_basis_rate,dom_basis_rate
2025-06-16,SP,6183.33,sp2506,5288.0,sp2509,5210.0,2506.0,2509.0,-895.3299999999999,-973.33,-0.1447973826400984,-0.1574119446964661
2025-06-17,SP,6140.0,sp2507,5222.0,sp2509,5210.0,2507.0,2509.0,-918.0,-930.0,-0.1495114006514658,-0.1514657980456025
2025-06-18,SP,6116.67,sp2507,5232.0,sp2509,5230.0,2507.0,2509.0,-884.6700000000001,-886.6700000000001,-0.1446326187288181,-0.1449595940274691
2025-06-19,SP,6090.0,sp2507,5248.0,sp2509,5254.0,2507.0,2509.0,-842.0,-836.0,-0.1382594417077175,-0.1372742200328407
2025-06-20,SP,6083.33,sp2507,5190.0,sp2509,5192.0,2507.0,2509.0,-893.3299999999999,-891.3299999999999,-0.1468488475884096,-0.1465200802849755
2025-06-23,SP,6083.33,sp2507,5300.0,sp2509,5328.0,2507.0,2509.0,-783.3299999999999,-755.3299999999999,-0.128766645899532,-0.124163903651454
2025-06-24,SP,6066.67,sp2507,5166.0,sp2509,5174.0,2507.0,2509.0,-900.6700000000001,-892.6700000000001,-0.1484620063395569,-0.1471433257454254
2025-06-25,SP,6000.0,sp2507,5074.0,sp2509,5080.0,2507.0,2509.0,-926.0,-920.0,-0.1543333333333333,-0.1533333333333333
2025-06-26,SP,5983.33,sp2507,5062.0,sp2509,5070.0,2507.0,2509.0,-921.33,-913.33,-0.1539828155893122,-0.1526457674906782
2025-06-27,SP,5983.33,sp2507,5082.0,sp2509,5088.0,2507.0,2509.0,-901.33,-895.3299999999999,-0.1506401953427272,-0.1496374092687517
2025-06-30,SP,5950.0,sp2507,5048.0,sp2509,5066.0,2507.0,2509.0,-902.0,-884.0,-0.1515966386554621,-0.1485714285714285
2025-07-01,SP,5950.0,sp2507,5024.0,sp2509,5044.0,2507.0,2509.0,-926.0,-906.0,-0.1556302521008403,-0.1522689075630252
2025-07-02,SP,5950.0,sp2507,5026.0,sp2509,5048.0,2507.0,2509.0,-924.0,-902.0,-0.1552941176470588,-0.1515966386554621
