date,symbol,spot_price,near_contract,near_contract_price,dominant_contract,dominant_contract_price,near_month,dominant_month,near_basis,dom_basis,near_basis_rate,dom_basis_rate
2025-06-16,V,4620.0,v2506,4693.0,v2509,4827.0,2506.0,2509.0,73.0,207.0,0.0158008658008657,0.0448051948051948
2025-06-17,V,4649.0,v2507,4771.0,v2509,4838.0,2507.0,2509.0,122.0,189.0,0.0262422026242201,0.0406539040653903
2025-06-18,V,4665.0,v2507,4811.0,v2509,4876.0,2507.0,2509.0,146.0,211.0,0.0312968917470524,0.0452304394426581
2025-06-19,V,4646.0,v2507,4822.0,v2509,4889.0,2507.0,2509.0,176.0,243.0,0.0378820490744726,0.0523030563925956
2025-06-20,V,4677.0,v2507,4838.0,v2509,4910.0,2507.0,2509.0,161.0,233.0,0.0344237759247381,0.0498182595680991
2025-06-23,V,4669.0,v2507,4838.0,v2509,4907.0,2507.0,2509.0,169.0,238.0,0.0361961876204754,0.050974512743628
2025-06-24,V,4635.0,v2507,4769.0,v2509,4842.0,2507.0,2509.0,134.0,207.0,0.0289104638619202,0.0446601941747573
2025-06-25,V,4661.0,v2507,4782.0,v2509,4850.0,2507.0,2509.0,121.0,189.0,0.0259600944003433,0.0405492383608667
2025-06-26,V,4655.0,v2507,4794.0,v2509,4863.0,2507.0,2509.0,139.0,208.0,0.029860365198711,0.0446831364124598
2025-06-27,V,4673.0,v2507,4847.0,v2509,4911.0,2507.0,2509.0,174.0,238.0,0.0372351808260218,0.0509308795206504
2025-06-30,V,4658.0,v2507,4853.0,v2509,4924.0,2507.0,2509.0,195.0,266.0,0.0418634607127521,0.0571060541004722
2025-07-01,V,4597.0,v2507,4767.0,v2509,4839.0,2507.0,2509.0,170.0,242.0,0.0369806395475309,0.0526430280617793
2025-07-02,V,4654.0,v2507,4819.0,v2509,4877.0,2507.0,2509.0,165.0,223.0,0.0354533734422002,0.0479157713794584
2025-07-03,V,4693.0,v2507,4820.0,v2509,4907.0,2507.0,2509.0,127.0,214.0,0.0270615810782015,0.0455998295333475
2025-07-04,V,4678.0,v2507,4849.0,v2509,4919.0,2507.0,2509.0,171.0,241.0,0.0365540829414279,0.0515177426250534
2025-07-07,V,4651.0,v2507,4818.0,v2509,4891.0,2507.0,2509.0,167.0,240.0,0.0359062567189851,0.0516018060632121
2025-07-08,V,4648.0,v2507,4812.0,v2509,4886.0,2507.0,2509.0,164.0,238.0,0.0352839931153183,0.0512048192771084
2025-07-09,V,4688.0,v2507,4839.0,v2509,4929.0,2507.0,2509.0,151.0,241.0,0.0322098976109215,0.0514078498293515
2025-07-10,V,4768.0,v2507,4926.0,v2509,5005.0,2507.0,2509.0,158.0,237.0,0.0331375838926173,0.0497063758389262
2025-07-11,V,4733.0,v2507,4941.0,v2509,5013.0,2507.0,2509.0,208.0,280.0,0.04394675681386,0.0591590957109655
2025-07-14,V,4720.0,v2507,4837.0,v2509,4985.0,2507.0,2509.0,117.0,265.0,0.0247881355932202,0.05614406779661
2025-07-15,V,4745.0,v2508,4949.0,v2509,4991.0,2508.0,2509.0,204.0,246.0,0.0429926238145417,0.0518440463645943
2025-07-16,V,4736.0,v2508,4908.0,v2509,4950.0,2508.0,2509.0,172.0,214.0,0.0363175675675675,0.0451858108108107
2025-07-17,V,4710.0,v2508,4906.0,v2509,4944.0,2508.0,2509.0,196.0,234.0,0.0416135881104033,0.0496815286624203
2025-07-18,V,4712.0,v2508,4921.0,v2509,4957.0,2508.0,2509.0,209.0,245.0,0.0443548387096774,0.0519949066213922
2025-07-21,V,4837.0,v2508,5030.0,v2509,5073.0,2508.0,2509.0,193.0,236.0,0.0399007649369442,0.0487905726690096
2025-07-22,V,4911.0,v2508,5145.0,v2509,5186.0,2508.0,2509.0,234.0,275.0,0.0476481368356749,0.0559967420077376
2025-07-23,V,4907.0,v2508,5169.0,v2509,5194.0,2508.0,2509.0,262.0,287.0,0.0533931118809862,0.0584878744650498
