date,symbol,spot_price,near_contract,near_contract_price,dominant_contract,dominant_contract_price,near_month,dominant_month,near_basis,dom_basis,near_basis_rate,dom_basis_rate
2025-09-02,Y,0.0,,0.0,,0.0,2509,0,-18.0,-64.0,-0.0021357380161366,-0.007593735168486
2025-09-03,Y,0.0,,0.0,,0.0,2509,0,18.0,-70.0,0.0021332069210713,-0.0082958046930552
2025-09-04,Y,0.0,,0.0,,0.0,2509,0,-18.0,-80.0,-0.0021357380161366,-0.0094921689606074
2025-09-05,Y,0.0,,0.0,,0.0,2509,0,-108.0,-128.0,-0.0126641651031894,-0.0150093808630393
2025-09-08,Y,0.0,,0.0,,0.0,2509,0,-68.0,-80.0,-0.0080113100848255,-0.0094250706880301
2025-09-09,Y,0.0,,0.0,,0.0,2509,0,-202.0,-70.0,-0.0237983034872761,-0.0082469368520263
2025-09-10,Y,0.0,,0.0,,0.0,2509,0,46.0,-46.0,0.0054971319311662,-0.0054971319311662
2025-09-11,Y,0.0,,0.0,,0.0,2509,0,-140.0,-116.0,-0.016650808753568,-0.0137963843958135
2025-09-12,Y,0.0,,0.0,,0.0,2509,0,0.0,-62.0,0.0,-0.0073827101690878
2025-09-15,Y,0.0,,0.0,,0.0,2511,0,-64.0,-92.0,-0.0075757575757575,-0.0108901515151514
2025-09-16,Y,0.0,,0.0,,0.0,2511,0,-62.0,-90.0,-0.0072872590503055,-0.0105782792665726
2025-09-17,Y,0.0,,0.0,,0.0,2511,0,-8.0,-26.0,-0.0009469696969697,-0.0030776515151514
2025-09-18,Y,0.0,,0.0,,0.0,2511,0,-50.0,-52.0,-0.0059822924144532,-0.0062215841110313
2025-09-19,Y,0.0,,0.0,,0.0,2511,0,-58.0,-72.0,-0.0068981921979067,-0.0085632730732635
2025-09-22,Y,0.0,,0.0,,0.0,2511,0,-74.0,-102.0,-0.0087573964497041,-0.0120710059171598
2025-09-23,Y,0.0,,0.0,,0.0,2511,0,-22.0,-14.0,-0.0026993865030674,-0.0017177914110428
2025-09-24,Y,0.0,,0.0,,0.0,2511,0,-78.0,-82.0,-0.0095377842993397,-0.0100269014428955
2025-09-25,Y,0.0,,0.0,,0.0,2511,0,-90.0,-98.0,-0.0108721913505677,-0.0118386083595071
2025-09-26,Y,0.0,,0.0,,0.0,2511,0,-56.0,-66.0,-0.0067813029789295,-0.0079922499394526
2025-09-29,Y,0.0,,0.0,,0.0,2511,0,-62.0,-74.0,-0.0075352455031599,-0.0089936801166747
2025-09-30,Y,0.0,,0.0,,0.0,2511,0,-90.0,-104.0,-0.0109515697249938,-0.0126551472377707
2025-10-09,Y,0.0,,0.0,,0.0,2511,0,-222.0,-218.0,-0.0260808270676691,-0.0256109022556391
2025-10-10,Y,0.0,,0.0,,0.0,2511,0,-166.0,-168.0,-0.01954780970325,-0.0197833254828073
2025-10-13,Y,0.0,,0.0,,0.0,2511,0,-178.0,-180.0,-0.0210352162609311,-0.021271567005436
2025-10-14,Y,0.0,,0.0,,0.0,2511,0,-170.0,-172.0,-0.0201374081971097,-0.0203743188817815
2025-10-15,Y,0.0,,0.0,,0.0,2511,0,-186.0,-188.0,-0.0220588235294117,-0.0222960151802656
2025-10-16,Y,0.0,,0.0,,0.0,2511,0,-194.0,-190.0,-0.0229803364131722,-0.0225065150438285
2025-10-17,Y,0.0,,0.0,,0.0,2511,0,-180.0,-166.0,-0.0212967345007099,-0.0196403218173213
2025-10-20,Y,0.0,,0.0,,0.0,2511,0,-210.0,-190.0,-0.0247000705716301,-0.0223476828981415
2025-10-21,Y,0.0,,0.0,,0.0,2511,0,-198.0,-172.0,-0.0233160621761657,-0.0202543570419218
2025-10-22,Y,0.0,,0.0,,0.0,2511,0,-228.0,-196.0,-0.0270078180525942,-0.0232172470978441
2025-10-23,Y,0.0,,0.0,,0.0,2511,0,-202.0,-176.0,-0.0240992603197327,-0.0209973753280839
2025-10-24,Y,0.0,,0.0,,0.0,2511,0,-240.0,-206.0,-0.0285986653956148,-0.0245471877979027
2025-10-27,Y,0.0,,0.0,,0.0,2511,0,-256.0,-196.0,-0.0303965803847067,-0.023272381857041
2025-10-28,Y,0.0,,0.0,,0.0,2511,0,-238.0,-178.0,-0.0283941780004771,-0.0212359818659031
2025-10-29,Y,8322.0,y2511,8026.0,y2601,8094.0,2511,0,-296.0,-228.0,-0.0355683729872626,-0.0273972602739726
