date,value,增减
2025-05-06,69058,0.0
2025-05-07,68858,-200.0
2025-05-08,66106,-2752.0
2025-05-09,65013,-1093.0
2025-05-12,62114,-2899.0
2025-05-13,61340,-774.0
2025-05-14,62446,1106.0
2025-05-15,63843,1397.0
2025-05-16,62820,-1023.0
2025-05-19,62497,-323.0
2025-05-20,61146,-1351.0
2025-05-21,59521,-1625.0
2025-05-22,58422,-1099.0
2025-05-23,56070,-2352.0
2025-05-26,55342,-728.0
2025-05-27,54567,-775.0
2025-05-28,53542,-1025.0
2025-05-29,51819,-1723.0
2025-05-30,51118,-701.0
2025-06-03,50894,-224.0
2025-06-04,48989,-1905.0
2025-06-05,48141,-848.0
2025-06-06,47792,-349.0
2025-06-09,47718,-74.0
2025-06-10,47543,-175.0
2025-06-11,47468,-75.0
2025-06-12,46344,-1124.0
2025-06-13,46193,-151.0
2025-06-16,57178,10985.0
2025-06-17,59457,2279.0
2025-06-18,56683,-2774.0
2025-06-19,53829,-2854.0
2025-06-20,51129,-2700.0
2025-06-23,48422,-2707.0
2025-06-24,46041,-2381.0
2025-06-25,44421,-1620.0
2025-06-26,42869,-1552.0
2025-06-27,34390,-8479.0
2025-06-30,28730,-5660.0
2025-07-01,28680,-50.0
2025-07-02,28456,-224.0
2025-07-03,28257,-199.0
2025-07-04,38485,10228.0
2025-07-07,45478,6993.0
2025-07-08,47218,1740.0
2025-07-09,47818,600.0
2025-07-10,50045,2227.0
2025-07-11,51980,1935.0
2025-07-14,53842,1862.0
2025-07-15,69828,15986.0
2025-07-16,68928,-900.0
2025-07-17,68049,-879.0
2025-07-18,66548,-1501.0
2025-07-21,63744,-2804.0
2025-07-22,60884,-2860.0
2025-07-23,57723,-3161.0
2025-07-24,55673,-2050.0
2025-07-25,54675,-998.0
2025-07-28,53598,-1077.0
2025-07-29,53074,-524.0
2025-07-30,51217,-1857.0
2025-07-31,49169,-2048.0
2025-08-01,48658,-511.0
2025-08-04,46649,-2009.0
2025-08-05,44287,-2362.0
2025-08-06,42662,-1625.0
2025-08-07,42031,-631.0
2025-08-08,43599,1568.0
2025-08-11,48332,4733.0
2025-08-12,48710,378.0
2025-08-13,55116,6406.0
2025-08-14,57946,2830.0
2025-08-15,65191,7245.0
2025-08-18,65492,301.0
2025-08-19,65467,-25.0
2025-08-20,62938,-2529.0
2025-08-21,59890,-3048.0
2025-08-22,57144,-2746.0
2025-08-25,56670,-474.0
2025-08-26,56274,-396.0
2025-08-27,57351,1077.0
2025-08-28,57275,-76.0
2025-08-29,58629,1354.0
2025-09-01,58529,-100.0
2025-09-02,58654,125.0
2025-09-03,59557,903.0
2025-09-04,59583,26.0
2025-09-05,59961,378.0
2025-09-08,64533,4572.0
2025-09-09,64459,-74.0
2025-09-10,64937,478.0
2025-09-11,65734,797.0
2025-09-12,72469,6735.0
2025-09-15,75085,2616.0
2025-09-16,75734,649.0
2025-09-17,74465,-1269.0
2025-09-18,74465,0.0
2025-09-19,71959,-2506.0
