date,value,增减
2025-05-06,51120,0.0
2025-05-07,51120,0.0
2025-05-08,51120,0.0
2025-05-09,51120,0.0
2025-05-12,44390,-6730.0
2025-05-13,39620,-4770.0
2025-05-14,38620,-1000.0
2025-05-15,35950,-2670.0
2025-05-16,28950,-7000.0
2025-05-19,28950,0.0
2025-05-20,28950,0.0
2025-05-21,28950,0.0
2025-05-22,28950,0.0
2025-05-23,28950,0.0
2025-05-26,28950,0.0
2025-05-27,28950,0.0
2025-05-28,28950,0.0
2025-05-29,28950,0.0
2025-05-30,28950,0.0
2025-06-03,28950,0.0
2025-06-04,28950,0.0
2025-06-05,28950,0.0
2025-06-06,28950,0.0
2025-06-09,28950,0.0
2025-06-10,24750,-4200.0
2025-06-11,24750,0.0
2025-06-12,24750,0.0
2025-06-13,24750,0.0
2025-06-16,24750,0.0
2025-06-17,24750,0.0
2025-06-18,24750,0.0
2025-06-19,24750,0.0
2025-06-20,22750,-2000.0
2025-06-23,22750,0.0
2025-06-24,22750,0.0
2025-06-25,26710,3960.0
2025-06-26,116370,89660.0
2025-06-27,116370,0.0
2025-06-30,116370,0.0
2025-07-01,116370,0.0
2025-07-02,116370,0.0
2025-07-03,111370,-5000.0
2025-07-04,101370,-10000.0
2025-07-07,101370,0.0
2025-07-08,101370,0.0
2025-07-09,101370,0.0
2025-07-10,101370,0.0
2025-07-11,91640,-9730.0
2025-07-14,91640,0.0
2025-07-15,91640,0.0
2025-07-16,91640,0.0
2025-07-17,87140,-4500.0
2025-07-18,87140,0.0
2025-07-21,87140,0.0
2025-07-22,113980,26840.0
2025-07-23,113980,0.0
2025-07-24,110980,-3000.0
2025-07-25,110980,0.0
2025-07-28,110980,0.0
2025-07-29,110980,0.0
2025-07-30,110980,0.0
2025-07-31,110980,0.0
2025-08-01,110980,0.0
2025-08-04,110980,0.0
2025-08-05,110980,0.0
2025-08-06,107710,-3270.0
2025-08-07,92710,-15000.0
2025-08-08,92710,0.0
2025-08-11,92710,0.0
2025-08-12,92710,0.0
2025-08-13,92710,0.0
2025-08-14,80710,-12000.0
2025-08-15,80710,0.0
2025-08-18,80710,0.0
2025-08-19,80710,0.0
2025-08-20,80710,0.0
2025-08-21,73710,-7000.0
2025-08-22,73710,0.0
2025-08-25,73710,0.0
2025-08-26,100310,26600.0
2025-08-27,119580,19270.0
2025-08-28,119580,0.0
2025-08-29,119580,0.0
2025-09-01,119580,0.0
2025-09-02,119580,0.0
2025-09-03,108300,-11280.0
2025-09-04,108300,0.0
2025-09-05,108300,0.0
2025-09-08,93300,-15000.0
2025-09-09,101500,8200.0
2025-09-10,101500,0.0
2025-09-11,101500,0.0
2025-09-12,101500,0.0
2025-09-15,101500,0.0
2025-09-16,101500,0.0
2025-09-17,127140,25640.0
2025-09-18,127140,0.0
2025-09-19,127140,0.0
