date,value,增减
2025-05-23,3,0.0
2025-05-26,3,0.0
2025-05-27,18,15.0
2025-05-28,18,0.0
2025-05-29,18,0.0
2025-05-30,0,-18.0
2025-07-01,55,55.0
2025-07-02,147,92.0
2025-07-03,147,0.0
2025-07-04,150,3.0
2025-07-07,153,3.0
2025-07-08,81,-72.0
2025-07-09,53,-28.0
2025-07-10,7,-46.0
2025-07-11,24,17.0
2025-07-14,24,0.0
2025-07-15,0,-24.0
2025-07-29,3,3.0
2025-07-30,3,0.0
2025-07-31,0,-3.0
2025-08-01,22,22.0
2025-08-04,25,3.0
2025-08-05,8,-17.0
2025-08-06,13,5.0
2025-08-07,17,4.0
2025-08-08,6,-11.0
2025-08-11,2,-4.0
2025-08-12,0,-2.0
2025-08-14,3,3.0
2025-08-15,3,0.0
2025-08-18,0,-3.0
