date,value,增减
2025-05-13,13,0.0
2025-05-14,13,0.0
2025-05-15,13,0.0
2025-05-16,13,0.0
2025-05-19,13,0.0
2025-05-20,13,0.0
2025-05-21,13,0.0
2025-05-22,13,0.0
2025-05-23,213,200.0
2025-05-26,213,0.0
2025-05-27,213,0.0
2025-05-28,213,0.0
2025-05-29,213,0.0
2025-05-30,213,0.0
2025-06-03,213,0.0
2025-06-04,213,0.0
2025-06-05,213,0.0
2025-06-06,413,200.0
2025-06-09,413,0.0
2025-06-10,413,0.0
2025-06-11,413,0.0
2025-06-12,413,0.0
2025-06-13,413,0.0
2025-06-16,413,0.0
2025-06-17,413,0.0
2025-06-18,413,0.0
2025-06-19,413,0.0
2025-06-20,413,0.0
2025-06-23,413,0.0
2025-06-24,513,100.0
2025-06-25,513,0.0
2025-06-26,513,0.0
2025-06-27,513,0.0
2025-06-30,513,0.0
2025-07-01,513,0.0
2025-07-02,524,11.0
2025-07-03,512,-12.0
2025-07-04,498,-14.0
2025-07-07,479,-19.0
2025-07-08,455,-24.0
2025-07-09,445,-10.0
2025-07-10,405,-40.0
2025-07-11,370,-35.0
2025-07-14,305,-65.0
2025-07-15,300,-5.0
2025-07-16,300,0.0
2025-07-17,290,-10.0
2025-07-18,635,345.0
2025-07-21,613,-22.0
2025-07-22,1109,496.0
2025-07-23,1097,-12.0
2025-07-24,1090,-7.0
2025-07-25,1330,240.0
2025-07-28,1312,-18.0
2025-07-29,1282,-30.0
2025-07-30,1110,-172.0
2025-07-31,0,-1110.0
2025-08-14,528,528.0
2025-08-15,528,0.0
2025-08-18,528,0.0
2025-08-19,528,0.0
2025-08-20,528,0.0
2025-08-21,858,330.0
2025-08-22,858,0.0
2025-08-25,858,0.0
2025-08-26,858,0.0
2025-08-27,858,0.0
2025-08-28,858,0.0
2025-08-29,400,-458.0
2025-09-01,100,-300.0
2025-09-02,110,10.0
2025-09-03,110,0.0
2025-09-04,110,0.0
2025-09-05,108,-2.0
2025-09-08,106,-2.0
2025-09-09,84,-22.0
2025-09-10,262,178.0
2025-09-11,480,218.0
2025-09-12,480,0.0
2025-09-15,490,10.0
2025-09-16,481,-9.0
2025-09-17,471,-10.0
2025-09-18,446,-25.0
2025-09-19,441,-5.0
