date,value,change,增减
2025-05-06,705,0.0,
2025-05-07,705,0.0,
2025-05-08,705,0.0,
2025-05-09,705,0.0,
2025-05-12,704,-1.0,
2025-05-13,701,-3.0,
2025-05-14,701,0.0,
2025-05-15,701,0.0,
2025-05-16,696,-5.0,
2025-05-19,678,-18.0,
2025-05-20,678,0.0,
2025-05-21,663,-15.0,
2025-05-22,663,0.0,
2025-05-23,663,0.0,
2025-05-26,700,37.0,
2025-05-27,490,-210.0,
2025-05-28,450,-40.0,
2025-05-29,450,0.0,
2025-05-30,0,-450.0,
2025-06-06,475,475.0,
2025-06-09,475,0.0,
2025-06-10,525,50.0,
2025-06-11,525,0.0,
2025-06-12,750,225.0,
2025-06-13,750,0.0,
2025-06-16,750,0.0,
2025-06-17,750,0.0,
2025-06-18,750,0.0,
2025-06-19,750,0.0,
2025-06-20,750,0.0,
2025-06-23,750,0.0,
2025-06-24,750,0.0,
2025-06-25,750,0.0,
2025-06-26,750,0.0,
2025-06-27,750,0.0,
2025-06-30,825,75.0,
2025-07-01,825,0.0,
2025-07-02,450,-375.0,
2025-07-03,450,0.0,
2025-07-04,450,0.0,
2025-07-07,447,-3.0,
2025-07-08,447,0.0,
2025-07-09,447,0.0,
2025-07-10,447,0.0,
2025-07-11,447,0.0,
2025-07-14,444,-3.0,
2025-07-15,444,0.0,
2025-07-16,444,0.0,
2025-07-17,444,0.0,
2025-07-18,284,-160.0,
2025-07-21,284,0.0,
2025-07-22,284,0.0,
2025-07-23,284,0.0,
2025-07-24,284,0.0,
2025-07-25,284,0.0,
2025-07-28,284,0.0,
2025-07-29,205,-79.0,
2025-07-30,0,-205.0,
2025-08-01,300,300.0,
2025-08-04,300,0.0,
2025-08-05,300,0.0,
2025-08-06,380,80.0,
2025-08-07,380,0.0,
2025-08-08,380,0.0,
2025-08-11,410,30.0,
2025-08-12,410,0.0,
2025-08-13,430,20.0,
2025-08-14,430,0.0,
2025-08-15,430,0.0,
2025-08-18,430,0.0,
2025-08-19,430,0.0,
2025-08-20,430,0.0,
2025-08-21,430,0.0,
2025-08-22,430,0.0,
2025-08-25,430,0.0,
2025-08-26,430,0.0,
2025-08-27,430,0.0,
2025-08-28,430,0.0,
2025-08-29,430,0.0,
2025-09-01,430,0.0,
2025-09-02,430,0.0,
2025-09-03,430,0.0,
2025-09-04,430,0.0,
2025-09-05,430,0.0,
2025-09-08,430,0.0,
2025-09-09,428,-2.0,
2025-09-10,428,0.0,
2025-09-11,428,0.0,
2025-09-12,428,0.0,
2025-09-15,428,0.0,
2025-09-16,428,0.0,
2025-09-17,428,0.0,
2025-09-18,428,0.0,
2025-09-19,428,0.0,
2025-09-22,428,0.0,
2025-09-23,427,-1.0,
2025-09-24,368,-59.0,
2025-09-25,328,-40.0,
2025-09-26,298,-30.0,
2025-09-29,0,-298.0,
2025-10-13,90,90.0,
2025-10-14,90,0.0,
2025-10-15,111,21.0,
2025-10-16,111,0.0,
2025-10-17,111,0.0,
2025-10-20,111,0.0,
2025-10-21,111,0.0,
2025-10-22,111,0.0,
2025-10-23,111,0.0,
2025-10-24,206,95.0,
2025-10-27,206,0.0,
2025-10-28,206,0.0,
2025-10-29,206,0.0,
2025-10-30,206,0.0,
2025-10-31,206,0.0,
2025-11-03,185,-21.0,
2025-11-04,185,0.0,
2025-11-05,90,-95.0,
2025-11-06,90,0.0,
2025-11-07,90,0.0,0.0
2025-11-10,90,0.0,0.0
2025-11-11,90,0.0,0.0
2025-11-12,90,0.0,0.0
2025-11-13,90,0.0,0.0
2025-11-14,90,0.0,0.0
2026-03-18,1052,962.0,
2026-03-19,1051,-1.0,-1.0
2026-03-20,1051,0.0,0.0
2026-03-23,1051,0.0,0.0
2026-03-24,1032,-19.0,-19.0
2026-03-25,1009,-23.0,-23.0
2026-03-26,1009,0.0,0.0
2026-03-27,483,-526.0,-526.0
2026-03-30,441,-42.0,-42.0
2026-03-31,0,-441.0,-441.0
2026-04-01,525,525.0,525.0
2026-04-02,525,0.0,0.0
2026-04-03,525,0.0,0.0
2026-04-07,525,0.0,0.0
2026-04-08,625,100.0,100.0
2026-04-09,625,0.0,0.0
2026-04-10,625,0.0,0.0
2026-04-13,1225,600.0,600.0
2026-04-14,1225,0.0,0.0
2026-04-15,1225,0.0,0.0
2026-04-16,1250,25.0,25.0
2026-04-17,1210,-40.0,-40.0
2026-04-20,1250,40.0,40.0
2026-04-21,1325,75.0,75.0
2026-04-22,1325,0.0,0.0
2026-04-23,1435,110.0,110.0
2026-04-24,1435,0.0,0.0
2026-04-27,1435,0.0,0.0
2026-04-28,1585,150.0,150.0
2026-04-29,1585,0.0,0.0
2026-04-30,1585,0.0,0.0
2026-05-06,1585,0.0,0.0
2026-05-07,1475,-110.0,-110.0
2026-05-08,1465,-10.0,-10.0
2026-05-11,1462,-3.0,-3.0
2026-05-12,1458,-4.0,-4.0
2026-05-13,1455,-3.0,-3.0
2026-05-14,1455,0.0,0.0
2026-05-15,1442,-13.0,-13.0
2026-05-18,1452,10.0,10.0
2026-05-19,1442,-10.0,-10.0
2026-05-20,1439,-3.0,-3.0
2026-05-21,1419,-20.0,-20.0
2026-05-22,1357,-62.0,-62.0
2026-05-25,1355,-2.0,-2.0
2026-05-26,1305,-50.0,-50.0
2026-05-27,1235,-70.0,-70.0
2026-05-28,723,-512.0,-512.0
2026-05-29,0,-723.0,-723.0
2026-06-05,100,100.0,100.0
2026-06-08,700,600.0,600.0
2026-06-09,700,0.0,0.0
2026-06-10,700,0.0,0.0
2026-06-11,745,45.0,45.0
2026-06-12,745,0.0,0.0
2026-06-15,985,240.0,240.0
2026-06-16,985,0.0,0.0
2026-06-17,1245,260.0,260.0
2026-06-18,1320,75.0,75.0
2026-06-22,1335,15.0,15.0
2026-06-23,1335,0.0,0.0
2026-06-24,1335,0.0,0.0
2026-06-25,1350,15.0,15.0
2026-06-26,1350,0.0,0.0
