date,value,增减
2025-05-06,42250,0.0
2025-05-07,42250,0.0
2025-05-08,42250,0.0
2025-05-09,42250,0.0
2025-05-12,26270,-15980.0
2025-05-13,0,-26270.0
2025-05-14,0,0.0
2025-05-15,0,0.0
2025-05-16,0,0.0
2025-05-19,0,0.0
2025-05-20,0,0.0
2025-05-21,0,0.0
2025-05-22,0,0.0
2025-05-23,0,0.0
2025-05-26,0,0.0
2025-05-27,0,0.0
2025-05-28,0,0.0
2025-05-29,27000,27000.0
2025-05-30,27000,0.0
2025-06-03,25000,-2000.0
2025-06-04,25000,0.0
2025-06-05,1000,-24000.0
2025-06-06,1000,0.0
2025-06-09,1000,0.0
2025-06-10,1000,0.0
2025-06-11,0,-1000.0
2025-06-12,0,0.0
2025-06-13,0,0.0
2025-06-16,0,0.0
2025-06-17,0,0.0
2025-06-18,0,0.0
2025-06-19,0,0.0
2025-06-20,0,0.0
2025-06-23,0,0.0
2025-06-24,0,0.0
2025-06-25,0,0.0
2025-06-26,0,0.0
2025-06-27,0,0.0
2025-06-30,15000,15000.0
2025-07-01,15000,0.0
2025-07-02,15000,0.0
2025-07-03,13090,-1910.0
2025-07-04,13090,0.0
2025-07-07,13090,0.0
2025-07-08,90,-13000.0
2025-07-09,90,0.0
2025-07-10,90,0.0
2025-07-11,90,0.0
2025-07-14,90,0.0
2025-07-15,90,0.0
2025-07-16,90,0.0
2025-07-17,90,0.0
2025-07-18,90,0.0
2025-07-21,90,0.0
2025-07-22,90,0.0
2025-07-23,90,0.0
2025-07-24,90,0.0
2025-07-25,90,0.0
2025-07-28,90,0.0
2025-07-29,90,0.0
2025-07-30,40050,39960.0
2025-07-31,40050,0.0
2025-08-01,40050,0.0
2025-08-04,40050,0.0
2025-08-05,40050,0.0
2025-08-06,40050,0.0
2025-08-07,26050,-14000.0
2025-08-08,26050,0.0
2025-08-11,21050,-5000.0
2025-08-12,21050,0.0
2025-08-13,21050,0.0
2025-08-14,16080,-4970.0
2025-08-15,16080,0.0
2025-08-18,11110,-4970.0
2025-08-19,11110,0.0
2025-08-20,11110,0.0
2025-08-21,11110,0.0
2025-08-22,11110,0.0
2025-08-25,11110,0.0
2025-08-26,11110,0.0
2025-08-27,35110,24000.0
2025-08-28,35110,0.0
2025-08-29,35110,0.0
2025-09-01,35110,0.0
2025-09-02,35110,0.0
2025-09-03,35110,0.0
2025-09-04,34500,-610.0
2025-09-05,19500,-15000.0
2025-09-08,19500,0.0
2025-09-09,10020,-9480.0
2025-09-10,10020,0.0
2025-09-11,10020,0.0
2025-09-12,10020,0.0
2025-09-15,10020,0.0
2025-09-16,10020,0.0
2025-09-17,10020,0.0
2025-09-18,10020,0.0
2025-09-19,10020,0.0
