date,value,change,增减
2025-05-06,330,0.0,
2025-05-07,330,0.0,
2025-05-08,330,0.0,
2025-05-09,330,0.0,
2025-05-12,330,0.0,
2025-05-13,330,0.0,
2025-05-14,330,0.0,
2025-05-15,330,0.0,
2025-05-16,330,0.0,
2025-05-19,330,0.0,
2025-05-20,330,0.0,
2025-05-21,330,0.0,
2025-05-22,330,0.0,
2025-05-23,302,-28.0,
2025-05-26,0,-302.0,
2025-06-06,340,340.0,
2025-06-09,340,0.0,
2025-06-10,340,0.0,
2025-06-11,460,120.0,
2025-06-12,540,80.0,
2025-06-13,540,0.0,
2025-06-16,540,0.0,
2025-06-17,540,0.0,
2025-06-18,540,0.0,
2025-06-19,540,0.0,
2025-06-20,540,0.0,
2025-06-23,0,-540.0,
2025-06-27,470,470.0,
2025-06-30,470,0.0,
2025-07-01,470,0.0,
2025-07-02,470,0.0,
2025-07-03,670,200.0,
2025-07-04,670,0.0,
2025-07-07,670,0.0,
2025-07-08,670,0.0,
2025-07-09,854,184.0,
2025-07-10,854,0.0,
2025-07-11,854,0.0,
2025-07-14,854,0.0,
2025-07-15,854,0.0,
2025-07-16,854,0.0,
2025-07-17,854,0.0,
2025-07-18,854,0.0,
2025-07-21,334,-520.0,
2025-07-22,0,-334.0,
2025-07-28,570,570.0,
2025-07-29,570,0.0,
2025-07-30,570,0.0,
2025-07-31,570,0.0,
2025-08-01,570,0.0,
2025-08-04,570,0.0,
2025-08-05,570,0.0,
2025-08-06,570,0.0,
2025-08-07,570,0.0,
2025-08-08,570,0.0,
2025-08-11,1420,850.0,
2025-08-12,1420,0.0,
2025-08-13,1420,0.0,
2025-08-14,1420,0.0,
2025-08-15,1420,0.0,
2025-08-18,1420,0.0,
2025-08-19,1420,0.0,
2025-08-20,1404,-16.0,
2025-08-21,790,-614.0,
2025-08-22,0,-790.0,
2025-08-27,439,439.0,
2025-08-28,439,0.0,
2025-08-29,439,0.0,
2025-09-01,439,0.0,
2025-09-02,439,0.0,
2025-09-03,439,0.0,
2025-09-04,639,200.0,
2025-09-05,639,0.0,
2025-09-08,639,0.0,
2025-09-09,1280,641.0,
2025-09-10,1485,205.0,
2025-09-11,1570,85.0,
2025-09-12,1570,0.0,
2025-09-15,1570,0.0,
2025-09-16,1570,0.0,
2025-09-17,1570,0.0,
2025-09-18,1570,0.0,
2025-09-19,1500,-70.0,
2025-09-22,0,-1500.0,
2025-09-25,410,410.0,
2025-09-26,410,0.0,
2025-09-29,410,0.0,
2025-09-30,500,90.0,
2025-10-09,500,0.0,
2025-10-10,500,0.0,
2025-10-13,500,0.0,
2025-10-14,500,0.0,
2025-10-15,500,0.0,
2025-10-16,500,0.0,
2025-10-17,500,0.0,
2025-10-20,600,100.0,
2025-10-21,600,0.0,
2025-10-22,600,0.0,
2025-10-23,600,0.0,
2025-10-24,600,0.0,
2025-10-27,600,0.0,
2025-10-28,512,-88.0,
2025-10-29,0,-512.0,
2025-11-03,250,250.0,
2025-11-04,650,400.0,
2025-11-05,650,0.0,
2025-11-06,650,0.0,
2025-11-07,650,0.0,0.0
2025-11-10,530,-120.0,-120.0
2025-11-11,530,0.0,0.0
2025-11-12,530,0.0,0.0
2025-11-13,730,200.0,200.0
2025-11-14,730,0.0,0.0
2026-03-18,823,93.0,
2026-03-19,821,-2.0,-2.0
2026-03-20,621,-200.0,-200.0
2026-03-23,0,-621.0,-621.0
2026-04-03,720,720.0,720.0
2026-04-07,1201,481.0,481.0
2026-04-08,1601,400.0,400.0
2026-04-09,1601,0.0,0.0
2026-04-10,1206,-395.0,-395.0
2026-04-13,1206,0.0,0.0
2026-04-14,1416,210.0,210.0
2026-04-15,1416,0.0,0.0
2026-04-16,1416,0.0,0.0
2026-04-17,1416,0.0,0.0
2026-04-20,1416,0.0,0.0
2026-04-21,1416,0.0,0.0
2026-04-22,20,-1396.0,-1396.0
2026-04-23,0,-20.0,-20.0
2026-04-28,2400,2400.0,2400.0
2026-04-29,2400,0.0,0.0
2026-04-30,2000,-400.0,-400.0
2026-05-06,500,-1500.0,-1500.0
2026-05-07,700,200.0,200.0
2026-05-08,700,0.0,0.0
2026-05-11,595,-105.0,-105.0
2026-05-12,500,-95.0,-95.0
2026-05-13,500,0.0,0.0
2026-05-14,739,239.0,239.0
2026-05-15,2371,1632.0,1632.0
2026-05-18,2371,0.0,0.0
2026-05-19,2371,0.0,0.0
2026-05-20,2371,0.0,0.0
2026-05-21,2371,0.0,0.0
2026-05-22,2371,0.0,0.0
2026-05-25,1744,-627.0,-627.0
2026-05-26,1244,-500.0,-500.0
2026-05-27,0,-1244.0,-1244.0
2026-05-28,200,200.0,200.0
2026-05-29,400,200.0,200.0
2026-06-01,400,0.0,0.0
2026-06-02,750,350.0,350.0
2026-06-03,750,0.0,0.0
2026-06-04,1249,499.0,499.0
2026-06-05,849,-400.0,-400.0
2026-06-08,849,0.0,0.0
2026-06-09,949,100.0,100.0
2026-06-10,949,0.0,0.0
2026-06-11,949,0.0,0.0
2026-06-12,1057,108.0,108.0
2026-06-15,1057,0.0,0.0
2026-06-16,1057,0.0,0.0
2026-06-17,1057,0.0,0.0
2026-06-18,957,-100.0,-100.0
2026-06-22,517,-440.0,-440.0
2026-06-23,0,-517.0,-517.0
2026-06-26,400,400.0,400.0
