date,value,change,增减
2025-05-06,1110,0.0,
2025-05-07,1099,-11.0,
2025-05-08,1073,-26.0,
2025-05-09,938,-135.0,
2025-05-12,977,39.0,
2025-05-13,933,-44.0,
2025-05-14,787,-146.0,
2025-05-15,674,-113.0,
2025-05-16,571,-103.0,
2025-05-19,561,-10.0,
2025-05-20,539,-22.0,
2025-05-21,539,0.0,
2025-05-22,50,-489.0,
2025-05-23,50,0.0,
2025-05-26,0,-50.0,
2025-05-27,0,0.0,
2025-05-28,0,0.0,
2025-05-29,0,0.0,
2025-05-30,0,0.0,
2025-06-03,0,0.0,
2025-06-04,0,0.0,
2025-06-05,374,374.0,
2025-06-06,462,88.0,
2025-06-09,616,154.0,
2025-06-10,726,110.0,
2025-06-11,924,198.0,
2025-06-12,924,0.0,
2025-06-13,935,11.0,
2025-06-16,935,0.0,
2025-06-17,935,0.0,
2025-06-18,935,0.0,
2025-06-19,946,11.0,
2025-06-20,946,0.0,
2025-06-23,946,0.0,
2025-06-24,946,0.0,
2025-06-25,946,0.0,
2025-06-26,946,0.0,
2025-06-27,946,0.0,
2025-06-30,946,0.0,
2025-07-01,946,0.0,
2025-07-02,946,0.0,
2025-07-03,946,0.0,
2025-07-04,1067,121.0,
2025-07-07,1089,22.0,
2025-07-08,1089,0.0,
2025-07-09,1177,88.0,
2025-07-10,1177,0.0,
2025-07-11,1485,308.0,
2025-07-14,1507,22.0,
2025-07-15,1507,0.0,
2025-07-16,1507,0.0,
2025-07-17,1464,-43.0,
2025-07-18,1464,0.0,
2025-07-21,1462,-2.0,
2025-07-22,1462,0.0,
2025-07-23,1432,-30.0,
2025-07-24,1432,0.0,
2025-07-25,1432,0.0,
2025-07-28,1432,0.0,
2025-07-29,1426,-6.0,
2025-07-30,1426,0.0,
2025-07-31,1426,0.0,
2025-08-01,1426,0.0,
2025-08-04,1426,0.0,
2025-08-05,1415,-11.0,
2025-08-06,1415,0.0,
2025-08-07,1415,0.0,
2025-08-08,1415,0.0,
2025-08-11,1998,583.0,
2025-08-12,2086,88.0,
2025-08-13,2086,0.0,
2025-08-14,2086,0.0,
2025-08-15,2076,-10.0,
2025-08-18,2070,-6.0,
2025-08-19,2048,-22.0,
2025-08-20,2048,0.0,
2025-08-21,2017,-31.0,
2025-08-22,2017,0.0,
2025-08-25,2000,-17.0,
2025-08-26,1967,-33.0,
2025-08-27,1890,-77.0,
2025-08-28,1626,-264.0,
2025-08-29,1344,-282.0,
2025-09-01,1032,-312.0,
2025-09-02,878,-154.0,
2025-09-03,845,-33.0,
2025-09-04,845,0.0,
2025-09-05,790,-55.0,
2025-09-08,746,-44.0,
2025-09-09,746,0.0,
2025-09-10,559,-187.0,
2025-09-11,526,-33.0,
2025-09-12,482,-44.0,
2025-09-15,388,-94.0,
2025-09-16,384,-4.0,
2025-09-17,66,-318.0,
2025-09-18,11,-55.0,
2025-09-19,0,-11.0,
2025-09-22,0,0.0,
2025-09-23,22,22.0,
2025-09-24,22,0.0,
2025-09-25,22,0.0,
2025-09-26,22,0.0,
2025-09-29,44,22.0,
2025-09-30,44,0.0,
2025-10-09,44,0.0,
2025-10-10,44,0.0,
2025-10-13,44,0.0,
2025-10-14,44,0.0,
2025-10-15,44,0.0,
2025-10-16,44,0.0,
2025-10-17,774,730.0,
2025-10-20,774,0.0,
2025-10-21,774,0.0,
2025-10-22,774,0.0,
2025-10-23,774,0.0,
2025-10-24,774,0.0,
2025-10-27,763,-11.0,
2025-10-28,763,0.0,
2025-10-29,697,-66.0,
2025-10-30,697,0.0,
2025-10-31,397,-300.0,
2025-11-03,375,-22.0,
2025-11-04,375,0.0,
2025-11-05,375,0.0,
2025-11-06,375,0.0,
2025-11-07,375,0.0,0.0
2025-11-10,375,0.0,0.0
2025-11-11,717,342.0,342.0
2025-11-12,696,-21.0,-21.0
2025-11-13,686,-10.0,-10.0
2025-11-14,686,0.0,0.0
2026-03-18,1925,1239.0,
2026-03-19,1871,-54.0,-54.0
2026-03-20,1827,-44.0,-44.0
2026-03-23,1783,-44.0,-44.0
2026-03-24,1772,-11.0,-11.0
2026-03-25,1728,-44.0,-44.0
2026-03-26,1706,-22.0,-22.0
2026-03-27,1684,-22.0,-22.0
2026-03-30,1882,198.0,198.0
2026-03-31,1849,-33.0,-33.0
2026-04-01,2047,198.0,198.0
2026-04-02,2003,-44.0,-44.0
2026-04-03,1970,-33.0,-33.0
2026-04-07,1926,-44.0,-44.0
2026-04-08,1882,-44.0,-44.0
2026-04-09,1827,-55.0,-55.0
2026-04-10,1706,-121.0,-121.0
2026-04-13,1552,-154.0,-154.0
2026-04-14,1827,275.0,275.0
2026-04-15,2399,572.0,572.0
2026-04-16,2333,-66.0,-66.0
2026-04-17,2333,0.0,0.0
2026-04-20,1776,-557.0,-557.0
2026-04-21,1677,-99.0,-99.0
2026-04-22,1655,-22.0,-22.0
2026-04-23,1633,-22.0,-22.0
2026-04-24,1567,-66.0,-66.0
2026-04-27,1556,-11.0,-11.0
2026-04-28,1545,-11.0,-11.0
2026-04-29,1523,-22.0,-22.0
2026-04-30,1512,-11.0,-11.0
2026-05-06,1490,-22.0,-22.0
2026-05-07,1446,-44.0,-44.0
2026-05-08,1424,-22.0,-22.0
2026-05-11,1376,-48.0,-48.0
2026-05-12,1341,-35.0,-35.0
2026-05-13,1275,-66.0,-66.0
2026-05-14,1220,-55.0,-55.0
2026-05-15,1198,-22.0,-22.0
2026-05-18,1066,-132.0,-132.0
2026-05-19,1022,-44.0,-44.0
2026-05-20,614,-408.0,-408.0
2026-05-21,614,0.0,0.0
2026-05-22,300,-314.0,-314.0
2026-05-25,300,0.0,0.0
2026-05-26,0,-300.0,-300.0
2026-05-27,0,0.0,0.0
2026-05-28,0,0.0,0.0
2026-05-29,0,0.0,0.0
2026-06-01,0,0.0,0.0
2026-06-02,0,0.0,0.0
2026-06-03,0,0.0,0.0
