date,value,change,增减
2025-05-06,191341,0.0,
2025-05-07,162503,-28838.0,
2025-05-08,159199,-3304.0,
2025-05-09,157039,-2160.0,
2025-05-12,168703,11664.0,
2025-05-13,148997,-19706.0,
2025-05-14,151389,2392.0,
2025-05-15,143201,-8188.0,
2025-05-16,143201,0.0,
2025-05-19,141067,-2134.0,
2025-05-20,51625,-89442.0,
2025-05-21,44087,-7538.0,
2025-05-22,42287,-1800.0,
2025-05-23,41979,-308.0,
2025-05-26,41979,0.0,
2025-05-27,41975,-4.0,
2025-05-28,41975,0.0,
2025-05-29,40776,-1199.0,
2025-05-30,40776,0.0,
2025-06-03,40167,-609.0,
2025-06-04,40167,0.0,
2025-06-05,40167,0.0,
2025-06-06,40167,0.0,
2025-06-09,37755,-2412.0,
2025-06-10,37755,0.0,
2025-06-11,37755,0.0,
2025-06-12,35964,-1791.0,
2025-06-13,35964,0.0,
2025-06-16,34766,-1198.0,
2025-06-17,37751,2985.0,
2025-06-18,37751,0.0,
2025-06-19,18221,-19530.0,
2025-06-20,18221,0.0,
2025-06-23,18221,0.0,
2025-06-24,18221,0.0,
2025-06-25,18221,0.0,
2025-06-26,18221,0.0,
2025-06-27,18221,0.0,
2025-06-30,18221,0.0,
2025-07-01,24614,6393.0,
2025-07-02,25270,656.0,
2025-07-03,27073,1803.0,
2025-07-04,29168,2095.0,
2025-07-07,36441,7273.0,
2025-07-08,44905,8464.0,
2025-07-09,44905,0.0,
2025-07-10,54625,9720.0,
2025-07-11,69192,14567.0,
2025-07-14,88510,19318.0,
2025-07-15,96689,8179.0,
2025-07-16,96689,0.0,
2025-07-17,94600,-2089.0,
2025-07-18,87431,-7169.0,
2025-07-21,86534,-897.0,
2025-07-22,86534,0.0,
2025-07-23,86534,0.0,
2025-07-24,83539,-2995.0,
2025-07-25,88027,4488.0,
2025-07-28,84440,-3587.0,
2025-07-29,85034,594.0,
2025-07-30,85034,0.0,
2025-07-31,85034,0.0,
2025-08-01,85034,0.0,
2025-08-04,82640,-2394.0,
2025-08-05,88363,5723.0,
2025-08-06,89256,893.0,
2025-08-07,93491,4235.0,
2025-08-08,94978,1487.0,
2025-08-11,95557,579.0,
2025-08-12,96754,1197.0,
2025-08-13,106673,9919.0,
2025-08-14,109055,2382.0,
2025-08-15,119412,10357.0,
2025-08-18,119412,0.0,
2025-08-19,134549,15137.0,
2025-08-20,126445,-8104.0,
2025-08-21,136410,9965.0,
2025-08-22,157733,21323.0,
2025-08-25,161306,3573.0,
2025-08-26,161306,0.0,
2025-08-27,184327,23021.0,
2025-08-28,191057,6730.0,
2025-08-29,198897,7840.0,
2025-09-01,210938,12041.0,
2025-09-02,214621,3683.0,
2025-09-03,221653,7032.0,
2025-09-04,222549,896.0,
2025-09-05,230131,7582.0,
2025-09-08,223500,-6631.0,
2025-09-09,234017,10517.0,
2025-09-10,242240,8223.0,
2025-09-11,250765,8525.0,
2025-09-12,251649,884.0,
2025-09-15,255018,3369.0,
2025-09-16,269959,14941.0,
2025-09-17,263659,-6300.0,
2025-09-18,249522,-14137.0,
2025-09-19,256453,6931.0,
2025-09-22,234531,-21922.0,
2025-09-23,267390,32859.0,
2025-09-24,263806,-3584.0,
2025-09-25,271422,7616.0,
2025-09-26,272650,1228.0,
2025-09-29,270238,-2412.0,
2025-09-30,285846,15608.0,
2025-10-09,275736,-10110.0,
2025-10-10,277267,1531.0,
2025-10-13,266357,-10910.0,
2025-10-14,273365,7008.0,
2025-10-15,277152,3787.0,
2025-10-16,277451,299.0,
2025-10-17,277451,0.0,
2025-10-20,129796,-147655.0,
2025-10-21,129796,0.0,
2025-10-22,127382,-2414.0,
2025-10-23,127382,0.0,
2025-10-24,128819,1437.0,
2025-10-27,128819,0.0,
2025-10-28,125761,-3058.0,
2025-10-29,124540,-1221.0,
2025-10-30,124240,-300.0,
2025-10-31,124240,0.0,
2025-11-03,123040,-1200.0,
2025-11-04,121242,-1798.0,
2025-11-05,118534,-2708.0,
2025-11-06,118534,0.0,
2025-11-07,116135,-2399.0,-2399.0
2025-11-10,106992,-9143.0,-9143.0
2025-11-11,100612,-6380.0,-6380.0
2025-11-12,95493,-5119.0,-5119.0
2025-11-13,90327,-5166.0,-5166.0
2025-11-14,90327,0.0,0.0
2026-03-18,41649,-48678.0,
2026-03-19,41676,27.0,27.0
2026-03-20,49286,7610.0,7610.0
2026-03-23,59955,10669.0,10669.0
2026-03-24,63614,3659.0,3659.0
2026-03-25,75797,12183.0,12183.0
2026-03-26,81588,5791.0,5791.0
2026-03-27,83113,1525.0,1525.0
2026-03-30,83113,0.0,0.0
2026-03-31,83113,0.0,0.0
2026-04-01,83113,0.0,0.0
2026-04-02,83113,0.0,0.0
2026-04-03,83113,0.0,0.0
2026-04-07,83113,0.0,0.0
2026-04-08,83113,0.0,0.0
2026-04-09,83390,277.0,277.0
2026-04-10,83390,0.0,0.0
2026-04-13,83390,0.0,0.0
2026-04-14,83390,0.0,0.0
2026-04-15,83390,0.0,0.0
2026-04-16,83390,0.0,0.0
2026-04-17,83390,0.0,0.0
2026-04-20,85428,2038.0,2038.0
2026-04-21,85428,0.0,0.0
2026-04-22,85689,261.0,261.0
2026-04-23,87203,1514.0,1514.0
2026-04-24,87203,0.0,0.0
2026-04-27,88728,1525.0,1525.0
2026-04-28,90526,1798.0,1798.0
2026-04-29,90526,0.0,0.0
2026-04-30,90526,0.0,0.0
2026-05-06,90221,-305.0,-305.0
2026-05-07,93856,3635.0,3635.0
2026-05-08,92026,-1830.0,-1830.0
2026-05-11,94161,2135.0,2135.0
2026-05-12,94161,0.0,0.0
2026-05-13,94771,610.0,610.0
2026-05-14,94771,0.0,0.0
2026-05-15,95665,894.0,894.0
2026-05-18,92615,-3050.0,-3050.0
2026-05-19,92615,0.0,0.0
2026-05-20,17223,-75392.0,-75392.0
2026-05-21,17223,0.0,0.0
2026-05-22,17223,0.0,0.0
2026-05-25,18721,1498.0,1498.0
2026-05-26,20218,1497.0,1497.0
2026-05-27,20218,0.0,0.0
2026-05-28,20218,0.0,0.0
2026-05-29,23803,3585.0,3585.0
2026-06-01,24702,899.0,899.0
2026-06-02,24702,0.0,0.0
2026-06-03,27996,3294.0,3294.0
2026-06-04,27996,0.0,0.0
2026-06-05,30379,2383.0,2383.0
2026-06-08,33064,2685.0,2685.0
2026-06-09,35153,2089.0,2089.0
2026-06-10,35153,0.0,0.0
2026-06-11,35153,0.0,0.0
2026-06-12,35153,0.0,0.0
2026-06-15,35153,0.0,0.0
2026-06-16,36942,1789.0,1789.0
2026-06-17,36942,0.0,0.0
2026-06-18,25797,-11145.0,-11145.0
2026-06-22,25797,0.0,0.0
2026-06-23,25797,0.0,0.0
2026-06-24,25797,0.0,0.0
2026-06-25,27587,1790.0,1790.0
2026-06-26,23301,-4286.0,-4286.0
