date,value,增减
2025-05-06,15700,0.0
2025-05-07,23735,8035.0
2025-05-08,24525,790.0
2025-05-09,29225,4700.0
2025-05-12,31218,1993.0
2025-05-13,32118,900.0
2025-05-14,31278,-840.0
2025-05-15,31278,0.0
2025-05-16,31068,-210.0
2025-05-19,31048,-20.0
2025-05-20,30984,-64.0
2025-05-21,30947,-37.0
2025-05-22,28877,-2070.0
2025-05-23,28528,-349.0
2025-05-26,28498,-30.0
2025-05-27,28438,-60.0
2025-05-28,28009,-429.0
2025-05-29,27615,-394.0
2025-05-30,27591,-24.0
2025-06-03,27429,-162.0
2025-06-04,27339,-90.0
2025-06-05,27273,-66.0
2025-06-06,27206,-67.0
2025-06-09,27064,-142.0
2025-06-10,26649,-415.0
2025-06-11,26411,-238.0
2025-06-12,26315,-96.0
2025-06-13,26255,-60.0
2025-06-16,26177,-78.0
2025-06-17,25907,-270.0
2025-06-18,25864,-43.0
2025-06-19,25854,-10.0
2025-06-20,25824,-30.0
2025-06-23,25674,-150.0
2025-06-24,24711,-963.0
2025-06-25,24014,-697.0
2025-06-26,22685,-1329.0
2025-06-27,21544,-1141.0
2025-06-30,20860,-684.0
2025-07-01,20529,-331.0
2025-07-02,20149,-380.0
2025-07-03,16855,-3294.0
2025-07-04,16232,-623.0
2025-07-07,15218,-1014.0
2025-07-08,15799,581.0
2025-07-09,15663,-136.0
2025-07-10,15030,-633.0
2025-07-11,13550,-1480.0
2025-07-14,12466,-1084.0
2025-07-15,10086,-2380.0
2025-07-16,8911,-1175.0
2025-07-17,648,-8263.0
2025-07-18,434,-214.0
2025-07-21,0,-434.0
2025-07-22,0,0.0
2025-07-23,0,0.0
2025-07-24,0,0.0
2025-07-25,0,0.0
2025-07-28,0,0.0
2025-07-29,0,0.0
2025-07-30,0,0.0
2025-07-31,1200,1200.0
2025-08-01,1200,0.0
2025-08-04,1200,0.0
2025-08-05,1200,0.0
2025-08-06,1200,0.0
2025-08-07,3953,2753.0
2025-08-08,9063,5110.0
2025-08-11,9821,758.0
2025-08-12,9821,0.0
2025-08-13,9821,0.0
2025-08-14,9821,0.0
2025-08-15,9821,0.0
2025-08-18,9821,0.0
2025-08-19,8721,-1100.0
2025-08-20,8633,-88.0
2025-08-21,8586,-47.0
2025-08-22,8253,-333.0
2025-08-25,8066,-187.0
2025-08-26,7987,-79.0
2025-08-27,7710,-277.0
2025-08-28,7314,-396.0
2025-08-29,6410,-904.0
2025-09-01,6041,-369.0
2025-09-02,6041,0.0
2025-09-03,5041,-1000.0
2025-09-04,4831,-210.0
2025-09-05,6761,1930.0
2025-09-08,10403,3642.0
2025-09-09,11343,940.0
2025-09-10,10383,-960.0
2025-09-11,10383,0.0
2025-09-12,10383,0.0
2025-09-15,10214,-169.0
2025-09-16,10214,0.0
2025-09-17,10104,-110.0
2025-09-18,9504,-600.0
2025-09-19,9248,-256.0
