date,value,增减
2025-05-06,200730,0.0
2025-05-07,200730,0.0
2025-05-08,200660,-70.0
2025-05-09,200500,-160.0
2025-05-12,200500,0.0
2025-05-13,200500,0.0
2025-05-14,200460,-40.0
2025-05-15,200340,-120.0
2025-05-16,200270,-70.0
2025-05-19,199980,-290.0
2025-05-20,199570,-410.0
2025-05-21,199570,0.0
2025-05-22,199540,-30.0
2025-05-23,199540,0.0
2025-05-26,199370,-170.0
2025-05-27,199210,-160.0
2025-05-28,199080,-130.0
2025-05-29,198850,-230.0
2025-05-30,198720,-130.0
2025-06-03,198490,-230.0
2025-06-04,193300,-5190.0
2025-06-05,193100,-200.0
2025-06-06,193530,430.0
2025-06-09,193250,-280.0
2025-06-10,193220,-30.0
2025-06-11,193340,120.0
2025-06-12,193270,-70.0
2025-06-13,193070,-200.0
2025-06-16,192930,-140.0
2025-06-17,193180,250.0
2025-06-18,193120,-60.0
2025-06-19,192950,-170.0
2025-06-20,192840,-110.0
2025-06-23,192680,-160.0
2025-06-24,192420,-260.0
2025-06-25,192240,-180.0
2025-06-26,192050,-190.0
2025-06-27,191960,-90.0
2025-06-30,191890,-70.0
2025-07-01,191820,-70.0
2025-07-02,189150,-2670.0
2025-07-03,188880,-270.0
2025-07-04,188850,-30.0
2025-07-07,188820,-30.0
2025-07-08,188790,-30.0
2025-07-09,188760,-30.0
2025-07-10,188740,-20.0
2025-07-11,188690,-50.0
2025-07-14,188650,-40.0
2025-07-15,187060,-1590.0
2025-07-16,187060,0.0
2025-07-17,186980,-80.0
2025-07-18,186640,-340.0
2025-07-21,186620,-20.0
2025-07-22,186620,0.0
2025-07-23,186700,80.0
2025-07-24,186680,-20.0
2025-07-25,182020,-4660.0
2025-07-28,182020,0.0
2025-07-29,181920,-100.0
2025-07-30,179910,-2010.0
2025-07-31,179600,-310.0
2025-08-01,177630,-1970.0
2025-08-04,176640,-990.0
2025-08-05,176510,-130.0
2025-08-06,176470,-40.0
2025-08-07,176320,-150.0
2025-08-08,176280,-40.0
2025-08-11,175440,-840.0
2025-08-12,180240,4800.0
2025-08-13,180200,-40.0
2025-08-14,179070,-1130.0
2025-08-15,179930,860.0
2025-08-18,179590,-340.0
2025-08-19,179570,-20.0
2025-08-20,178620,-950.0
2025-08-21,178510,-110.0
2025-08-22,178470,-40.0
2025-08-25,177760,-710.0
2025-08-26,177290,-470.0
2025-08-27,177270,-20.0
2025-08-28,178050,780.0
2025-08-29,178640,590.0
2025-09-01,171080,-7560.0
2025-09-02,167920,-3160.0
2025-09-03,167760,-160.0
2025-09-04,165730,-2030.0
2025-09-05,162230,-3500.0
2025-09-08,157350,-4880.0
2025-09-09,156650,-700.0
2025-09-10,155250,-1400.0
2025-09-11,152940,-2310.0
2025-09-12,151740,-1200.0
2025-09-15,149320,-2420.0
2025-09-16,152250,2930.0
2025-09-17,152180,-70.0
2025-09-18,153570,1390.0
2025-09-19,154920,1350.0
