date,value,change,增减
2025-05-06,3799,0.0,
2025-05-07,3589,-210.0,
2025-05-08,3502,-87.0,
2025-05-09,3343,-159.0,
2025-05-12,3106,-237.0,
2025-05-13,3223,117.0,
2025-05-14,2914,-309.0,
2025-05-15,2904,-10.0,
2025-05-16,2844,-60.0,
2025-05-19,2770,-74.0,
2025-05-20,2770,0.0,
2025-05-21,2317,-453.0,
2025-05-22,147,-2170.0,
2025-05-23,147,0.0,
2025-05-26,0,-147.0,
2025-05-27,1691,1691.0,
2025-05-28,2782,1091.0,
2025-05-29,1691,-1091.0,
2025-05-30,2062,371.0,
2025-06-03,2062,0.0,
2025-06-04,3340,1278.0,
2025-06-05,3482,142.0,
2025-06-06,4273,791.0,
2025-06-09,5644,1371.0,
2025-06-10,5495,-149.0,
2025-06-11,5495,0.0,
2025-06-12,7704,2209.0,
2025-06-13,6642,-1062.0,
2025-06-16,6565,-77.0,
2025-06-17,6390,-175.0,
2025-06-18,6333,-57.0,
2025-06-19,4213,-2120.0,
2025-06-20,4013,-200.0,
2025-06-23,3863,-150.0,
2025-06-24,3698,-165.0,
2025-06-25,3693,-5.0,
2025-06-26,3742,49.0,
2025-06-27,3761,19.0,
2025-06-30,3759,-2.0,
2025-07-01,3713,-46.0,
2025-07-02,3679,-34.0,
2025-07-03,3674,-5.0,
2025-07-04,4340,666.0,
2025-07-07,4271,-69.0,
2025-07-08,4033,-238.0,
2025-07-09,3736,-297.0,
2025-07-10,3481,-255.0,
2025-07-11,3464,-17.0,
2025-07-14,3394,-70.0,
2025-07-15,3194,-200.0,
2025-07-16,2815,-379.0,
2025-07-17,317,-2498.0,
2025-07-18,290,-27.0,
2025-07-21,0,-290.0,
2025-07-22,236,236.0,
2025-07-23,856,620.0,
2025-07-24,856,0.0,
2025-07-25,955,99.0,
2025-07-28,955,0.0,
2025-07-29,1355,400.0,
2025-07-30,1500,145.0,
2025-07-31,2322,822.0,
2025-08-01,2790,468.0,
2025-08-04,2790,0.0,
2025-08-05,2812,22.0,
2025-08-06,2812,0.0,
2025-08-07,3310,498.0,
2025-08-08,7715,4405.0,
2025-08-11,7715,0.0,
2025-08-12,9275,1560.0,
2025-08-13,9275,0.0,
2025-08-14,10192,917.0,
2025-08-15,10192,0.0,
2025-08-18,10192,0.0,
2025-08-19,11020,828.0,
2025-08-20,10254,-766.0,
2025-08-21,9073,-1181.0,
2025-08-22,9064,-9.0,
2025-08-25,9313,249.0,
2025-08-26,9178,-135.0,
2025-08-27,6235,-2943.0,
2025-08-28,6180,-55.0,
2025-08-29,5697,-483.0,
2025-09-01,5432,-265.0,
2025-09-02,5082,-350.0,
2025-09-03,5232,150.0,
2025-09-04,4934,-298.0,
2025-09-05,8184,3250.0,
2025-09-08,8199,15.0,
2025-09-09,7759,-440.0,
2025-09-10,7451,-308.0,
2025-09-11,7357,-94.0,
2025-09-12,6916,-441.0,
2025-09-15,6250,-666.0,
2025-09-16,5672,-578.0,
2025-09-17,35,-5637.0,
2025-09-18,35,0.0,
2025-09-19,0,-35.0,
2025-09-22,2154,2154.0,
2025-09-23,2129,-25.0,
2025-09-24,3727,1598.0,
2025-09-25,4317,590.0,
2025-09-26,5752,1435.0,
2025-09-29,6352,600.0,
2025-09-30,7333,981.0,
2025-10-09,7108,-225.0,
2025-10-10,7053,-55.0,
2025-10-13,7565,512.0,
2025-10-14,7882,317.0,
2025-10-15,7856,-26.0,
2025-10-16,9283,1427.0,
2025-10-17,10773,1490.0,
2025-10-20,10768,-5.0,
2025-10-21,10202,-566.0,
2025-10-22,9984,-218.0,
2025-10-23,9934,-50.0,
2025-10-24,9934,0.0,
2025-10-27,8745,-1189.0,
2025-10-28,8745,0.0,
