date,value,增减
2025-05-06,30808,0.0
2025-05-07,31271,463.0
2025-05-08,32550,1279.0
2025-05-09,34403,1853.0
2025-05-12,34439,36.0
2025-05-13,34998,559.0
2025-05-14,36299,1301.0
2025-05-15,37412,1113.0
2025-05-16,37473,61.0
2025-05-19,42412,4939.0
2025-05-20,42412,0.0
2025-05-21,41784,-628.0
2025-05-22,41768,-16.0
2025-05-23,40830,-938.0
2025-05-26,40459,-371.0
2025-05-27,40654,195.0
2025-05-28,40854,200.0
2025-05-29,39295,-1559.0
2025-05-30,39047,-248.0
2025-06-03,38924,-123.0
2025-06-04,39608,684.0
2025-06-05,39608,0.0
2025-06-06,39604,-4.0
2025-06-09,39568,-36.0
2025-06-10,40266,698.0
2025-06-11,42020,1754.0
2025-06-12,42252,232.0
2025-06-13,44390,2138.0
2025-06-16,44390,0.0
2025-06-17,44390,0.0
2025-06-18,44330,-60.0
2025-06-19,44330,0.0
2025-06-20,44350,20.0
2025-06-23,44350,0.0
2025-06-24,44630,280.0
2025-06-25,45072,442.0
2025-06-26,45072,0.0
2025-06-27,45064,-8.0
2025-06-30,45088,24.0
2025-07-01,45088,0.0
2025-07-02,45328,240.0
2025-07-03,45424,96.0
2025-07-04,45645,221.0
2025-07-07,46700,1055.0
2025-07-08,46966,266.0
2025-07-09,47590,624.0
2025-07-10,47803,213.0
2025-07-11,49421,1618.0
2025-07-14,54434,5013.0
2025-07-15,54434,0.0
2025-07-16,54634,200.0
2025-07-17,54634,0.0
2025-07-18,54641,7.0
2025-07-21,54852,211.0
2025-07-22,54976,124.0
2025-07-23,54976,0.0
2025-07-24,56426,1450.0
2025-07-25,56412,-14.0
2025-07-28,56412,0.0
2025-07-29,57012,600.0
2025-07-30,57072,60.0
2025-07-31,57781,709.0
2025-08-01,58276,495.0
2025-08-04,58276,0.0
2025-08-05,58276,0.0
2025-08-06,60049,1773.0
2025-08-07,60300,251.0
2025-08-08,63211,2911.0
2025-08-11,64956,1745.0
2025-08-12,67866,2910.0
2025-08-13,76850,8984.0
2025-08-14,80089,3239.0
2025-08-15,80488,399.0
2025-08-18,80664,176.0
2025-08-19,80798,134.0
2025-08-20,82031,1233.0
2025-08-21,82097,66.0
2025-08-22,82280,183.0
2025-08-25,82280,0.0
2025-08-26,82391,111.0
2025-08-27,82539,148.0
2025-08-28,83518,979.0
2025-08-29,84089,571.0
2025-09-01,84108,19.0
2025-09-02,84720,612.0
2025-09-03,86311,1591.0
2025-09-04,87976,1665.0
2025-09-05,89999,2023.0
2025-09-08,90492,493.0
2025-09-09,93224,2732.0
2025-09-10,100335,7111.0
2025-09-11,105570,5235.0
2025-09-12,110711,5141.0
2025-09-15,110711,0.0
2025-09-16,110719,8.0
2025-09-17,110929,210.0
2025-09-18,110219,-710.0
2025-09-19,109599,-620.0
