date,value,增减
2025-05-06,5355,0.0
2025-05-07,5355,0.0
2025-05-08,5855,500.0
2025-05-09,6370,515.0
2025-05-12,6370,0.0
2025-05-13,6370,0.0
2025-05-14,10870,4500.0
2025-05-15,10870,0.0
2025-05-16,12370,1500.0
2025-05-19,14602,2232.0
2025-05-20,14602,0.0
2025-05-21,14602,0.0
2025-05-22,14602,0.0
2025-05-23,15802,1200.0
2025-05-26,15767,-35.0
2025-05-27,15717,-50.0
2025-05-28,17217,1500.0
2025-05-29,17152,-65.0
2025-05-30,17152,0.0
2025-06-03,17152,0.0
2025-06-04,18202,1050.0
2025-06-05,17822,-380.0
2025-06-06,17822,0.0
2025-06-09,17652,-170.0
2025-06-10,17652,0.0
2025-06-11,17652,0.0
2025-06-12,17552,-100.0
2025-06-13,17552,0.0
2025-06-16,17552,0.0
2025-06-17,17552,0.0
2025-06-18,17552,0.0
2025-06-19,17552,0.0
2025-06-20,17552,0.0
2025-06-23,17552,0.0
2025-06-24,18882,1330.0
2025-06-25,18882,0.0
2025-06-26,18882,0.0
2025-06-27,18882,0.0
2025-06-30,20582,1700.0
2025-07-01,20582,0.0
2025-07-02,22697,2115.0
2025-07-03,22697,0.0
2025-07-04,22977,280.0
2025-07-07,22963,-14.0
2025-07-08,22963,0.0
2025-07-09,22826,-137.0
2025-07-10,22725,-101.0
2025-07-11,22725,0.0
2025-07-14,22325,-400.0
2025-07-15,22325,0.0
2025-07-16,22325,0.0
2025-07-17,22131,-194.0
2025-07-18,22118,-13.0
2025-07-21,22118,0.0
2025-07-22,21695,-423.0
2025-07-23,21695,0.0
2025-07-24,21695,0.0
2025-07-25,21495,-200.0
2025-07-28,21495,0.0
2025-07-29,21113,-382.0
2025-07-30,13709,-7404.0
2025-07-31,0,-13709.0
2025-08-01,3000,3000.0
2025-08-04,10270,7270.0
2025-08-05,11540,1270.0
2025-08-06,11540,0.0
2025-08-07,15370,3830.0
2025-08-08,20370,5000.0
2025-08-11,21954,1584.0
2025-08-12,21954,0.0
2025-08-13,22170,216.0
2025-08-14,16970,-5200.0
2025-08-15,14840,-2130.0
2025-08-18,15310,470.0
2025-08-19,15310,0.0
2025-08-20,15310,0.0
2025-08-21,15310,0.0
2025-08-22,15760,450.0
2025-08-25,15760,0.0
2025-08-26,15760,0.0
2025-08-27,15760,0.0
2025-08-28,15760,0.0
2025-08-29,15760,0.0
2025-09-01,15760,0.0
2025-09-02,15760,0.0
2025-09-03,15060,-700.0
2025-09-04,16344,1284.0
2025-09-05,18544,2200.0
2025-09-08,20244,1700.0
2025-09-09,24544,4300.0
2025-09-10,24544,0.0
2025-09-11,24544,0.0
2025-09-12,24544,0.0
2025-09-15,24544,0.0
2025-09-16,24544,0.0
2025-09-17,24544,0.0
2025-09-18,24544,0.0
2025-09-19,25644,1100.0
