排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,27483,588.0,2025-08-18,a2511,多单持仓,A
2,东证期货,22473,96.0,2025-08-18,a2511,多单持仓,A
3,海通期货,16849,63.0,2025-08-18,a2511,多单持仓,A
4,中信期货,14055,166.0,2025-08-18,a2511,多单持仓,A
5,永安期货,8912,1284.0,2025-08-18,a2511,多单持仓,A
6,广发期货,5227,-5.0,2025-08-18,a2511,多单持仓,A
7,中泰期货,4689,-40.0,2025-08-18,a2511,多单持仓,A
8,五矿期货,4359,9.0,2025-08-18,a2511,多单持仓,A
9,银河期货,4229,-68.0,2025-08-18,a2511,多单持仓,A
10,中信建投,3745,-46.0,2025-08-18,a2511,多单持仓,A
11,一德期货,3645,69.0,2025-08-18,a2511,多单持仓,A
12,宏源期货,2596,-320.0,2025-08-18,a2511,多单持仓,A
13,华泰期货,2528,23.0,2025-08-18,a2511,多单持仓,A
14,国信期货,2462,-406.0,2025-08-18,a2511,多单持仓,A
15,国投期货,2404,357.0,2025-08-18,a2511,多单持仓,A
16,浙商期货,1945,84.0,2025-08-18,a2511,多单持仓,A
17,徽商期货,1843,-27.0,2025-08-18,a2511,多单持仓,A
18,华闻期货,1668,63.0,2025-08-18,a2511,多单持仓,A
19,招商期货,1520,47.0,2025-08-18,a2511,多单持仓,A
20,中财期货,1449,-186.0,2025-08-18,a2511,多单持仓,A
1,国泰君安,27959,476.0,2025-08-19,a2511,多单持仓,A
2,东证期货,21127,-1346.0,2025-08-19,a2511,多单持仓,A
3,海通期货,16150,-699.0,2025-08-19,a2511,多单持仓,A
4,中信期货,14618,563.0,2025-08-19,a2511,多单持仓,A
5,永安期货,8726,-186.0,2025-08-19,a2511,多单持仓,A
6,广发期货,5235,8.0,2025-08-19,a2511,多单持仓,A
7,银河期货,4952,723.0,2025-08-19,a2511,多单持仓,A
8,中泰期货,4709,20.0,2025-08-19,a2511,多单持仓,A
9,五矿期货,4361,2.0,2025-08-19,a2511,多单持仓,A
10,中信建投,4251,506.0,2025-08-19,a2511,多单持仓,A
11,一德期货,3895,250.0,2025-08-19,a2511,多单持仓,A
12,国投期货,2945,541.0,2025-08-19,a2511,多单持仓,A
13,华泰期货,2719,191.0,2025-08-19,a2511,多单持仓,A
14,宏源期货,2657,61.0,2025-08-19,a2511,多单持仓,A
15,国信期货,2454,-8.0,2025-08-19,a2511,多单持仓,A
16,浙商期货,2405,460.0,2025-08-19,a2511,多单持仓,A
17,徽商期货,1827,-16.0,2025-08-19,a2511,多单持仓,A
18,华闻期货,1721,53.0,2025-08-19,a2511,多单持仓,A
19,国盛期货,1539,162.0,2025-08-19,a2511,多单持仓,A
20,中财期货,1505,56.0,2025-08-19,a2511,多单持仓,A
1,国泰君安,27718,-241.0,2025-08-20,a2511,多单持仓,A
2,东证期货,21839,712.0,2025-08-20,a2511,多单持仓,A
3,海通期货,16214,64.0,2025-08-20,a2511,多单持仓,A
4,中信期货,15806,1188.0,2025-08-20,a2511,多单持仓,A
5,永安期货,10917,2191.0,2025-08-20,a2511,多单持仓,A
6,银河期货,6164,1212.0,2025-08-20,a2511,多单持仓,A
7,一德期货,5907,2012.0,2025-08-20,a2511,多单持仓,A
8,广发期货,5151,-84.0,2025-08-20,a2511,多单持仓,A
9,中泰期货,4415,-294.0,2025-08-20,a2511,多单持仓,A
10,五矿期货,4408,47.0,2025-08-20,a2511,多单持仓,A
11,中信建投,4402,151.0,2025-08-20,a2511,多单持仓,A
12,国投期货,3389,444.0,2025-08-20,a2511,多单持仓,A
13,浙商期货,3260,855.0,2025-08-20,a2511,多单持仓,A
14,宏源期货,3158,501.0,2025-08-20,a2511,多单持仓,A
15,华泰期货,3147,428.0,2025-08-20,a2511,多单持仓,A
16,国信期货,2935,481.0,2025-08-20,a2511,多单持仓,A
