排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,东证期货,72670,17120.0,2025-11-05,a2601,成交量,A
2,国泰君安,50395,28930.0,2025-11-05,a2601,成交量,A
3,中信期货,42116,15807.0,2025-11-05,a2601,成交量,A
4,华泰期货,19208,9434.0,2025-11-05,a2601,成交量,A
5,银河期货,18784,5049.0,2025-11-05,a2601,成交量,A
6,浙商期货,13203,6563.0,2025-11-05,a2601,成交量,A
7,一德期货,12801,7763.0,2025-11-05,a2601,成交量,A
8,宏源期货,9487,3597.0,2025-11-05,a2601,成交量,A
9,永安期货,8982,4498.0,2025-11-05,a2601,成交量,A
10,南华期货,7108,2896.0,2025-11-05,a2601,成交量,A
11,光大期货,6951,1111.0,2025-11-05,a2601,成交量,A
12,徽商期货,6774,1678.0,2025-11-05,a2601,成交量,A
13,中信建投,5730,2841.0,2025-11-05,a2601,成交量,A
14,海通期货,5632,1562.0,2025-11-05,a2601,成交量,A
15,乾坤期货,5604,1897.0,2025-11-05,a2601,成交量,A
16,东吴期货,4925,2572.0,2025-11-05,a2601,成交量,A
17,中泰期货,4792,371.0,2025-11-05,a2601,成交量,A
18,中辉期货,4721,1942.0,2025-11-05,a2601,成交量,A
19,冠通期货,4518,1724.0,2025-11-05,a2601,成交量,A
20,国投期货,4335,1361.0,2025-11-05,a2601,成交量,A
1,东证期货,25873,-30247.0,2025-11-10,a2601,成交量,A
2,中信期货,20584,-16026.0,2025-11-10,a2601,成交量,A
3,国泰君安,17275,-7292.0,2025-11-10,a2601,成交量,A
4,华泰期货,8280,-5629.0,2025-11-10,a2601,成交量,A
5,银河期货,6905,-5975.0,2025-11-10,a2601,成交量,A
6,永安期货,5199,-1164.0,2025-11-10,a2601,成交量,A
7,浙商期货,5128,-2797.0,2025-11-10,a2601,成交量,A
8,宏源期货,3602,-1637.0,2025-11-10,a2601,成交量,A
9,乾坤期货,2772,-679.0,2025-11-10,a2601,成交量,A
10,徽商期货,2566,-1284.0,2025-11-10,a2601,成交量,A
11,瑞达期货,2436,-1068.0,2025-11-10,a2601,成交量,A
12,南华期货,2334,34.0,2025-11-10,a2601,成交量,A
13,海通期货,2240,-1523.0,2025-11-10,a2601,成交量,A
14,中信建投,2105,-1128.0,2025-11-10,a2601,成交量,A
15,华闻期货,2073,-1960.0,2025-11-10,a2601,成交量,A
16,光大期货,2044,-1075.0,2025-11-10,a2601,成交量,A
17,东方财富,1983,-1676.0,2025-11-10,a2601,成交量,A
18,中泰期货,1955,-594.0,2025-11-10,a2601,成交量,A
19,中金财富,1833,-93.0,2025-11-10,a2601,成交量,A
20,方正中期,1527,-298.0,2025-11-10,a2601,成交量,A
1,东证期货,42624,16751.0,2025-11-11,a2601,成交量,A
2,中信期货,31744,11160.0,2025-11-11,a2601,成交量,A
3,国泰君安,25296,8021.0,2025-11-11,a2601,成交量,A
4,银河期货,13434,6529.0,2025-11-11,a2601,成交量,A
5,华泰期货,10056,1776.0,2025-11-11,a2601,成交量,A
6,宏源期货,7189,3587.0,2025-11-11,a2601,成交量,A
7,浙商期货,5704,576.0,2025-11-11,a2601,成交量,A
8,永安期货,5115,-84.0,2025-11-11,a2601,成交量,A
9,齐盛期货,4230,3290.0,2025-11-11,a2601,成交量,A
10,招商期货,3433,2196.0,2025-11-11,a2601,成交量,A
11,中辉期货,3414,2090.0,2025-11-11,a2601,成交量,A
12,瑞达期货,3353,917.0,2025-11-11,a2601,成交量,A
13,一德期货,3299,2179.0,2025-11-11,a2601,成交量,A
14,徽商期货,3293,727.0,2025-11-11,a2601,成交量,A
15,广发期货,3162,1835.0,2025-11-11,a2601,成交量,A
16,东方财富,3162,1179.0,2025-11-11,a2601,成交量,A
17,海通期货,3146,906.0,2025-11-11,a2601,成交量,A
18,中信建投,3082,977.0,2025-11-11,a2601,成交量,A
19,光大期货,3050,1006.0,2025-11-11,a2601,成交量,A
20,乾坤期货,3047,275.0,2025-11-11,a2601,成交量,A
1,东证期货,25843,-16781.0,2025-11-12,a2601,成交量,A
2,国泰君安,19425,-5871.0,2025-11-12,a2601,成交量,A
3,中信期货,17374,-14370.0,2025-11-12,a2601,成交量,A
4,华泰期货,7279,-2777.0,2025-11-12,a2601,成交量,A
5,银河期货,7186,-6248.0,2025-11-12,a2601,成交量,A
6,浙商期货,4401,-1303.0,2025-11-12,a2601,成交量,A
7,永安期货,3646,-1469.0,2025-11-12,a2601,成交量,A
8,招商期货,2948,-485.0,2025-11-12,a2601,成交量,A
9,宏源期货,2829,-4360.0,2025-11-12,a2601,成交量,A
10,中辉期货,2820,-594.0,2025-11-12,a2601,成交量,A
11,徽商期货,2752,-541.0,2025-11-12,a2601,成交量,A
12,中信建投,2571,-511.0,2025-11-12,a2601,成交量,A
13,海通期货,2146,-1000.0,2025-11-12,a2601,成交量,A
14,光大期货,2069,-981.0,2025-11-12,a2601,成交量,A
15,乾坤期货,1936,-1111.0,2025-11-12,a2601,成交量,A
16,国信期货,1851,-393.0,2025-11-12,a2601,成交量,A
17,齐盛期货,1807,-2423.0,2025-11-12,a2601,成交量,A
18,南华期货,1790,-573.0,2025-11-12,a2601,成交量,A
19,东方财富,1648,-1514.0,2025-11-12,a2601,成交量,A
20,华闻期货,1640,-1150.0,2025-11-12,a2601,成交量,A
