排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,20598,-456.0,2025-11-06,ag2512,多单持仓,AG
2,国泰君安,20260,2269.0,2025-11-06,ag2512,多单持仓,AG
3,东证期货,12783,2691.0,2025-11-06,ag2512,多单持仓,AG
4,银河期货,10209,517.0,2025-11-06,ag2512,多单持仓,AG
5,平安期货,6635,-818.0,2025-11-06,ag2512,多单持仓,AG
6,广发期货,6462,50.0,2025-11-06,ag2512,多单持仓,AG
7,永安期货,6155,742.0,2025-11-06,ag2512,多单持仓,AG
8,方正中期,5786,-642.0,2025-11-06,ag2512,多单持仓,AG
9,华泰期货,5159,-328.0,2025-11-06,ag2512,多单持仓,AG
10,中信建投,5002,-891.0,2025-11-06,ag2512,多单持仓,AG
11,东亚期货,4398,-492.0,2025-11-06,ag2512,多单持仓,AG
12,海通期货,4304,-151.0,2025-11-06,ag2512,多单持仓,AG
13,光大期货,3837,-113.0,2025-11-06,ag2512,多单持仓,AG
14,五矿期货,3757,-210.0,2025-11-06,ag2512,多单持仓,AG
15,中泰期货,3283,-528.0,2025-11-06,ag2512,多单持仓,AG
16,南华期货,3279,1225.0,2025-11-06,ag2512,多单持仓,AG
17,宏源期货,3272,-120.0,2025-11-06,ag2512,多单持仓,AG
18,申万期货,3245,624.0,2025-11-06,ag2512,多单持仓,AG
19,海证期货,3230,-210.0,2025-11-06,ag2512,多单持仓,AG
20,东吴期货,3199,267.0,2025-11-06,ag2512,多单持仓,AG
1,国泰君安,20659,399.0,2025-11-07,ag2512,多单持仓,AG
2,中信期货,19942,-656.0,2025-11-07,ag2512,多单持仓,AG
3,东证期货,16932,4149.0,2025-11-07,ag2512,多单持仓,AG
4,银河期货,11737,1528.0,2025-11-07,ag2512,多单持仓,AG
5,平安期货,6627,-8.0,2025-11-07,ag2512,多单持仓,AG
6,广发期货,6422,-40.0,2025-11-07,ag2512,多单持仓,AG
7,永安期货,6118,-37.0,2025-11-07,ag2512,多单持仓,AG
8,中信建投,5311,309.0,2025-11-07,ag2512,多单持仓,AG
9,华泰期货,5288,129.0,2025-11-07,ag2512,多单持仓,AG
10,方正中期,5240,-546.0,2025-11-07,ag2512,多单持仓,AG
11,海通期货,4261,-43.0,2025-11-07,ag2512,多单持仓,AG
12,五矿期货,3800,43.0,2025-11-07,ag2512,多单持仓,AG
13,光大期货,3779,-58.0,2025-11-07,ag2512,多单持仓,AG
14,东亚期货,3648,-750.0,2025-11-07,ag2512,多单持仓,AG
15,海证期货,3439,209.0,2025-11-07,ag2512,多单持仓,AG
16,瑞达期货,3307,304.0,2025-11-07,ag2512,多单持仓,AG
17,东吴期货,3254,55.0,2025-11-07,ag2512,多单持仓,AG
18,民生期货,3164,-2.0,2025-11-07,ag2512,多单持仓,AG
19,宏源期货,3092,-180.0,2025-11-07,ag2512,多单持仓,AG
