排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,25391,1048.0,2026-06-22,ag2608,空单持仓,AG
2,国泰君安,11948,1196.0,2026-06-22,ag2608,空单持仓,AG
3,银河期货,10695,852.0,2026-06-22,ag2608,空单持仓,AG
4,东证期货,9647,-1172.0,2026-06-22,ag2608,空单持仓,AG
5,永安期货,8454,-369.0,2026-06-22,ag2608,空单持仓,AG
6,中银期货,6839,-47.0,2026-06-22,ag2608,空单持仓,AG
7,华泰期货,6399,492.0,2026-06-22,ag2608,空单持仓,AG
8,金瑞期货,6247,23.0,2026-06-22,ag2608,空单持仓,AG
9,宏源期货,5585,513.0,2026-06-22,ag2608,空单持仓,AG
10,华鑫期货,5542,270.0,2026-06-22,ag2608,空单持仓,AG
11,中粮期货,5398,70.0,2026-06-22,ag2608,空单持仓,AG
12,云晨期货,5376,-990.0,2026-06-22,ag2608,空单持仓,AG
13,广发期货,4353,386.0,2026-06-22,ag2608,空单持仓,AG
14,中信建投,3285,484.0,2026-06-22,ag2608,空单持仓,AG
15,国投期货,3173,-177.0,2026-06-22,ag2608,空单持仓,AG
16,南华期货,3070,-401.0,2026-06-22,ag2608,空单持仓,AG
17,方正中期,2672,89.0,2026-06-22,ag2608,空单持仓,AG
18,平安期货,2411,302.0,2026-06-22,ag2608,空单持仓,AG
19,宝城期货,2348,281.0,2026-06-22,ag2608,空单持仓,AG
20,海通期货,2207,-20.0,2026-06-22,ag2608,空单持仓,AG
1,中信期货,25225,-166.0,2026-06-23,ag2608,空单持仓,AG
2,国泰君安,13012,1064.0,2026-06-23,ag2608,空单持仓,AG
3,银河期货,10147,-548.0,2026-06-23,ag2608,空单持仓,AG
4,永安期货,9490,1036.0,2026-06-23,ag2608,空单持仓,AG
5,东证期货,7636,-2011.0,2026-06-23,ag2608,空单持仓,AG
6,华泰期货,6933,534.0,2026-06-23,ag2608,空单持仓,AG
7,中银期货,6822,-17.0,2026-06-23,ag2608,空单持仓,AG
8,宏源期货,6799,1214.0,2026-06-23,ag2608,空单持仓,AG
9,金瑞期货,6306,59.0,2026-06-23,ag2608,空单持仓,AG
10,华鑫期货,5999,457.0,2026-06-23,ag2608,空单持仓,AG
11,中粮期货,4784,-614.0,2026-06-23,ag2608,空单持仓,AG
12,云晨期货,4605,-771.0,2026-06-23,ag2608,空单持仓,AG
13,广发期货,4453,100.0,2026-06-23,ag2608,空单持仓,AG
14,南华期货,3498,428.0,2026-06-23,ag2608,空单持仓,AG
15,中信建投,3138,-147.0,2026-06-23,ag2608,空单持仓,AG
16,瑞达期货,3076,1091.0,2026-06-23,ag2608,空单持仓,AG
17,宝城期货,2895,547.0,2026-06-23,ag2608,空单持仓,AG
18,国投期货,2777,-396.0,2026-06-23,ag2608,空单持仓,AG
19,海通期货,2685,478.0,2026-06-23,ag2608,空单持仓,AG
20,方正中期,2653,-19.0,2026-06-23,ag2608,空单持仓,AG
1,中信期货,22823,-2402.0,2026-06-24,ag2608,空单持仓,AG
2,国泰君安,12990,-22.0,2026-06-24,ag2608,空单持仓,AG
3,永安期货,9449,-41.0,2026-06-24,ag2608,空单持仓,AG
4,银河期货,9221,-926.0,2026-06-24,ag2608,空单持仓,AG
5,东证期货,7890,254.0,2026-06-24,ag2608,空单持仓,AG
6,宏源期货,7029,230.0,2026-06-24,ag2608,空单持仓,AG
7,华泰期货,6745,-188.0,2026-06-24,ag2608,空单持仓,AG
8,华鑫期货,6341,342.0,2026-06-24,ag2608,空单持仓,AG
9,金瑞期货,6340,34.0,2026-06-24,ag2608,空单持仓,AG
10,中银期货,6063,-759.0,2026-06-24,ag2608,空单持仓,AG
11,广发期货,4677,224.0,2026-06-24,ag2608,空单持仓,AG
12,云晨期货,4447,-158.0,2026-06-24,ag2608,空单持仓,AG
13,中粮期货,4364,-420.0,2026-06-24,ag2608,空单持仓,AG
14,南华期货,3375,-123.0,2026-06-24,ag2608,空单持仓,AG
15,方正中期,3232,579.0,2026-06-24,ag2608,空单持仓,AG
16,瑞达期货,3103,27.0,2026-06-24,ag2608,空单持仓,AG
17,国投期货,2786,9.0,2026-06-24,ag2608,空单持仓,AG
18,中信建投,2785,-353.0,2026-06-24,ag2608,空单持仓,AG
19,东吴期货,2706,280.0,2026-06-24,ag2608,空单持仓,AG
20,海通期货,2650,-35.0,2026-06-24,ag2608,空单持仓,AG
1,中信期货,23184,361.0,2026-06-25,ag2608,空单持仓,AG
2,国泰君安,12588,-402.0,2026-06-25,ag2608,空单持仓,AG
3,永安期货,9825,376.0,2026-06-25,ag2608,空单持仓,AG
4,银河期货,8681,-540.0,2026-06-25,ag2608,空单持仓,AG
5,宏源期货,8182,1153.0,2026-06-25,ag2608,空单持仓,AG
6,华泰期货,7706,961.0,2026-06-25,ag2608,空单持仓,AG
7,东证期货,7041,-849.0,2026-06-25,ag2608,空单持仓,AG
8,金瑞期货,6983,643.0,2026-06-25,ag2608,空单持仓,AG
9,华鑫期货,6249,-92.0,2026-06-25,ag2608,空单持仓,AG
10,中银期货,5160,-903.0,2026-06-25,ag2608,空单持仓,AG
11,广发期货,4621,-56.0,2026-06-25,ag2608,空单持仓,AG
12,云晨期货,4312,-135.0,2026-06-25,ag2608,空单持仓,AG
13,中粮期货,4206,-158.0,2026-06-25,ag2608,空单持仓,AG
14,南华期货,3396,21.0,2026-06-25,ag2608,空单持仓,AG
15,瑞达期货,3263,160.0,2026-06-25,ag2608,空单持仓,AG
16,东吴期货,3063,357.0,2026-06-25,ag2608,空单持仓,AG
17,中信建投,2954,169.0,2026-06-25,ag2608,空单持仓,AG
18,方正中期,2750,-482.0,2026-06-25,ag2608,空单持仓,AG
19,国投期货,2565,-221.0,2026-06-25,ag2608,空单持仓,AG
20,中泰期货,2371,376.0,2026-06-25,ag2608,空单持仓,AG
1,中信期货,22456,-728.0,2026-06-26,ag2608,空单持仓,AG
2,国泰君安,14927,2339.0,2026-06-26,ag2608,空单持仓,AG
3,银河期货,8626,-55.0,2026-06-26,ag2608,空单持仓,AG
4,东证期货,8550,1509.0,2026-06-26,ag2608,空单持仓,AG
5,华泰期货,8138,432.0,2026-06-26,ag2608,空单持仓,AG
6,宏源期货,8073,-109.0,2026-06-26,ag2608,空单持仓,AG
7,永安期货,7897,-1928.0,2026-06-26,ag2608,空单持仓,AG
8,金瑞期货,6993,10.0,2026-06-26,ag2608,空单持仓,AG
9,华鑫期货,5731,-518.0,2026-06-26,ag2608,空单持仓,AG
10,广发期货,4914,293.0,2026-06-26,ag2608,空单持仓,AG
11,中银期货,4363,-797.0,2026-06-26,ag2608,空单持仓,AG
12,云晨期货,4240,-72.0,2026-06-26,ag2608,空单持仓,AG
13,中粮期货,4210,4.0,2026-06-26,ag2608,空单持仓,AG
14,中信建投,3659,705.0,2026-06-26,ag2608,空单持仓,AG
15,东吴期货,2898,-165.0,2026-06-26,ag2608,空单持仓,AG
16,瑞达期货,2896,-367.0,2026-06-26,ag2608,空单持仓,AG
17,南华期货,2878,-518.0,2026-06-26,ag2608,空单持仓,AG
