排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,42804,-242.0,2025-08-18,al2510,多单持仓,AL
2,乾坤期货,20151,-1263.0,2025-08-18,al2510,多单持仓,AL
3,国泰君安,16039,787.0,2025-08-18,al2510,多单持仓,AL
4,东证期货,9115,-2104.0,2025-08-18,al2510,多单持仓,AL
5,银河期货,8191,178.0,2025-08-18,al2510,多单持仓,AL
6,中金财富,7027,371.0,2025-08-18,al2510,多单持仓,AL
7,中信建投,6673,624.0,2025-08-18,al2510,多单持仓,AL
8,中粮期货,6240,167.0,2025-08-18,al2510,多单持仓,AL
9,国投期货,6121,264.0,2025-08-18,al2510,多单持仓,AL
10,金瑞期货,5362,247.0,2025-08-18,al2510,多单持仓,AL
11,华泰期货,5338,-703.0,2025-08-18,al2510,多单持仓,AL
12,瑞银期货,5182,0.0,2025-08-18,al2510,多单持仓,AL
13,永安期货,4807,-727.0,2025-08-18,al2510,多单持仓,AL
14,申万期货,4348,435.0,2025-08-18,al2510,多单持仓,AL
15,平安期货,4256,536.0,2025-08-18,al2510,多单持仓,AL
16,方正中期,4112,-66.0,2025-08-18,al2510,多单持仓,AL
17,东吴期货,3886,752.0,2025-08-18,al2510,多单持仓,AL
18,广发期货,3760,376.0,2025-08-18,al2510,多单持仓,AL
19,浙商期货,3179,345.0,2025-08-18,al2510,多单持仓,AL
20,国信期货,3147,586.0,2025-08-18,al2510,多单持仓,AL
1,中信期货,40985,-1819.0,2025-08-19,al2510,多单持仓,AL
2,乾坤期货,19640,-511.0,2025-08-19,al2510,多单持仓,AL
3,国泰君安,16231,192.0,2025-08-19,al2510,多单持仓,AL
4,东证期货,9409,294.0,2025-08-19,al2510,多单持仓,AL
5,银河期货,8230,39.0,2025-08-19,al2510,多单持仓,AL
6,中金财富,7002,-25.0,2025-08-19,al2510,多单持仓,AL
7,中信建投,6611,-62.0,2025-08-19,al2510,多单持仓,AL
8,中粮期货,6240,0.0,2025-08-19,al2510,多单持仓,AL
9,国投期货,5953,-168.0,2025-08-19,al2510,多单持仓,AL
10,金瑞期货,5914,552.0,2025-08-19,al2510,多单持仓,AL
11,华泰期货,5661,323.0,2025-08-19,al2510,多单持仓,AL
12,永安期货,5157,350.0,2025-08-19,al2510,多单持仓,AL
13,瑞银期货,5000,-182.0,2025-08-19,al2510,多单持仓,AL
14,申万期货,4864,516.0,2025-08-19,al2510,多单持仓,AL
15,广发期货,4210,450.0,2025-08-19,al2510,多单持仓,AL
16,方正中期,4059,-53.0,2025-08-19,al2510,多单持仓,AL
17,东吴期货,3945,59.0,2025-08-19,al2510,多单持仓,AL
18,浙商期货,3312,133.0,2025-08-19,al2510,多单持仓,AL
19,国信期货,2991,-156.0,2025-08-19,al2510,多单持仓,AL
20,光大期货,2951,391.0,2025-08-19,al2510,多单持仓,AL
1,中信期货,39425,-1560.0,2025-08-20,al2510,多单持仓,AL
2,国泰君安,15272,-959.0,2025-08-20,al2510,多单持仓,AL
3,乾坤期货,15205,-4435.0,2025-08-20,al2510,多单持仓,AL
4,东证期货,9729,320.0,2025-08-20,al2510,多单持仓,AL
5,银河期货,8985,755.0,2025-08-20,al2510,多单持仓,AL
6,中信建投,6950,339.0,2025-08-20,al2510,多单持仓,AL
7,金瑞期货,6265,351.0,2025-08-20,al2510,多单持仓,AL
8,中金财富,5926,-1076.0,2025-08-20,al2510,多单持仓,AL
9,国投期货,5834,-119.0,2025-08-20,al2510,多单持仓,AL
10,中粮期货,5449,-791.0,2025-08-20,al2510,多单持仓,AL
11,华泰期货,5334,-327.0,2025-08-20,al2510,多单持仓,AL
12,申万期货,5264,400.0,2025-08-20,al2510,多单持仓,AL
13,永安期货,5224,67.0,2025-08-20,al2510,多单持仓,AL
14,瑞银期货,4475,-525.0,2025-08-20,al2510,多单持仓,AL
15,广发期货,4306,96.0,2025-08-20,al2510,多单持仓,AL
16,方正中期,4000,-59.0,2025-08-20,al2510,多单持仓,AL
17,东吴期货,3735,-210.0,2025-08-20,al2510,多单持仓,AL
18,浙商期货,3346,34.0,2025-08-20,al2510,多单持仓,AL
19,光大期货,3116,165.0,2025-08-20,al2510,多单持仓,AL
20,中泰期货,3019,291.0,2025-08-20,al2510,多单持仓,AL
1,中信期货,39496,71.0,2025-08-21,al2510,多单持仓,AL
2,国泰君安,17777,2505.0,2025-08-21,al2510,多单持仓,AL
3,乾坤期货,12753,-2452.0,2025-08-21,al2510,多单持仓,AL
4,东证期货,10719,990.0,2025-08-21,al2510,多单持仓,AL
5,银河期货,9759,774.0,2025-08-21,al2510,多单持仓,AL
6,永安期货,7073,1849.0,2025-08-21,al2510,多单持仓,AL
7,中金财富,6633,707.0,2025-08-21,al2510,多单持仓,AL
8,中信建投,6569,-381.0,2025-08-21,al2510,多单持仓,AL
9,金瑞期货,6084,-181.0,2025-08-21,al2510,多单持仓,AL
10,华泰期货,5923,589.0,2025-08-21,al2510,多单持仓,AL
11,国投期货,5917,83.0,2025-08-21,al2510,多单持仓,AL
12,中粮期货,5440,-9.0,2025-08-21,al2510,多单持仓,AL
13,浙商期货,4837,1491.0,2025-08-21,al2510,多单持仓,AL
14,申万期货,4612,-652.0,2025-08-21,al2510,多单持仓,AL
15,广发期货,4235,-71.0,2025-08-21,al2510,多单持仓,AL
16,瑞银期货,4096,-379.0,2025-08-21,al2510,多单持仓,AL
17,平安期货,3915,1659.0,2025-08-21,al2510,多单持仓,AL
18,方正中期,3856,-144.0,2025-08-21,al2510,多单持仓,AL
19,东吴期货,3426,-309.0,2025-08-21,al2510,多单持仓,AL
20,光大期货,3049,-67.0,2025-08-21,al2510,多单持仓,AL
1,中信期货,41012,1516.0,20250822,al2510,多单持仓,AL
2,国泰君安,20957,3180.0,20250822,al2510,多单持仓,AL
3,东证期货,11169,450.0,20250822,al2510,多单持仓,AL
4,乾坤期货,10412,-2341.0,20250822,al2510,多单持仓,AL
5,银河期货,9107,-652.0,20250822,al2510,多单持仓,AL
6,中金财富,7327,694.0,20250822,al2510,多单持仓,AL
7,永安期货,7158,85.0,20250822,al2510,多单持仓,AL
8,华泰期货,6434,511.0,20250822,al2510,多单持仓,AL
9,国投期货,5955,38.0,20250822,al2510,多单持仓,AL
10,金瑞期货,5917,-167.0,20250822,al2510,多单持仓,AL
11,中信建投,5651,-918.0,20250822,al2510,多单持仓,AL
12,中粮期货,4889,-551.0,20250822,al2510,多单持仓,AL
13,平安期货,4868,953.0,20250822,al2510,多单持仓,AL
14,申万期货,4613,1.0,20250822,al2510,多单持仓,AL
15,广发期货,4138,-97.0,20250822,al2510,多单持仓,AL
16,浙商期货,4102,-735.0,20250822,al2510,多单持仓,AL
17,东吴期货,3660,234.0,20250822,al2510,多单持仓,AL
18,光大期货,3396,347.0,20250822,al2510,多单持仓,AL
19,方正中期,3369,-487.0,20250822,al2510,多单持仓,AL
20,海通期货,2566,258.0,20250822,al2510,多单持仓,AL
1,中信期货,39808,-1204.0,20250825,al2510,多单持仓,AL
2,国泰君安,23764,2807.0,20250825,al2510,多单持仓,AL
3,东证期货,12425,1256.0,20250825,al2510,多单持仓,AL
4,银河期货,8261,-846.0,20250825,al2510,多单持仓,AL
5,乾坤期货,8036,-2376.0,20250825,al2510,多单持仓,AL
6,华泰期货,7636,1202.0,20250825,al2510,多单持仓,AL
7,永安期货,7244,86.0,20250825,al2510,多单持仓,AL
8,中金财富,7032,-295.0,20250825,al2510,多单持仓,AL
9,平安期货,6917,2049.0,20250825,al2510,多单持仓,AL
10,国投期货,6374,419.0,20250825,al2510,多单持仓,AL
11,中信建投,5987,336.0,20250825,al2510,多单持仓,AL
12,金瑞期货,5373,-544.0,20250825,al2510,多单持仓,AL
13,中粮期货,5263,374.0,20250825,al2510,多单持仓,AL
14,申万期货,5077,464.0,20250825,al2510,多单持仓,AL
15,光大期货,4389,993.0,20250825,al2510,多单持仓,AL
16,广发期货,4189,51.0,20250825,al2510,多单持仓,AL
17,方正中期,3919,550.0,20250825,al2510,多单持仓,AL
18,浙商期货,3594,-508.0,20250825,al2510,多单持仓,AL
19,东吴期货,3514,-146.0,20250825,al2510,多单持仓,AL
20,海通期货,3191,625.0,20250825,al2510,多单持仓,AL
1,中信期货,37090,-2718.0,20250826,al2510,多单持仓,AL
2,国泰君安,24054,290.0,20250826,al2510,多单持仓,AL
3,东证期货,11692,-733.0,20250826,al2510,多单持仓,AL
4,银河期货,8809,548.0,20250826,al2510,多单持仓,AL
5,华泰期货,7730,94.0,20250826,al2510,多单持仓,AL
6,永安期货,7595,351.0,20250826,al2510,多单持仓,AL
7,中金财富,7414,382.0,20250826,al2510,多单持仓,AL
8,平安期货,6918,1.0,20250826,al2510,多单持仓,AL
9,乾坤期货,6798,-1238.0,20250826,al2510,多单持仓,AL
10,中信建投,6343,356.0,20250826,al2510,多单持仓,AL
11,申万期货,6194,1117.0,20250826,al2510,多单持仓,AL
12,中粮期货,5259,-4.0,20250826,al2510,多单持仓,AL
13,金瑞期货,5093,-280.0,20250826,al2510,多单持仓,AL
14,光大期货,4712,323.0,20250826,al2510,多单持仓,AL
15,广发期货,4428,239.0,20250826,al2510,多单持仓,AL
16,国投期货,4350,-2024.0,20250826,al2510,多单持仓,AL
17,东吴期货,4127,613.0,20250826,al2510,多单持仓,AL
18,浙商期货,3974,380.0,20250826,al2510,多单持仓,AL
19,方正中期,3919,0.0,20250826,al2510,多单持仓,AL
20,海通期货,3339,148.0,20250826,al2510,多单持仓,AL
1,中信期货,33097,-3993.0,20250827,al2510,多单持仓,AL
2,国泰君安,24868,814.0,20250827,al2510,多单持仓,AL
3,东证期货,15160,3468.0,20250827,al2510,多单持仓,AL
4,银河期货,8992,183.0,20250827,al2510,多单持仓,AL
5,永安期货,8397,802.0,20250827,al2510,多单持仓,AL
6,中金财富,8062,648.0,20250827,al2510,多单持仓,AL
7,华泰期货,7816,86.0,20250827,al2510,多单持仓,AL
8,平安期货,6305,-613.0,20250827,al2510,多单持仓,AL
9,申万期货,6016,-178.0,20250827,al2510,多单持仓,AL
10,中粮期货,5709,450.0,20250827,al2510,多单持仓,AL
11,中信建投,5545,-798.0,20250827,al2510,多单持仓,AL
12,金瑞期货,5176,83.0,20250827,al2510,多单持仓,AL
13,国投期货,4995,645.0,20250827,al2510,多单持仓,AL
14,光大期货,4984,272.0,20250827,al2510,多单持仓,AL
15,浙商期货,4779,805.0,20250827,al2510,多单持仓,AL
16,方正中期,4703,784.0,20250827,al2510,多单持仓,AL
17,乾坤期货,4635,-2163.0,20250827,al2510,多单持仓,AL
18,广发期货,3980,-448.0,20250827,al2510,多单持仓,AL
19,东吴期货,3566,-561.0,20250827,al2510,多单持仓,AL
20,中泰期货,3443,346.0,20250827,al2510,多单持仓,AL
1,中信期货,29072,-4025.0,20250828,AL2510,多单持仓,AL
2,国泰君安,20969,-3899.0,20250828,AL2510,多单持仓,AL
3,东证期货,12422,-2738.0,20250828,AL2510,多单持仓,AL
4,永安期货,7853,-544.0,20250828,AL2510,多单持仓,AL
5,中金财富,7559,-503.0,20250828,AL2510,多单持仓,AL
6,银河期货,7382,-1610.0,20250828,AL2510,多单持仓,AL
7,申万期货,6534,518.0,20250828,AL2510,多单持仓,AL
8,华泰期货,6513,-1303.0,20250828,AL2510,多单持仓,AL
9,中粮期货,5586,-123.0,20250828,AL2510,多单持仓,AL
10,中信建投,5463,-82.0,20250828,AL2510,多单持仓,AL
11,国投期货,5267,272.0,20250828,AL2510,多单持仓,AL
12,浙商期货,5148,369.0,20250828,AL2510,多单持仓,AL
13,平安期货,4848,-1457.0,20250828,AL2510,多单持仓,AL
14,光大期货,4526,-458.0,20250828,AL2510,多单持仓,AL
15,方正中期,4080,-623.0,20250828,AL2510,多单持仓,AL
16,广发期货,3974,-6.0,20250828,AL2510,多单持仓,AL
17,东吴期货,3934,368.0,20250828,AL2510,多单持仓,AL
18,金瑞期货,3930,-1246.0,20250828,AL2510,多单持仓,AL
19,中泰期货,3556,113.0,20250828,AL2510,多单持仓,AL
20,乾坤期货,3346,-1289.0,20250828,AL2510,多单持仓,AL
1,中信期货,27109,-1963.0,20250829,AL2510,多单持仓,AL
2,国泰君安,18886,-2083.0,20250829,AL2510,多单持仓,AL
3,东证期货,12851,429.0,20250829,AL2510,多单持仓,AL
4,永安期货,7808,-45.0,20250829,AL2510,多单持仓,AL
5,银河期货,7366,-16.0,20250829,AL2510,多单持仓,AL
6,中金财富,7017,-542.0,20250829,AL2510,多单持仓,AL
7,华泰期货,6549,36.0,20250829,AL2510,多单持仓,AL
8,申万期货,6197,-337.0,20250829,AL2510,多单持仓,AL
9,中粮期货,5605,19.0,20250829,AL2510,多单持仓,AL
10,浙商期货,5340,192.0,20250829,AL2510,多单持仓,AL
11,国投期货,5227,-40.0,20250829,AL2510,多单持仓,AL
12,平安期货,4667,-181.0,20250829,AL2510,多单持仓,AL
13,光大期货,4514,-12.0,20250829,AL2510,多单持仓,AL
14,广发期货,4472,498.0,20250829,AL2510,多单持仓,AL
15,中信建投,4328,-1135.0,20250829,AL2510,多单持仓,AL
16,东吴期货,3883,-51.0,20250829,AL2510,多单持仓,AL
17,金瑞期货,3848,-82.0,20250829,AL2510,多单持仓,AL
18,方正中期,3776,-304.0,20250829,AL2510,多单持仓,AL
19,中泰期货,3403,-153.0,20250829,AL2510,多单持仓,AL
20,东亚期货,3286,33.0,20250829,AL2510,多单持仓,AL
