排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,25843,601.0,2026-06-22,al2608,空单持仓,AL
2,国泰君安,15135,-302.0,2026-06-22,al2608,空单持仓,AL
3,浙商期货,14849,359.0,2026-06-22,al2608,空单持仓,AL
4,高盛期货,9708,-1337.0,2026-06-22,al2608,空单持仓,AL
5,银河期货,9297,-105.0,2026-06-22,al2608,空单持仓,AL
6,华泰期货,7226,181.0,2026-06-22,al2608,空单持仓,AL
7,广发期货,6935,-318.0,2026-06-22,al2608,空单持仓,AL
8,东证期货,6747,-1846.0,2026-06-22,al2608,空单持仓,AL
9,中信建投,5827,675.0,2026-06-22,al2608,空单持仓,AL
10,永安期货,5015,174.0,2026-06-22,al2608,空单持仓,AL
11,国贸期货,4803,411.0,2026-06-22,al2608,空单持仓,AL
12,中金财富,4618,-683.0,2026-06-22,al2608,空单持仓,AL
13,国海良时,4384,-31.0,2026-06-22,al2608,空单持仓,AL
14,中粮期货,4285,-589.0,2026-06-22,al2608,空单持仓,AL
15,方正中期,3717,479.0,2026-06-22,al2608,空单持仓,AL
16,五矿期货,3572,-34.0,2026-06-22,al2608,空单持仓,AL
17,国投期货,3126,-103.0,2026-06-22,al2608,空单持仓,AL
18,华宝期货,3054,-100.0,2026-06-22,al2608,空单持仓,AL
19,海证期货,2976,50.0,2026-06-22,al2608,空单持仓,AL
20,国联期货,2747,-49.0,2026-06-22,al2608,空单持仓,AL
1,中信期货,32490,6647.0,2026-06-23,al2608,空单持仓,AL
2,国泰君安,21042,5907.0,2026-06-23,al2608,空单持仓,AL
3,东证期货,16412,9665.0,2026-06-23,al2608,空单持仓,AL
4,浙商期货,14833,-16.0,2026-06-23,al2608,空单持仓,AL
5,银河期货,11794,2497.0,2026-06-23,al2608,空单持仓,AL
6,高盛期货,9774,66.0,2026-06-23,al2608,空单持仓,AL
7,永安期货,9610,4595.0,2026-06-23,al2608,空单持仓,AL
8,华泰期货,7856,630.0,2026-06-23,al2608,空单持仓,AL
9,广发期货,7181,246.0,2026-06-23,al2608,空单持仓,AL
10,中信建投,6599,772.0,2026-06-23,al2608,空单持仓,AL
11,中金财富,6297,1679.0,2026-06-23,al2608,空单持仓,AL
12,国贸期货,4894,91.0,2026-06-23,al2608,空单持仓,AL
13,国海良时,4307,-77.0,2026-06-23,al2608,空单持仓,AL
14,海证期货,4085,1109.0,2026-06-23,al2608,空单持仓,AL
15,方正中期,4071,354.0,2026-06-23,al2608,空单持仓,AL
16,国投期货,3753,627.0,2026-06-23,al2608,空单持仓,AL
17,海通期货,3319,929.0,2026-06-23,al2608,空单持仓,AL
18,国联期货,3208,461.0,2026-06-23,al2608,空单持仓,AL
19,平安期货,3183,592.0,2026-06-23,al2608,空单持仓,AL
20,华宝期货,3084,30.0,2026-06-23,al2608,空单持仓,AL
1,中信期货,34265,1775.0,2026-06-24,al2608,空单持仓,AL
2,国泰君安,26564,5522.0,2026-06-24,al2608,空单持仓,AL
3,东证期货,18369,1957.0,2026-06-24,al2608,空单持仓,AL
4,浙商期货,14464,-369.0,2026-06-24,al2608,空单持仓,AL
5,银河期货,10445,-1349.0,2026-06-24,al2608,空单持仓,AL
6,永安期货,10436,826.0,2026-06-24,al2608,空单持仓,AL
7,高盛期货,9473,-301.0,2026-06-24,al2608,空单持仓,AL
8,华泰期货,8431,575.0,2026-06-24,al2608,空单持仓,AL
9,中金财富,7201,904.0,2026-06-24,al2608,空单持仓,AL
10,广发期货,7172,-9.0,2026-06-24,al2608,空单持仓,AL
11,中信建投,6965,366.0,2026-06-24,al2608,空单持仓,AL
12,国贸期货,4900,6.0,2026-06-24,al2608,空单持仓,AL
