排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,24913,546.0,2025-06-16,AO2509,多单持仓,AO
2,永安期货,13718,88.0,2025-06-16,AO2509,多单持仓,AO
3,东证期货,11596,674.0,2025-06-16,AO2509,多单持仓,AO
4,中信期货,11081,-5.0,2025-06-16,AO2509,多单持仓,AO
5,徽商期货,10421,142.0,2025-06-16,AO2509,多单持仓,AO
6,东方财富,9810,-301.0,2025-06-16,AO2509,多单持仓,AO
7,方正中期,9123,-117.0,2025-06-16,AO2509,多单持仓,AO
8,东吴期货,8813,327.0,2025-06-16,AO2509,多单持仓,AO
9,中泰期货,8724,-640.0,2025-06-16,AO2509,多单持仓,AO
10,银河期货,8515,-143.0,2025-06-16,AO2509,多单持仓,AO
11,浙商期货,7383,-240.0,2025-06-16,AO2509,多单持仓,AO
12,华泰期货,6761,496.0,2025-06-16,AO2509,多单持仓,AO
13,中信建投,5825,-60.0,2025-06-16,AO2509,多单持仓,AO
14,建信期货,5474,-65.0,2025-06-16,AO2509,多单持仓,AO
15,平安期货,5465,-263.0,2025-06-16,AO2509,多单持仓,AO
16,南华期货,5350,111.0,2025-06-16,AO2509,多单持仓,AO
17,中融汇信,5028,-108.0,2025-06-16,AO2509,多单持仓,AO
18,广发期货,4501,-424.0,2025-06-16,AO2509,多单持仓,AO
19,申万期货,4116,379.0,2025-06-16,AO2509,多单持仓,AO
20,国投期货,4038,-48.0,2025-06-16,AO2509,多单持仓,AO
1,国泰君安,24568,-345.0,2025-06-17,AO2509,多单持仓,AO
2,永安期货,13894,176.0,2025-06-17,AO2509,多单持仓,AO
3,中信期货,11272,191.0,2025-06-17,AO2509,多单持仓,AO
4,东证期货,11176,-420.0,2025-06-17,AO2509,多单持仓,AO
5,徽商期货,10221,-200.0,2025-06-17,AO2509,多单持仓,AO
6,东方财富,9670,-140.0,2025-06-17,AO2509,多单持仓,AO
7,中泰期货,9203,479.0,2025-06-17,AO2509,多单持仓,AO
8,方正中期,9073,-50.0,2025-06-17,AO2509,多单持仓,AO
9,东吴期货,9045,232.0,2025-06-17,AO2509,多单持仓,AO
10,银河期货,8534,19.0,2025-06-17,AO2509,多单持仓,AO
11,浙商期货,7647,264.0,2025-06-17,AO2509,多单持仓,AO
12,华泰期货,7155,394.0,2025-06-17,AO2509,多单持仓,AO
13,中信建投,6080,255.0,2025-06-17,AO2509,多单持仓,AO
14,平安期货,5614,149.0,2025-06-17,AO2509,多单持仓,AO
15,南华期货,5395,45.0,2025-06-17,AO2509,多单持仓,AO
16,建信期货,5212,-262.0,2025-06-17,AO2509,多单持仓,AO
17,中融汇信,5067,39.0,2025-06-17,AO2509,多单持仓,AO
18,国投期货,4593,555.0,2025-06-17,AO2509,多单持仓,AO
19,广发期货,4458,-43.0,2025-06-17,AO2509,多单持仓,AO
20,申万期货,4271,155.0,2025-06-17,AO2509,多单持仓,AO
1,国泰君安,25912,1344.0,2025-06-18,AO2509,多单持仓,AO
2,东证期货,16674,5498.0,2025-06-18,AO2509,多单持仓,AO
3,永安期货,14219,325.0,2025-06-18,AO2509,多单持仓,AO
4,中信期货,11963,691.0,2025-06-18,AO2509,多单持仓,AO
5,徽商期货,10416,195.0,2025-06-18,AO2509,多单持仓,AO
6,中泰期货,9359,156.0,2025-06-18,AO2509,多单持仓,AO
7,东吴期货,9340,295.0,2025-06-18,AO2509,多单持仓,AO
8,银河期货,8545,11.0,2025-06-18,AO2509,多单持仓,AO
9,浙商期货,7988,341.0,2025-06-18,AO2509,多单持仓,AO
10,东方财富,7979,-1691.0,2025-06-18,AO2509,多单持仓,AO
11,方正中期,7252,-1821.0,2025-06-18,AO2509,多单持仓,AO
12,华泰期货,6957,-198.0,2025-06-18,AO2509,多单持仓,AO
13,中信建投,5454,-626.0,2025-06-18,AO2509,多单持仓,AO
14,平安期货,5236,-378.0,2025-06-18,AO2509,多单持仓,AO
15,中融汇信,5178,111.0,2025-06-18,AO2509,多单持仓,AO
16,南华期货,5096,-299.0,2025-06-18,AO2509,多单持仓,AO
17,申万期货,4746,475.0,2025-06-18,AO2509,多单持仓,AO
18,国投期货,4271,-322.0,2025-06-18,AO2509,多单持仓,AO
19,创元期货,4242,24.0,2025-06-18,AO2509,多单持仓,AO
20,广发期货,4094,-364.0,2025-06-18,AO2509,多单持仓,AO
1,国泰君安,24937,-975.0,2025-06-19,AO2509,多单持仓,AO
2,东证期货,15046,-1628.0,2025-06-19,AO2509,多单持仓,AO
3,永安期货,14323,104.0,2025-06-19,AO2509,多单持仓,AO
4,中信期货,11453,-510.0,2025-06-19,AO2509,多单持仓,AO
5,徽商期货,10710,294.0,2025-06-19,AO2509,多单持仓,AO
6,东吴期货,9655,315.0,2025-06-19,AO2509,多单持仓,AO
7,中泰期货,9038,-321.0,2025-06-19,AO2509,多单持仓,AO
8,东方财富,8602,623.0,2025-06-19,AO2509,多单持仓,AO
9,银河期货,8430,-115.0,2025-06-19,AO2509,多单持仓,AO
10,浙商期货,7838,-150.0,2025-06-19,AO2509,多单持仓,AO
11,方正中期,7519,267.0,2025-06-19,AO2509,多单持仓,AO
12,华泰期货,6380,-577.0,2025-06-19,AO2509,多单持仓,AO
13,中信建投,5542,88.0,2025-06-19,AO2509,多单持仓,AO
14,南华期货,5196,100.0,2025-06-19,AO2509,多单持仓,AO
15,中融汇信,5029,-149.0,2025-06-19,AO2509,多单持仓,AO
16,平安期货,5024,-212.0,2025-06-19,AO2509,多单持仓,AO
17,申万期货,4693,-53.0,2025-06-19,AO2509,多单持仓,AO
18,国投期货,4346,75.0,2025-06-19,AO2509,多单持仓,AO
19,创元期货,4345,103.0,2025-06-19,AO2509,多单持仓,AO
20,广发期货,4078,-16.0,2025-06-19,AO2509,多单持仓,AO
1,国泰君安,24598,-339.0,2025-06-20,AO2509,多单持仓,AO
2,永安期货,15577,1254.0,2025-06-20,AO2509,多单持仓,AO
3,东证期货,15388,342.0,2025-06-20,AO2509,多单持仓,AO
4,中信期货,11051,-402.0,2025-06-20,AO2509,多单持仓,AO
5,徽商期货,10195,-515.0,2025-06-20,AO2509,多单持仓,AO
6,东吴期货,9476,-179.0,2025-06-20,AO2509,多单持仓,AO
7,中泰期货,8808,-230.0,2025-06-20,AO2509,多单持仓,AO
8,银河期货,8043,-387.0,2025-06-20,AO2509,多单持仓,AO
9,东方财富,7934,-668.0,2025-06-20,AO2509,多单持仓,AO
10,浙商期货,7595,-243.0,2025-06-20,AO2509,多单持仓,AO
11,方正中期,7332,-187.0,2025-06-20,AO2509,多单持仓,AO
12,华泰期货,6043,-337.0,2025-06-20,AO2509,多单持仓,AO
13,中融汇信,5779,750.0,2025-06-20,AO2509,多单持仓,AO
14,中信建投,5251,-291.0,2025-06-20,AO2509,多单持仓,AO
15,南华期货,5062,-134.0,2025-06-20,AO2509,多单持仓,AO
16,广发期货,4803,725.0,2025-06-20,AO2509,多单持仓,AO
17,申万期货,4679,-14.0,2025-06-20,AO2509,多单持仓,AO
18,平安期货,4667,-357.0,2025-06-20,AO2509,多单持仓,AO
19,国投期货,4603,257.0,2025-06-20,AO2509,多单持仓,AO
20,创元期货,4076,-269.0,2025-06-20,AO2509,多单持仓,AO
1,国泰君安,23897,-701.0,2025-06-23,AO2509,多单持仓,AO
2,东证期货,15821,433.0,2025-06-23,AO2509,多单持仓,AO
3,永安期货,15746,169.0,2025-06-23,AO2509,多单持仓,AO
4,中信期货,11965,914.0,2025-06-23,AO2509,多单持仓,AO
5,徽商期货,10182,-13.0,2025-06-23,AO2509,多单持仓,AO
6,东吴期货,9475,-1.0,2025-06-23,AO2509,多单持仓,AO
7,银河期货,8303,260.0,2025-06-23,AO2509,多单持仓,AO
8,东方财富,7833,-101.0,2025-06-23,AO2509,多单持仓,AO
9,浙商期货,7554,-41.0,2025-06-23,AO2509,多单持仓,AO
10,方正中期,7065,-267.0,2025-06-23,AO2509,多单持仓,AO
11,中泰期货,6846,-1962.0,2025-06-23,AO2509,多单持仓,AO
12,中融汇信,5858,79.0,2025-06-23,AO2509,多单持仓,AO
13,中信建投,5542,291.0,2025-06-23,AO2509,多单持仓,AO
14,华泰期货,5518,-525.0,2025-06-23,AO2509,多单持仓,AO
15,国投期货,5075,472.0,2025-06-23,AO2509,多单持仓,AO
16,广发期货,4795,-8.0,2025-06-23,AO2509,多单持仓,AO
17,申万期货,4646,-33.0,2025-06-23,AO2509,多单持仓,AO
18,南华期货,4560,-502.0,2025-06-23,AO2509,多单持仓,AO
19,平安期货,4481,-186.0,2025-06-23,AO2509,多单持仓,AO
20,创元期货,4135,59.0,2025-06-23,AO2509,多单持仓,AO
1,国泰君安,23216,-681.0,2025-06-24,AO2509,多单持仓,AO
2,永安期货,15521,-225.0,2025-06-24,AO2509,多单持仓,AO
3,东证期货,15460,-361.0,2025-06-24,AO2509,多单持仓,AO
4,中信期货,11793,-172.0,2025-06-24,AO2509,多单持仓,AO
5,徽商期货,9940,-242.0,2025-06-24,AO2509,多单持仓,AO
6,东吴期货,9411,-64.0,2025-06-24,AO2509,多单持仓,AO
7,银河期货,7899,-404.0,2025-06-24,AO2509,多单持仓,AO
8,浙商期货,7603,49.0,2025-06-24,AO2509,多单持仓,AO
9,东方财富,7380,-453.0,2025-06-24,AO2509,多单持仓,AO
10,方正中期,6765,-300.0,2025-06-24,AO2509,多单持仓,AO
11,中泰期货,6653,-193.0,2025-06-24,AO2509,多单持仓,AO
12,中融汇信,5764,-94.0,2025-06-24,AO2509,多单持仓,AO
13,中信建投,5306,-236.0,2025-06-24,AO2509,多单持仓,AO
14,华泰期货,5141,-377.0,2025-06-24,AO2509,多单持仓,AO
15,南华期货,5135,575.0,2025-06-24,AO2509,多单持仓,AO
16,国投期货,5108,33.0,2025-06-24,AO2509,多单持仓,AO
17,广发期货,4649,-146.0,2025-06-24,AO2509,多单持仓,AO
18,申万期货,4498,-148.0,2025-06-24,AO2509,多单持仓,AO
19,平安期货,4414,-67.0,2025-06-24,AO2509,多单持仓,AO
20,创元期货,3979,-156.0,2025-06-24,AO2509,多单持仓,AO
1,国泰君安,23446,230.0,2025-06-25,AO2509,多单持仓,AO
2,东证期货,15786,326.0,2025-06-25,AO2509,多单持仓,AO
3,永安期货,15760,239.0,2025-06-25,AO2509,多单持仓,AO
4,中信期货,11795,2.0,2025-06-25,AO2509,多单持仓,AO
5,徽商期货,9845,-95.0,2025-06-25,AO2509,多单持仓,AO
6,东吴期货,9138,-273.0,2025-06-25,AO2509,多单持仓,AO
7,银河期货,9025,1126.0,2025-06-25,AO2509,多单持仓,AO
8,浙商期货,7586,-17.0,2025-06-25,AO2509,多单持仓,AO
9,华泰期货,7257,2116.0,2025-06-25,AO2509,多单持仓,AO
10,中泰期货,6980,327.0,2025-06-25,AO2509,多单持仓,AO
11,东方财富,6748,-632.0,2025-06-25,AO2509,多单持仓,AO
12,方正中期,6450,-315.0,2025-06-25,AO2509,多单持仓,AO
13,建信期货,5592,1821.0,2025-06-25,AO2509,多单持仓,AO
14,国投期货,5276,168.0,2025-06-25,AO2509,多单持仓,AO
15,中信建投,5190,-116.0,2025-06-25,AO2509,多单持仓,AO
16,中融汇信,4891,-873.0,2025-06-25,AO2509,多单持仓,AO
17,南华期货,4687,-448.0,2025-06-25,AO2509,多单持仓,AO
18,广发期货,4519,-130.0,2025-06-25,AO2509,多单持仓,AO
19,申万期货,4310,-188.0,2025-06-25,AO2509,多单持仓,AO
20,平安期货,4135,-279.0,2025-06-25,AO2509,多单持仓,AO
1,国泰君安,23264,-182.0,2025-06-26,AO2509,多单持仓,AO
2,永安期货,16663,903.0,2025-06-26,AO2509,多单持仓,AO
3,东证期货,14665,-1121.0,2025-06-26,AO2509,多单持仓,AO
4,中信期货,12842,1047.0,2025-06-26,AO2509,多单持仓,AO
5,徽商期货,10060,215.0,2025-06-26,AO2509,多单持仓,AO
6,银河期货,9607,582.0,2025-06-26,AO2509,多单持仓,AO
7,东吴期货,9380,242.0,2025-06-26,AO2509,多单持仓,AO
8,浙商期货,7866,280.0,2025-06-26,AO2509,多单持仓,AO
9,华泰期货,6748,-509.0,2025-06-26,AO2509,多单持仓,AO
10,方正中期,6604,154.0,2025-06-26,AO2509,多单持仓,AO
11,东方财富,6479,-269.0,2025-06-26,AO2509,多单持仓,AO
12,中泰期货,6239,-741.0,2025-06-26,AO2509,多单持仓,AO
