排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,东证期货,6437,461.0,2025-06-16,AP2510,多单持仓,AP
2,国泰君安,5544,21.0,2025-06-16,AP2510,多单持仓,AP
3,中信期货,5070,-558.0,2025-06-16,AP2510,多单持仓,AP
4,中泰期货,4506,54.0,2025-06-16,AP2510,多单持仓,AP
5,华泰期货,2573,139.0,2025-06-16,AP2510,多单持仓,AP
6,光大期货,2508,142.0,2025-06-16,AP2510,多单持仓,AP
7,海通期货,2501,-511.0,2025-06-16,AP2510,多单持仓,AP
8,宏源期货,2280,-89.0,2025-06-16,AP2510,多单持仓,AP
9,长安期货,2003,-233.0,2025-06-16,AP2510,多单持仓,AP
10,徽商期货,1986,-62.0,2025-06-16,AP2510,多单持仓,AP
11,永安期货,1818,224.0,2025-06-16,AP2510,多单持仓,AP
12,银河期货,1726,-280.0,2025-06-16,AP2510,多单持仓,AP
13,广发期货,1590,-509.0,2025-06-16,AP2510,多单持仓,AP
14,中粮期货,1561,-64.0,2025-06-16,AP2510,多单持仓,AP
15,一德期货,1512,5.0,2025-06-16,AP2510,多单持仓,AP
16,创元期货,1463,7.0,2025-06-16,AP2510,多单持仓,AP
17,方正中期,1462,-24.0,2025-06-16,AP2510,多单持仓,AP
18,浙商期货,1421,-138.0,2025-06-16,AP2510,多单持仓,AP
19,大地期货,1353,2.0,2025-06-16,AP2510,多单持仓,AP
20,东吴期货,1260,-175.0,2025-06-16,AP2510,多单持仓,AP
1,国泰君安,7341,1797.0,2025-06-17,AP2510,多单持仓,AP
2,东证期货,7308,871.0,2025-06-17,AP2510,多单持仓,AP
3,中信期货,6340,1270.0,2025-06-17,AP2510,多单持仓,AP
4,中泰期货,4077,-429.0,2025-06-17,AP2510,多单持仓,AP
5,海通期货,3087,586.0,2025-06-17,AP2510,多单持仓,AP
6,广发期货,2867,1277.0,2025-06-17,AP2510,多单持仓,AP
7,华泰期货,2420,-153.0,2025-06-17,AP2510,多单持仓,AP
8,光大期货,2355,-153.0,2025-06-17,AP2510,多单持仓,AP
9,银河期货,2206,480.0,2025-06-17,AP2510,多单持仓,AP
10,宏源期货,2058,-222.0,2025-06-17,AP2510,多单持仓,AP
11,徽商期货,2036,50.0,2025-06-17,AP2510,多单持仓,AP
12,长安期货,1843,-160.0,2025-06-17,AP2510,多单持仓,AP
13,永安期货,1770,-48.0,2025-06-17,AP2510,多单持仓,AP
14,中粮期货,1512,-49.0,2025-06-17,AP2510,多单持仓,AP
15,东吴期货,1483,223.0,2025-06-17,AP2510,多单持仓,AP
16,创元期货,1431,-32.0,2025-06-17,AP2510,多单持仓,AP
17,方正中期,1365,-97.0,2025-06-17,AP2510,多单持仓,AP
18,一德期货,1303,-209.0,2025-06-17,AP2510,多单持仓,AP
19,国投期货,1282,59.0,2025-06-17,AP2510,多单持仓,AP
20,中融汇信,1267,33.0,2025-06-17,AP2510,多单持仓,AP
1,国泰君安,6943,-398.0,2025-06-18,AP2510,多单持仓,AP
2,东证期货,6653,-655.0,2025-06-18,AP2510,多单持仓,AP
3,中信期货,5807,-533.0,2025-06-18,AP2510,多单持仓,AP
4,中泰期货,3993,-84.0,2025-06-18,AP2510,多单持仓,AP
5,华泰期货,2546,126.0,2025-06-18,AP2510,多单持仓,AP
6,海通期货,2521,-566.0,2025-06-18,AP2510,多单持仓,AP
7,宏源期货,2120,62.0,2025-06-18,AP2510,多单持仓,AP
