排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,6555,-794.0,2025-06-16,AP2510,空单持仓,AP
2,中信期货,4221,-904.0,2025-06-16,AP2510,空单持仓,AP
3,东证期货,4187,-167.0,2025-06-16,AP2510,空单持仓,AP
4,海通期货,2695,-731.0,2025-06-16,AP2510,空单持仓,AP
5,光大期货,2500,132.0,2025-06-16,AP2510,空单持仓,AP
6,方正中期,2436,-17.0,2025-06-16,AP2510,空单持仓,AP
7,平安期货,2349,-164.0,2025-06-16,AP2510,空单持仓,AP
8,徽商期货,2071,51.0,2025-06-16,AP2510,空单持仓,AP
9,创元期货,1977,119.0,2025-06-16,AP2510,空单持仓,AP
10,中泰期货,1945,151.0,2025-06-16,AP2510,空单持仓,AP
11,永安期货,1878,206.0,2025-06-16,AP2510,空单持仓,AP
12,申银万国,1595,-131.0,2025-06-16,AP2510,空单持仓,AP
13,广发期货,1567,-621.0,2025-06-16,AP2510,空单持仓,AP
14,建信期货,1522,16.0,2025-06-16,AP2510,空单持仓,AP
15,银河期货,1489,-268.0,2025-06-16,AP2510,空单持仓,AP
16,华泰期货,1470,70.0,2025-06-16,AP2510,空单持仓,AP
17,一德期货,1451,160.0,2025-06-16,AP2510,空单持仓,AP
18,东吴期货,1438,-132.0,2025-06-16,AP2510,空单持仓,AP
19,宏源期货,1364,-100.0,2025-06-16,AP2510,空单持仓,AP
20,中信建投,1271,2.0,2025-06-16,AP2510,空单持仓,AP
1,国泰君安,8200,1645.0,2025-06-17,AP2510,空单持仓,AP
2,中信期货,5008,787.0,2025-06-17,AP2510,空单持仓,AP
3,东证期货,4261,74.0,2025-06-17,AP2510,空单持仓,AP
4,海通期货,2995,300.0,2025-06-17,AP2510,空单持仓,AP
5,广发期货,2707,1140.0,2025-06-17,AP2510,空单持仓,AP
6,方正中期,2511,75.0,2025-06-17,AP2510,空单持仓,AP
7,平安期货,2496,147.0,2025-06-17,AP2510,空单持仓,AP
8,光大期货,2265,-235.0,2025-06-17,AP2510,空单持仓,AP
9,中泰期货,2213,268.0,2025-06-17,AP2510,空单持仓,AP
10,徽商期货,2056,-15.0,2025-06-17,AP2510,空单持仓,AP
11,创元期货,2042,65.0,2025-06-17,AP2510,空单持仓,AP
12,永安期货,1894,16.0,2025-06-17,AP2510,空单持仓,AP
13,银河期货,1815,326.0,2025-06-17,AP2510,空单持仓,AP
14,建信期货,1801,279.0,2025-06-17,AP2510,空单持仓,AP
15,申银万国,1690,95.0,2025-06-17,AP2510,空单持仓,AP
16,东吴期货,1588,150.0,2025-06-17,AP2510,空单持仓,AP
17,一德期货,1528,77.0,2025-06-17,AP2510,空单持仓,AP
18,浙商期货,1437,212.0,2025-06-17,AP2510,空单持仓,AP
19,宏源期货,1363,-1.0,2025-06-17,AP2510,空单持仓,AP
20,中财期货,1355,140.0,2025-06-17,AP2510,空单持仓,AP
1,国泰君安,7751,-449.0,2025-06-18,AP2510,空单持仓,AP
2,中信期货,4070,-938.0,2025-06-18,AP2510,空单持仓,AP
3,东证期货,3723,-538.0,2025-06-18,AP2510,空单持仓,AP
4,平安期货,2830,334.0,2025-06-18,AP2510,空单持仓,AP
5,海通期货,2635,-360.0,2025-06-18,AP2510,空单持仓,AP
6,方正中期,2344,-167.0,2025-06-18,AP2510,空单持仓,AP
7,中泰期货,2104,-109.0,2025-06-18,AP2510,空单持仓,AP
8,徽商期货,2044,-12.0,2025-06-18,AP2510,空单持仓,AP
9,创元期货,1936,-106.0,2025-06-18,AP2510,空单持仓,AP
10,光大期货,1904,-361.0,2025-06-18,AP2510,空单持仓,AP
11,永安期货,1855,-39.0,2025-06-18,AP2510,空单持仓,AP
12,建信期货,1837,36.0,2025-06-18,AP2510,空单持仓,AP
13,申银万国,1733,43.0,2025-06-18,AP2510,空单持仓,AP
14,广发期货,1700,-1007.0,2025-06-18,AP2510,空单持仓,AP
15,一德期货,1436,-92.0,2025-06-18,AP2510,空单持仓,AP
