排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol,成交量
1,中信期货,7180.0,-1702.0,2025-06-16,AP2510,成交量,AP,
2,东证期货,6492.0,-3190.0,2025-06-16,AP2510,成交量,AP,
3,国泰君安,5677.0,-322.0,2025-06-16,AP2510,成交量,AP,
4,广发期货,2974.0,-647.0,2025-06-16,AP2510,成交量,AP,
5,海通期货,2798.0,-876.0,2025-06-16,AP2510,成交量,AP,
6,光大期货,2132.0,-797.0,2025-06-16,AP2510,成交量,AP,
7,中泰期货,1889.0,-790.0,2025-06-16,AP2510,成交量,AP,
8,徽商期货,1799.0,-1007.0,2025-06-16,AP2510,成交量,AP,
9,浙商期货,1794.0,-470.0,2025-06-16,AP2510,成交量,AP,
10,华泰期货,1681.0,-332.0,2025-06-16,AP2510,成交量,AP,
11,东吴期货,1549.0,-354.0,2025-06-16,AP2510,成交量,AP,
12,银河期货,1522.0,-569.0,2025-06-16,AP2510,成交量,AP,
13,天富期货,1403.0,152.0,2025-06-16,AP2510,成交量,AP,
14,国元期货,1156.0,198.0,2025-06-16,AP2510,成交量,AP,
15,中信建投,1095.0,-175.0,2025-06-16,AP2510,成交量,AP,
16,东方财富,1091.0,-180.0,2025-06-16,AP2510,成交量,AP,
17,申银万国,1017.0,42.0,2025-06-16,AP2510,成交量,AP,
18,中辉期货,991.0,-329.0,2025-06-16,AP2510,成交量,AP,
19,国贸期货,972.0,-295.0,2025-06-16,AP2510,成交量,AP,
20,长安期货,963.0,61.0,2025-06-16,AP2510,成交量,AP,
1,中信期货,11461.0,4281.0,2025-06-17,AP2510,成交量,AP,
2,东证期货,9295.0,2803.0,2025-06-17,AP2510,成交量,AP,
3,国泰君安,8936.0,3259.0,2025-06-17,AP2510,成交量,AP,
4,海通期货,5312.0,2514.0,2025-06-17,AP2510,成交量,AP,
5,广发期货,4741.0,1767.0,2025-06-17,AP2510,成交量,AP,
6,中泰期货,3985.0,2096.0,2025-06-17,AP2510,成交量,AP,
7,浙商期货,3604.0,1810.0,2025-06-17,AP2510,成交量,AP,
8,光大期货,3104.0,972.0,2025-06-17,AP2510,成交量,AP,
9,银河期货,2966.0,1444.0,2025-06-17,AP2510,成交量,AP,
10,东吴期货,2937.0,1388.0,2025-06-17,AP2510,成交量,AP,
11,徽商期货,2867.0,1068.0,2025-06-17,AP2510,成交量,AP,
12,华泰期货,2287.0,606.0,2025-06-17,AP2510,成交量,AP,
13,国贸期货,2215.0,1243.0,2025-06-17,AP2510,成交量,AP,
14,国元期货,2170.0,1014.0,2025-06-17,AP2510,成交量,AP,
15,方正中期,1964.0,1105.0,2025-06-17,AP2510,成交量,AP,
16,中信建投,1782.0,687.0,2025-06-17,AP2510,成交量,AP,
17,渤海期货,1719.0,805.0,2025-06-17,AP2510,成交量,AP,
18,国信期货,1631.0,733.0,2025-06-17,AP2510,成交量,AP,
19,宝城期货,1596.0,996.0,2025-06-17,AP2510,成交量,AP,
20,东方财富,1442.0,351.0,2025-06-17,AP2510,成交量,AP,
1,中信期货,5291.0,-6170.0,2025-06-18,AP2510,成交量,AP,
2,东证期货,4855.0,-4440.0,2025-06-18,AP2510,成交量,AP,
3,国泰君安,4163.0,-4773.0,2025-06-18,AP2510,成交量,AP,
4,广发期货,2591.0,-2150.0,2025-06-18,AP2510,成交量,AP,
5,海通期货,2008.0,-3304.0,2025-06-18,AP2510,成交量,AP,
6,徽商期货,1475.0,-1392.0,2025-06-18,AP2510,成交量,AP,
7,银河期货,1362.0,-1604.0,2025-06-18,AP2510,成交量,AP,
8,中泰期货,1345.0,-2640.0,2025-06-18,AP2510,成交量,AP,
9,光大期货,1329.0,-1775.0,2025-06-18,AP2510,成交量,AP,
10,东吴期货,1195.0,-1742.0,2025-06-18,AP2510,成交量,AP,
11,华泰期货,1136.0,-1151.0,2025-06-18,AP2510,成交量,AP,
12,方正中期,1082.0,-882.0,2025-06-18,AP2510,成交量,AP,
13,中信建投,1001.0,-781.0,2025-06-18,AP2510,成交量,AP,
14,浙商期货,994.0,-2610.0,2025-06-18,AP2510,成交量,AP,
15,长安期货,789.0,-374.0,2025-06-18,AP2510,成交量,AP,
16,天富期货,728.0,-410.0,2025-06-18,AP2510,成交量,AP,
17,国信期货,722.0,-909.0,2025-06-18,AP2510,成交量,AP,
18,东方汇金期货,713.0,-92.0,2025-06-18,AP2510,成交量,AP,
19,创元期货,706.0,-645.0,2025-06-18,AP2510,成交量,AP,
20,宏源期货,699.0,-500.0,2025-06-18,AP2510,成交量,AP,
1,中信期货,10515.0,5224.0,2025-06-19,AP2510,成交量,AP,
2,东证期货,9053.0,4198.0,2025-06-19,AP2510,成交量,AP,
3,国泰君安,7297.0,3134.0,2025-06-19,AP2510,成交量,AP,
4,广发期货,4187.0,1596.0,2025-06-19,AP2510,成交量,AP,
5,海通期货,4145.0,2137.0,2025-06-19,AP2510,成交量,AP,
6,光大期货,3779.0,2450.0,2025-06-19,AP2510,成交量,AP,
7,浙商期货,3050.0,2056.0,2025-06-19,AP2510,成交量,AP,
8,徽商期货,2967.0,1492.0,2025-06-19,AP2510,成交量,AP,
9,中泰期货,2739.0,1394.0,2025-06-19,AP2510,成交量,AP,
10,银河期货,2639.0,1277.0,2025-06-19,AP2510,成交量,AP,
11,东吴期货,2119.0,924.0,2025-06-19,AP2510,成交量,AP,
12,五矿期货,2071.0,1553.0,2025-06-19,AP2510,成交量,AP,
13,国贸期货,2052.0,1364.0,2025-06-19,AP2510,成交量,AP,
14,华泰期货,2031.0,895.0,2025-06-19,AP2510,成交量,AP,
15,瑞达期货,1815.0,1394.0,2025-06-19,AP2510,成交量,AP,
16,中信建投,1777.0,776.0,2025-06-19,AP2510,成交量,AP,
17,招商期货,1621.0,1043.0,2025-06-19,AP2510,成交量,AP,
18,方正中期,1524.0,442.0,2025-06-19,AP2510,成交量,AP,
19,国信期货,1510.0,788.0,2025-06-19,AP2510,成交量,AP,
20,国元期货,1491.0,811.0,2025-06-19,AP2510,成交量,AP,
1,中信期货,24354.0,13839.0,2025-06-20,AP2510,成交量,AP,
2,国泰君安,19082.0,11785.0,2025-06-20,AP2510,成交量,AP,
3,东证期货,18876.0,9823.0,2025-06-20,AP2510,成交量,AP,
4,海通期货,9397.0,5252.0,2025-06-20,AP2510,成交量,AP,
5,光大期货,7257.0,3478.0,2025-06-20,AP2510,成交量,AP,
6,广发期货,7212.0,3025.0,2025-06-20,AP2510,成交量,AP,
7,中泰期货,6455.0,3716.0,2025-06-20,AP2510,成交量,AP,
8,银河期货,5959.0,3320.0,2025-06-20,AP2510,成交量,AP,
9,徽商期货,5909.0,2942.0,2025-06-20,AP2510,成交量,AP,
10,华泰期货,5666.0,3635.0,2025-06-20,AP2510,成交量,AP,
11,浙商期货,5533.0,2483.0,2025-06-20,AP2510,成交量,AP,
12,东吴期货,3929.0,1810.0,2025-06-20,AP2510,成交量,AP,
13,国信期货,3788.0,2278.0,2025-06-20,AP2510,成交量,AP,
14,宏源期货,3651.0,2211.0,2025-06-20,AP2510,成交量,AP,
15,宝城期货,3573.0,2678.0,2025-06-20,AP2510,成交量,AP,
16,方正中期,3480.0,1956.0,2025-06-20,AP2510,成交量,AP,
17,五矿期货,3385.0,1314.0,2025-06-20,AP2510,成交量,AP,
18,国贸期货,3369.0,1317.0,2025-06-20,AP2510,成交量,AP,
19,瑞达期货,3104.0,1289.0,2025-06-20,AP2510,成交量,AP,
20,中信建投,3093.0,1316.0,2025-06-20,AP2510,成交量,AP,
1,中信期货,16888.0,-7466.0,2025-06-23,AP2510,成交量,AP,
2,东证期货,13557.0,-5319.0,2025-06-23,AP2510,成交量,AP,
3,国泰君安,11643.0,-7439.0,2025-06-23,AP2510,成交量,AP,
4,海通期货,6854.0,-2543.0,2025-06-23,AP2510,成交量,AP,
5,浙商期货,5391.0,-142.0,2025-06-23,AP2510,成交量,AP,
6,光大期货,5383.0,-1874.0,2025-06-23,AP2510,成交量,AP,
7,广发期货,4727.0,-2485.0,2025-06-23,AP2510,成交量,AP,
8,中泰期货,4359.0,-2096.0,2025-06-23,AP2510,成交量,AP,
9,华泰期货,3941.0,-1725.0,2025-06-23,AP2510,成交量,AP,
10,银河期货,3753.0,-2206.0,2025-06-23,AP2510,成交量,AP,
11,徽商期货,3007.0,-2902.0,2025-06-23,AP2510,成交量,AP,
12,中财期货,2536.0,-259.0,2025-06-23,AP2510,成交量,AP,
13,中信建投,2483.0,-610.0,2025-06-23,AP2510,成交量,AP,
14,国贸期货,2334.0,-1035.0,2025-06-23,AP2510,成交量,AP,
15,国信期货,2314.0,-1474.0,2025-06-23,AP2510,成交量,AP,
16,五矿期货,2162.0,-1223.0,2025-06-23,AP2510,成交量,AP,
17,方正中期,1996.0,-1484.0,2025-06-23,AP2510,成交量,AP,
18,瑞达期货,1957.0,-1147.0,2025-06-23,AP2510,成交量,AP,
19,一德期货,1850.0,-1107.0,2025-06-23,AP2510,成交量,AP,
20,宏源期货,1785.0,-1866.0,2025-06-23,AP2510,成交量,AP,
1,中信期货,9457.0,-7431.0,2025-06-24,AP2510,成交量,AP,
2,东证期货,9089.0,-4468.0,2025-06-24,AP2510,成交量,AP,
3,国泰君安,6346.0,-5297.0,2025-06-24,AP2510,成交量,AP,
4,海通期货,4011.0,-2843.0,2025-06-24,AP2510,成交量,AP,
5,浙商期货,3813.0,-1578.0,2025-06-24,AP2510,成交量,AP,
6,光大期货,3700.0,-1683.0,2025-06-24,AP2510,成交量,AP,
7,广发期货,3455.0,-1272.0,2025-06-24,AP2510,成交量,AP,
8,徽商期货,3008.0,1.0,2025-06-24,AP2510,成交量,AP,
9,银河期货,2794.0,-959.0,2025-06-24,AP2510,成交量,AP,
10,中泰期货,2652.0,-1707.0,2025-06-24,AP2510,成交量,AP,
11,中信建投,1630.0,-853.0,2025-06-24,AP2510,成交量,AP,
12,方正中期,1586.0,-410.0,2025-06-24,AP2510,成交量,AP,
13,国信期货,1582.0,-732.0,2025-06-24,AP2510,成交量,AP,
14,瑞达期货,1567.0,-390.0,2025-06-24,AP2510,成交量,AP,
15,国贸期货,1525.0,-809.0,2025-06-24,AP2510,成交量,AP,
16,招商期货,1304.0,-351.0,2025-06-24,AP2510,成交量,AP,
