排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,16902,300.0,2025-08-18,au2510,多单持仓,AU
2,中信期货,15619,-492.0,2025-08-18,au2510,多单持仓,AU
3,东证期货,11005,305.0,2025-08-18,au2510,多单持仓,AU
4,中财期货,9657,-38.0,2025-08-18,au2510,多单持仓,AU
5,银河期货,7047,-81.0,2025-08-18,au2510,多单持仓,AU
6,平安期货,5577,-216.0,2025-08-18,au2510,多单持仓,AU
7,国投期货,5106,-92.0,2025-08-18,au2510,多单持仓,AU
8,永安期货,3945,15.0,2025-08-18,au2510,多单持仓,AU
9,招商期货,3721,-359.0,2025-08-18,au2510,多单持仓,AU
10,华泰期货,3568,-165.0,2025-08-18,au2510,多单持仓,AU
11,申万期货,3478,-22.0,2025-08-18,au2510,多单持仓,AU
12,乾坤期货,3314,835.0,2025-08-18,au2510,多单持仓,AU
13,广发期货,3274,-55.0,2025-08-18,au2510,多单持仓,AU
14,中信建投,3136,26.0,2025-08-18,au2510,多单持仓,AU
15,光大期货,2375,-253.0,2025-08-18,au2510,多单持仓,AU
16,方正中期,2271,-90.0,2025-08-18,au2510,多单持仓,AU
17,齐盛期货,2229,106.0,2025-08-18,au2510,多单持仓,AU
18,中金财富,2094,-23.0,2025-08-18,au2510,多单持仓,AU
19,南华期货,1934,62.0,2025-08-18,au2510,多单持仓,AU
20,渤海期货,1929,279.0,2025-08-18,au2510,多单持仓,AU
1,国泰君安,16019,-883.0,2025-08-19,au2510,多单持仓,AU
2,中信期货,14953,-666.0,2025-08-19,au2510,多单持仓,AU
3,东证期货,10817,-188.0,2025-08-19,au2510,多单持仓,AU
4,中财期货,9370,-287.0,2025-08-19,au2510,多单持仓,AU
5,银河期货,7028,-19.0,2025-08-19,au2510,多单持仓,AU
6,平安期货,5759,182.0,2025-08-19,au2510,多单持仓,AU
7,国投期货,5277,171.0,2025-08-19,au2510,多单持仓,AU
8,永安期货,3902,-43.0,2025-08-19,au2510,多单持仓,AU
9,华泰期货,3887,319.0,2025-08-19,au2510,多单持仓,AU
10,招商期货,3669,-52.0,2025-08-19,au2510,多单持仓,AU
11,申万期货,3488,10.0,2025-08-19,au2510,多单持仓,AU
12,广发期货,3354,80.0,2025-08-19,au2510,多单持仓,AU
13,中信建投,3252,116.0,2025-08-19,au2510,多单持仓,AU
14,乾坤期货,2623,-691.0,2025-08-19,au2510,多单持仓,AU
15,方正中期,2578,307.0,2025-08-19,au2510,多单持仓,AU
16,光大期货,2352,-23.0,2025-08-19,au2510,多单持仓,AU
17,中金财富,2016,-78.0,2025-08-19,au2510,多单持仓,AU
18,齐盛期货,1974,-255.0,2025-08-19,au2510,多单持仓,AU
19,南华期货,1956,22.0,2025-08-19,au2510,多单持仓,AU
20,民生期货,1954,265.0,2025-08-19,au2510,多单持仓,AU
1,国泰君安,15011,-1008.0,2025-08-20,au2510,多单持仓,AU
2,中信期货,13977,-976.0,2025-08-20,au2510,多单持仓,AU
3,东证期货,10934,117.0,2025-08-20,au2510,多单持仓,AU
4,中财期货,9393,23.0,2025-08-20,au2510,多单持仓,AU
5,银河期货,7095,67.0,2025-08-20,au2510,多单持仓,AU
6,平安期货,5809,50.0,2025-08-20,au2510,多单持仓,AU
7,国投期货,5789,512.0,2025-08-20,au2510,多单持仓,AU
8,华泰期货,4721,834.0,2025-08-20,au2510,多单持仓,AU
9,永安期货,3856,-46.0,2025-08-20,au2510,多单持仓,AU
10,招商期货,3614,-55.0,2025-08-20,au2510,多单持仓,AU
11,申万期货,3513,25.0,2025-08-20,au2510,多单持仓,AU
12,中信建投,3392,140.0,2025-08-20,au2510,多单持仓,AU
13,广发期货,3346,-8.0,2025-08-20,au2510,多单持仓,AU
14,方正中期,2872,294.0,2025-08-20,au2510,多单持仓,AU
15,光大期货,2316,-36.0,2025-08-20,au2510,多单持仓,AU
16,中金财富,1972,-44.0,2025-08-20,au2510,多单持仓,AU
17,创元期货,1945,86.0,2025-08-20,au2510,多单持仓,AU
18,民生期货,1933,-21.0,2025-08-20,au2510,多单持仓,AU
19,齐盛期货,1877,-97.0,2025-08-20,au2510,多单持仓,AU
20,格林大华,1845,-88.0,2025-08-20,au2510,多单持仓,AU
1,国泰君安,15278,267.0,2025-08-21,au2510,多单持仓,AU
2,中信期货,13900,-77.0,2025-08-21,au2510,多单持仓,AU
3,东证期货,10604,-330.0,2025-08-21,au2510,多单持仓,AU
4,中财期货,9534,141.0,2025-08-21,au2510,多单持仓,AU
5,银河期货,6063,-1032.0,2025-08-21,au2510,多单持仓,AU
6,平安期货,5694,-115.0,2025-08-21,au2510,多单持仓,AU
7,国投期货,5324,-465.0,2025-08-21,au2510,多单持仓,AU
8,华泰期货,4396,-325.0,2025-08-21,au2510,多单持仓,AU
9,永安期货,3907,51.0,2025-08-21,au2510,多单持仓,AU
10,申万期货,3441,-72.0,2025-08-21,au2510,多单持仓,AU
11,中信建投,3214,-178.0,2025-08-21,au2510,多单持仓,AU
12,乾坤期货,3176,1346.0,2025-08-21,au2510,多单持仓,AU
13,广发期货,3106,-240.0,2025-08-21,au2510,多单持仓,AU
14,方正中期,2543,-329.0,2025-08-21,au2510,多单持仓,AU
15,招商期货,2445,-1169.0,2025-08-21,au2510,多单持仓,AU
16,光大期货,2225,-91.0,2025-08-21,au2510,多单持仓,AU
17,中金财富,2087,115.0,2025-08-21,au2510,多单持仓,AU
18,渤海期货,1957,125.0,2025-08-21,au2510,多单持仓,AU
19,创元期货,1928,-17.0,2025-08-21,au2510,多单持仓,AU
20,南华期货,1874,104.0,2025-08-21,au2510,多单持仓,AU
1,国泰君安,15215,-63.0,20250822,au2510,多单持仓,AU
2,中信期货,13891,-9.0,20250822,au2510,多单持仓,AU
3,东证期货,10673,69.0,20250822,au2510,多单持仓,AU
4,中财期货,7854,-1680.0,20250822,au2510,多单持仓,AU
5,银河期货,6119,56.0,20250822,au2510,多单持仓,AU
6,平安期货,5774,80.0,20250822,au2510,多单持仓,AU
7,国投期货,5594,270.0,20250822,au2510,多单持仓,AU
8,华泰期货,4483,87.0,20250822,au2510,多单持仓,AU
9,永安期货,3731,-176.0,20250822,au2510,多单持仓,AU
10,申万期货,3517,76.0,20250822,au2510,多单持仓,AU
11,中信建投,3409,195.0,20250822,au2510,多单持仓,AU
12,广发期货,3311,205.0,20250822,au2510,多单持仓,AU
13,方正中期,2723,180.0,20250822,au2510,多单持仓,AU
14,光大期货,2219,-6.0,20250822,au2510,多单持仓,AU
15,乾坤期货,2114,-1062.0,20250822,au2510,多单持仓,AU
16,招商期货,1974,-471.0,20250822,au2510,多单持仓,AU
17,渤海期货,1970,13.0,20250822,au2510,多单持仓,AU
18,齐盛期货,1907,137.0,20250822,au2510,多单持仓,AU
19,中金财富,1856,-231.0,20250822,au2510,多单持仓,AU
20,民生期货,1792,-51.0,20250822,au2510,多单持仓,AU
1,国泰君安,15105,-110.0,20250825,au2510,多单持仓,AU
2,中信期货,13566,-325.0,20250825,au2510,多单持仓,AU
3,东证期货,10799,126.0,20250825,au2510,多单持仓,AU
4,银河期货,6353,234.0,20250825,au2510,多单持仓,AU
5,中财期货,5990,-1864.0,20250825,au2510,多单持仓,AU
6,平安期货,5889,115.0,20250825,au2510,多单持仓,AU
7,国投期货,5350,-244.0,20250825,au2510,多单持仓,AU
8,华泰期货,4996,513.0,20250825,au2510,多单持仓,AU
9,永安期货,3768,37.0,20250825,au2510,多单持仓,AU
10,申万期货,3497,-20.0,20250825,au2510,多单持仓,AU
11,广发期货,3187,-124.0,20250825,au2510,多单持仓,AU
12,中信建投,3009,-400.0,20250825,au2510,多单持仓,AU
13,招商期货,2907,933.0,20250825,au2510,多单持仓,AU
14,方正中期,2413,-310.0,20250825,au2510,多单持仓,AU
15,光大期货,2252,33.0,20250825,au2510,多单持仓,AU
16,中金财富,2127,271.0,20250825,au2510,多单持仓,AU
17,创元期货,1990,199.0,20250825,au2510,多单持仓,AU
18,乾坤期货,1966,-148.0,20250825,au2510,多单持仓,AU
19,渤海期货,1963,-7.0,20250825,au2510,多单持仓,AU
20,南华期货,1943,171.0,20250825,au2510,多单持仓,AU
1,国泰君安,15284,179.0,20250826,au2510,多单持仓,AU
2,中信期货,13575,9.0,20250826,au2510,多单持仓,AU
3,东证期货,10905,106.0,20250826,au2510,多单持仓,AU
4,银河期货,6346,-7.0,20250826,au2510,多单持仓,AU
5,中财期货,5979,-11.0,20250826,au2510,多单持仓,AU
6,平安期货,5840,-49.0,20250826,au2510,多单持仓,AU
7,国投期货,5103,-247.0,20250826,au2510,多单持仓,AU
8,永安期货,3838,70.0,20250826,au2510,多单持仓,AU
9,华泰期货,3629,-1367.0,20250826,au2510,多单持仓,AU
10,申万期货,3132,-365.0,20250826,au2510,多单持仓,AU
11,广发期货,3104,-83.0,20250826,au2510,多单持仓,AU
12,中信建投,2968,-41.0,20250826,au2510,多单持仓,AU
13,招商期货,2816,-91.0,20250826,au2510,多单持仓,AU
14,光大期货,2338,86.0,20250826,au2510,多单持仓,AU
15,乾坤期货,2283,317.0,20250826,au2510,多单持仓,AU
16,方正中期,2197,-216.0,20250826,au2510,多单持仓,AU
17,中金财富,2133,6.0,20250826,au2510,多单持仓,AU
18,南华期货,1970,27.0,20250826,au2510,多单持仓,AU
19,渤海期货,1965,2.0,20250826,au2510,多单持仓,AU
20,海通期货,1833,8.0,20250826,au2510,多单持仓,AU
1,国泰君安,15326,42.0,20250827,au2510,多单持仓,AU
2,中信期货,12849,-726.0,20250827,au2510,多单持仓,AU
3,东证期货,11338,433.0,20250827,au2510,多单持仓,AU
4,银河期货,6439,93.0,20250827,au2510,多单持仓,AU
5,平安期货,5897,57.0,20250827,au2510,多单持仓,AU
6,国投期货,4844,-259.0,20250827,au2510,多单持仓,AU
7,中财期货,4409,-1570.0,20250827,au2510,多单持仓,AU
8,永安期货,3976,138.0,20250827,au2510,多单持仓,AU
9,华泰期货,3795,166.0,20250827,au2510,多单持仓,AU
10,申万期货,3042,-90.0,20250827,au2510,多单持仓,AU
11,中信建投,2860,-108.0,20250827,au2510,多单持仓,AU
12,广发期货,2798,-306.0,20250827,au2510,多单持仓,AU
13,招商期货,2623,-193.0,20250827,au2510,多单持仓,AU
14,光大期货,2319,-19.0,20250827,au2510,多单持仓,AU
15,中金财富,2137,4.0,20250827,au2510,多单持仓,AU
16,方正中期,2038,-159.0,20250827,au2510,多单持仓,AU
17,渤海期货,1987,22.0,20250827,au2510,多单持仓,AU
18,南华期货,1885,-85.0,20250827,au2510,多单持仓,AU
19,海通期货,1873,40.0,20250827,au2510,多单持仓,AU
20,创元期货,1770,31.0,20250827,au2510,多单持仓,AU
1,中信期货,14419,1111.0,20250828,AU2512,多单持仓,AU
2,国泰君安,11228,48.0,20250828,AU2512,多单持仓,AU
3,中财期货,8853,8.0,20250828,AU2512,多单持仓,AU
4,东证期货,8400,-97.0,20250828,AU2512,多单持仓,AU
5,华泰期货,4830,390.0,20250828,AU2512,多单持仓,AU
6,银河期货,4363,20.0,20250828,AU2512,多单持仓,AU
7,乾坤期货,3973,464.0,20250828,AU2512,多单持仓,AU
8,国投期货,3487,60.0,20250828,AU2512,多单持仓,AU
9,中信建投,2891,27.0,20250828,AU2512,多单持仓,AU
10,中泰期货,2552,-2.0,20250828,AU2512,多单持仓,AU
11,光大期货,2546,138.0,20250828,AU2512,多单持仓,AU
12,永安期货,2511,-33.0,20250828,AU2512,多单持仓,AU
13,浙商期货,2407,43.0,20250828,AU2512,多单持仓,AU
14,渤海期货,2103,-14.0,20250828,AU2512,多单持仓,AU
15,东吴期货,1892,2.0,20250828,AU2512,多单持仓,AU
16,申万期货,1891,163.0,20250828,AU2512,多单持仓,AU
17,招商期货,1760,-18.0,20250828,AU2512,多单持仓,AU
18,国信期货,1686,-58.0,20250828,AU2512,多单持仓,AU
19,兴证期货,1676,1.0,20250828,AU2512,多单持仓,AU
20,信达期货,1648,-3.0,20250828,AU2512,多单持仓,AU
1,国泰君安,15172,-303.0,20250829,AU2510,多单持仓,AU
2,中信期货,12773,-269.0,20250829,AU2510,多单持仓,AU
3,东证期货,10578,-1630.0,20250829,AU2510,多单持仓,AU
4,平安期货,5757,431.0,20250829,AU2510,多单持仓,AU
5,银河期货,5756,-482.0,20250829,AU2510,多单持仓,AU
6,国投期货,4590,11.0,20250829,AU2510,多单持仓,AU
7,中财期货,4158,123.0,20250829,AU2510,多单持仓,AU
8,永安期货,3859,-42.0,20250829,AU2510,多单持仓,AU
9,华泰期货,3222,-487.0,20250829,AU2510,多单持仓,AU
10,申万期货,2660,-310.0,20250829,AU2510,多单持仓,AU
11,招商期货,2584,-28.0,20250829,AU2510,多单持仓,AU
12,广发期货,2258,-246.0,20250829,AU2510,多单持仓,AU
13,光大期货,2168,-240.0,20250829,AU2510,多单持仓,AU
14,南华期货,2149,116.0,20250829,AU2510,多单持仓,AU
15,中信建投,2137,-562.0,20250829,AU2510,多单持仓,AU
16,中金财富,2061,-150.0,20250829,AU2510,多单持仓,AU
