排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,7622,-159.0,2025-11-06,au2512,空单持仓,AU
2,国泰君安,6817,-109.0,2025-11-06,au2512,空单持仓,AU
3,金瑞期货,3583,1.0,2025-11-06,au2512,空单持仓,AU
4,东证期货,2795,-395.0,2025-11-06,au2512,空单持仓,AU
5,齐盛期货,2688,37.0,2025-11-06,au2512,空单持仓,AU
6,山金期货,1888,-8.0,2025-11-06,au2512,空单持仓,AU
7,南华期货,1526,7.0,2025-11-06,au2512,空单持仓,AU
8,五矿期货,1271,-133.0,2025-11-06,au2512,空单持仓,AU
9,广发期货,1169,-24.0,2025-11-06,au2512,空单持仓,AU
10,华泰期货,1147,128.0,2025-11-06,au2512,空单持仓,AU
11,方正中期,1125,-48.0,2025-11-06,au2512,空单持仓,AU
12,银河期货,1088,-101.0,2025-11-06,au2512,空单持仓,AU
13,永安期货,1084,-107.0,2025-11-06,au2512,空单持仓,AU
14,财信期货,1055,13.0,2025-11-06,au2512,空单持仓,AU
15,平安期货,1042,121.0,2025-11-06,au2512,空单持仓,AU
16,浙商期货,894,17.0,2025-11-06,au2512,空单持仓,AU
17,中泰期货,832,63.0,2025-11-06,au2512,空单持仓,AU
18,中银期货,799,43.0,2025-11-06,au2512,空单持仓,AU
19,中信建投,721,-197.0,2025-11-06,au2512,空单持仓,AU
20,紫金天风,688,-5.0,2025-11-06,au2512,空单持仓,AU
1,中信期货,7762,140.0,2025-11-07,au2512,空单持仓,AU
2,国泰君安,7399,582.0,2025-11-07,au2512,空单持仓,AU
3,金瑞期货,3599,16.0,2025-11-07,au2512,空单持仓,AU
4,东证期货,2930,135.0,2025-11-07,au2512,空单持仓,AU
5,齐盛期货,2791,103.0,2025-11-07,au2512,空单持仓,AU
6,山金期货,1903,15.0,2025-11-07,au2512,空单持仓,AU
7,南华期货,1602,76.0,2025-11-07,au2512,空单持仓,AU
8,五矿期货,1298,27.0,2025-11-07,au2512,空单持仓,AU
9,平安期货,1182,140.0,2025-11-07,au2512,空单持仓,AU
10,华泰期货,1102,-45.0,2025-11-07,au2512,空单持仓,AU
11,方正中期,1099,-26.0,2025-11-07,au2512,空单持仓,AU
12,广发期货,1087,-82.0,2025-11-07,au2512,空单持仓,AU
13,银河期货,1037,-51.0,2025-11-07,au2512,空单持仓,AU
14,财信期货,1037,-18.0,2025-11-07,au2512,空单持仓,AU
15,永安期货,926,-158.0,2025-11-07,au2512,空单持仓,AU
16,中银期货,899,100.0,2025-11-07,au2512,空单持仓,AU
17,浙商期货,886,-8.0,2025-11-07,au2512,空单持仓,AU
18,建信期货,776,111.0,2025-11-07,au2512,空单持仓,AU
19,中泰期货,772,-60.0,2025-11-07,au2512,空单持仓,AU
20,光大期货,696,33.0,2025-11-07,au2512,空单持仓,AU
1,中信期货,8033,271.0,2025-11-10,au2512,空单持仓,AU
2,国泰君安,7452,53.0,2025-11-10,au2512,空单持仓,AU
3,金瑞期货,3649,50.0,2025-11-10,au2512,空单持仓,AU
4,齐盛期货,2745,-46.0,2025-11-10,au2512,空单持仓,AU
5,东证期货,2426,-504.0,2025-11-10,au2512,空单持仓,AU
6,山金期货,1882,-21.0,2025-11-10,au2512,空单持仓,AU
7,南华期货,1525,-77.0,2025-11-10,au2512,空单持仓,AU
8,五矿期货,1276,-22.0,2025-11-10,au2512,空单持仓,AU
9,平安期货,1247,65.0,2025-11-10,au2512,空单持仓,AU
10,银河期货,1117,80.0,2025-11-10,au2512,空单持仓,AU
11,华泰期货,1055,-47.0,2025-11-10,au2512,空单持仓,AU
12,财信期货,1034,-3.0,2025-11-10,au2512,空单持仓,AU
13,方正中期,995,-104.0,2025-11-10,au2512,空单持仓,AU
14,广发期货,977,-110.0,2025-11-10,au2512,空单持仓,AU
15,永安期货,965,39.0,2025-11-10,au2512,空单持仓,AU
16,中银期货,796,-103.0,2025-11-10,au2512,空单持仓,AU
17,中泰期货,788,16.0,2025-11-10,au2512,空单持仓,AU
18,浙商期货,781,-105.0,2025-11-10,au2512,空单持仓,AU
19,光大期货,765,69.0,2025-11-10,au2512,空单持仓,AU
20,紫金天风,713,30.0,2025-11-10,au2512,空单持仓,AU
1,中信期货,8349,316.0,2025-11-11,au2512,空单持仓,AU
2,国泰君安,7263,-189.0,2025-11-11,au2512,空单持仓,AU
3,金瑞期货,3433,-216.0,2025-11-11,au2512,空单持仓,AU
4,东证期货,3129,703.0,2025-11-11,au2512,空单持仓,AU
5,齐盛期货,2413,-332.0,2025-11-11,au2512,空单持仓,AU
6,山金期货,1878,-4.0,2025-11-11,au2512,空单持仓,AU
7,南华期货,1542,17.0,2025-11-11,au2512,空单持仓,AU
8,华泰期货,1342,287.0,2025-11-11,au2512,空单持仓,AU
9,五矿期货,1254,-22.0,2025-11-11,au2512,空单持仓,AU
10,广发期货,1051,74.0,2025-11-11,au2512,空单持仓,AU
11,财信期货,1018,-16.0,2025-11-11,au2512,空单持仓,AU
12,银河期货,993,-124.0,2025-11-11,au2512,空单持仓,AU
13,平安期货,939,-308.0,2025-11-11,au2512,空单持仓,AU
14,永安期货,908,-57.0,2025-11-11,au2512,空单持仓,AU
15,方正中期,874,-121.0,2025-11-11,au2512,空单持仓,AU
16,光大期货,770,5.0,2025-11-11,au2512,空单持仓,AU
17,紫金天风,728,15.0,2025-11-11,au2512,空单持仓,AU
18,浙商期货,711,-70.0,2025-11-11,au2512,空单持仓,AU
19,中银期货,693,-103.0,2025-11-11,au2512,空单持仓,AU
20,中泰期货,688,-100.0,2025-11-11,au2512,空单持仓,AU
1,国泰君安,6477,48.0,2025-11-12,au2602,空单持仓,AU
2,中信建投,3210,54.0,2025-11-12,au2602,空单持仓,AU
3,中信期货,2586,177.0,2025-11-12,au2602,空单持仓,AU
4,云晨期货,2235,-145.0,2025-11-12,au2602,空单持仓,AU
5,华泰期货,2060,-29.0,2025-11-12,au2602,空单持仓,AU
6,齐盛期货,1365,-17.0,2025-11-12,au2602,空单持仓,AU
7,方正中期,1098,12.0,2025-11-12,au2602,空单持仓,AU
