排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol,持仓量
1,中信期货,34911.0,-8113.0,2025-08-18,au2510,成交量,AU,
2,国泰君安,24251.0,-7293.0,2025-08-18,au2510,成交量,AU,
3,东证期货,15659.0,-5647.0,2025-08-18,au2510,成交量,AU,
4,国信期货,13043.0,-5447.0,2025-08-18,au2510,成交量,AU,
5,华泰期货,9773.0,-2559.0,2025-08-18,au2510,成交量,AU,
6,海通期货,9275.0,-2650.0,2025-08-18,au2510,成交量,AU,
7,广发期货,7801.0,602.0,2025-08-18,au2510,成交量,AU,
8,银河期货,7613.0,-1788.0,2025-08-18,au2510,成交量,AU,
9,中信建投,5407.0,-1002.0,2025-08-18,au2510,成交量,AU,
10,南华期货,4847.0,-1103.0,2025-08-18,au2510,成交量,AU,
11,平安期货,4790.0,-1644.0,2025-08-18,au2510,成交量,AU,
12,民生期货,4729.0,-261.0,2025-08-18,au2510,成交量,AU,
13,中泰期货,4628.0,-677.0,2025-08-18,au2510,成交量,AU,
14,格林大华,4260.0,1902.0,2025-08-18,au2510,成交量,AU,
15,五矿期货,4008.0,699.0,2025-08-18,au2510,成交量,AU,
16,光大期货,3956.0,-2621.0,2025-08-18,au2510,成交量,AU,
17,徽商期货,3533.0,-775.0,2025-08-18,au2510,成交量,AU,
18,东方财富,3376.0,-777.0,2025-08-18,au2510,成交量,AU,
19,方正中期,3208.0,-2629.0,2025-08-18,au2510,成交量,AU,
20,新湖期货,3174.0,-80.0,2025-08-18,au2510,成交量,AU,
1,中信期货,31335.0,-3576.0,2025-08-19,au2510,成交量,AU,
2,国泰君安,22877.0,-1374.0,2025-08-19,au2510,成交量,AU,
3,东证期货,15909.0,250.0,2025-08-19,au2510,成交量,AU,
4,国信期货,12253.0,-790.0,2025-08-19,au2510,成交量,AU,
5,华泰期货,11786.0,2013.0,2025-08-19,au2510,成交量,AU,
6,广发期货,6960.0,-841.0,2025-08-19,au2510,成交量,AU,
7,银河期货,6712.0,-901.0,2025-08-19,au2510,成交量,AU,
8,海通期货,5464.0,-3811.0,2025-08-19,au2510,成交量,AU,
9,平安期货,5168.0,378.0,2025-08-19,au2510,成交量,AU,
10,南华期货,4958.0,111.0,2025-08-19,au2510,成交量,AU,
11,中信建投,4545.0,-862.0,2025-08-19,au2510,成交量,AU,
12,五矿期货,4510.0,502.0,2025-08-19,au2510,成交量,AU,
13,民生期货,4099.0,-630.0,2025-08-19,au2510,成交量,AU,
14,中泰期货,3689.0,-939.0,2025-08-19,au2510,成交量,AU,
15,东方财富,3500.0,124.0,2025-08-19,au2510,成交量,AU,
16,方正中期,3484.0,276.0,2025-08-19,au2510,成交量,AU,
17,中银期货,3115.0,138.0,2025-08-19,au2510,成交量,AU,
18,新湖期货,3079.0,-95.0,2025-08-19,au2510,成交量,AU,
19,浙商期货,2970.0,72.0,2025-08-19,au2510,成交量,AU,
20,申万期货,2817.0,493.0,2025-08-19,au2510,成交量,AU,
1,中信期货,44144.0,12809.0,2025-08-20,au2510,成交量,AU,
2,国泰君安,29736.0,6859.0,2025-08-20,au2510,成交量,AU,
3,东证期货,20296.0,4387.0,2025-08-20,au2510,成交量,AU,
4,国信期货,15032.0,2779.0,2025-08-20,au2510,成交量,AU,
5,华泰期货,11620.0,-166.0,2025-08-20,au2510,成交量,AU,
6,海通期货,10083.0,4619.0,2025-08-20,au2510,成交量,AU,
7,广发期货,8097.0,1137.0,2025-08-20,au2510,成交量,AU,
8,银河期货,8007.0,1295.0,2025-08-20,au2510,成交量,AU,
9,中信建投,6504.0,1959.0,2025-08-20,au2510,成交量,AU,
10,平安期货,5715.0,547.0,2025-08-20,au2510,成交量,AU,
11,中泰期货,5317.0,1628.0,2025-08-20,au2510,成交量,AU,
12,南华期货,5003.0,45.0,2025-08-20,au2510,成交量,AU,
13,民生期货,4940.0,841.0,2025-08-20,au2510,成交量,AU,
14,方正中期,4697.0,1213.0,2025-08-20,au2510,成交量,AU,
15,浙商期货,4161.0,1191.0,2025-08-20,au2510,成交量,AU,
16,光大期货,4128.0,1324.0,2025-08-20,au2510,成交量,AU,
17,徽商期货,4086.0,1847.0,2025-08-20,au2510,成交量,AU,
18,五矿期货,3631.0,-879.0,2025-08-20,au2510,成交量,AU,
19,中银期货,3403.0,288.0,2025-08-20,au2510,成交量,AU,
20,新湖期货,3362.0,283.0,2025-08-20,au2510,成交量,AU,
1,中信期货,29428.0,-14716.0,2025-08-21,au2510,成交量,AU,
2,国泰君安,23962.0,-5774.0,2025-08-21,au2510,成交量,AU,
3,东证期货,17199.0,-3097.0,2025-08-21,au2510,成交量,AU,
4,国信期货,11630.0,-3402.0,2025-08-21,au2510,成交量,AU,
5,华泰期货,9696.0,-1924.0,2025-08-21,au2510,成交量,AU,
