排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,华泰期货,11261,1267.0,2025-06-16,B2509,空单持仓,B
2,摩根大通,8049,-1291.0,2025-06-16,B2509,空单持仓,B
3,东证期货,7328,-565.0,2025-06-16,B2509,空单持仓,B
4,国泰君安,6674,101.0,2025-06-16,B2509,空单持仓,B
5,国联期货,6544,-234.0,2025-06-16,B2509,空单持仓,B
6,乾坤期货,5741,-210.0,2025-06-16,B2509,空单持仓,B
7,广发期货,5617,-416.0,2025-06-16,B2509,空单持仓,B
8,国投期货,5125,33.0,2025-06-16,B2509,空单持仓,B
9,银河期货,4063,640.0,2025-06-16,B2509,空单持仓,B
10,中信期货,3529,-1063.0,2025-06-16,B2509,空单持仓,B
11,申银万国,3463,624.0,2025-06-16,B2509,空单持仓,B
12,平安期货,2720,223.0,2025-06-16,B2509,空单持仓,B
13,招商期货,2451,124.0,2025-06-16,B2509,空单持仓,B
14,国信期货,1792,17.0,2025-06-16,B2509,空单持仓,B
15,中信建投,1787,-405.0,2025-06-16,B2509,空单持仓,B
16,国盛期货,1748,122.0,2025-06-16,B2509,空单持仓,B
17,中泰期货,1650,397.0,2025-06-16,B2509,空单持仓,B
18,瑞银期货,1616,-8.0,2025-06-16,B2509,空单持仓,B
19,五矿期货,1564,72.0,2025-06-16,B2509,空单持仓,B
20,光大期货,1544,8.0,2025-06-16,B2509,空单持仓,B
1,华泰期货,11235,-26.0,2025-06-17,B2509,空单持仓,B
2,国泰君安,7463,789.0,2025-06-17,B2509,空单持仓,B
3,东证期货,7349,21.0,2025-06-17,B2509,空单持仓,B
4,国联期货,6728,184.0,2025-06-17,B2509,空单持仓,B
5,摩根大通,6454,-1595.0,2025-06-17,B2509,空单持仓,B
6,广发期货,5921,304.0,2025-06-17,B2509,空单持仓,B
7,乾坤期货,5647,-94.0,2025-06-17,B2509,空单持仓,B
8,国投期货,5485,360.0,2025-06-17,B2509,空单持仓,B
9,银河期货,4590,527.0,2025-06-17,B2509,空单持仓,B
10,申银万国,3612,149.0,2025-06-17,B2509,空单持仓,B
11,中信期货,3450,-79.0,2025-06-17,B2509,空单持仓,B
12,平安期货,2905,185.0,2025-06-17,B2509,空单持仓,B
13,招商期货,2299,-152.0,2025-06-17,B2509,空单持仓,B
14,中信建投,1980,193.0,2025-06-17,B2509,空单持仓,B
15,徽商期货,1930,580.0,2025-06-17,B2509,空单持仓,B
16,国盛期货,1861,113.0,2025-06-17,B2509,空单持仓,B
17,国信期货,1774,-18.0,2025-06-17,B2509,空单持仓,B
18,创元期货,1769,344.0,2025-06-17,B2509,空单持仓,B
19,光大期货,1582,38.0,2025-06-17,B2509,空单持仓,B
20,华安期货,1578,910.0,2025-06-17,B2509,空单持仓,B
1,华泰期货,11593,358.0,2025-06-18,B2509,空单持仓,B
2,国泰君安,7513,50.0,2025-06-18,B2509,空单持仓,B
3,国联期货,6728,0.0,2025-06-18,B2509,空单持仓,B
4,东证期货,6438,-911.0,2025-06-18,B2509,空单持仓,B
5,广发期货,6322,401.0,2025-06-18,B2509,空单持仓,B
6,乾坤期货,6152,505.0,2025-06-18,B2509,空单持仓,B
7,摩根大通,5822,-632.0,2025-06-18,B2509,空单持仓,B
8,国投期货,5409,-76.0,2025-06-18,B2509,空单持仓,B
9,银河期货,4061,-529.0,2025-06-18,B2509,空单持仓,B
10,申银万国,3621,9.0,2025-06-18,B2509,空单持仓,B
11,平安期货,2937,32.0,2025-06-18,B2509,空单持仓,B
12,中信期货,2889,-561.0,2025-06-18,B2509,空单持仓,B
13,招商期货,2259,-40.0,2025-06-18,B2509,空单持仓,B
14,中信建投,2068,88.0,2025-06-18,B2509,空单持仓,B
15,徽商期货,1850,-80.0,2025-06-18,B2509,空单持仓,B
16,国盛期货,1844,-17.0,2025-06-18,B2509,空单持仓,B
17,国信期货,1842,68.0,2025-06-18,B2509,空单持仓,B
18,华安期货,1651,73.0,2025-06-18,B2509,空单持仓,B
19,创元期货,1616,-153.0,2025-06-18,B2509,空单持仓,B
20,中泰期货,1519,67.0,2025-06-18,B2509,空单持仓,B
1,华泰期货,12885,1292.0,2025-06-19,B2509,空单持仓,B
2,国泰君安,9277,1764.0,2025-06-19,B2509,空单持仓,B
3,国联期货,6999,271.0,2025-06-19,B2509,空单持仓,B
4,广发期货,6395,73.0,2025-06-19,B2509,空单持仓,B
5,乾坤期货,6158,6.0,2025-06-19,B2509,空单持仓,B
6,国投期货,5905,496.0,2025-06-19,B2509,空单持仓,B
7,东证期货,5555,-883.0,2025-06-19,B2509,空单持仓,B
8,摩根大通,4835,-987.0,2025-06-19,B2509,空单持仓,B
9,银河期货,4386,325.0,2025-06-19,B2509,空单持仓,B
10,申银万国,3845,224.0,2025-06-19,B2509,空单持仓,B
11,平安期货,3149,212.0,2025-06-19,B2509,空单持仓,B
12,徽商期货,2622,772.0,2025-06-19,B2509,空单持仓,B
13,招商期货,2500,241.0,2025-06-19,B2509,空单持仓,B
14,中信期货,2490,-399.0,2025-06-19,B2509,空单持仓,B
15,华安期货,2154,503.0,2025-06-19,B2509,空单持仓,B
16,中信建投,2123,55.0,2025-06-19,B2509,空单持仓,B
17,国信期货,1971,129.0,2025-06-19,B2509,空单持仓,B
18,金信期货,1931,756.0,2025-06-19,B2509,空单持仓,B
19,国盛期货,1894,50.0,2025-06-19,B2509,空单持仓,B
20,创元期货,1886,270.0,2025-06-19,B2509,空单持仓,B
1,华泰期货,12233,-652.0,2025-06-20,B2509,空单持仓,B
2,国泰君安,10113,836.0,2025-06-20,B2509,空单持仓,B
3,广发期货,8577,2182.0,2025-06-20,B2509,空单持仓,B
4,国联期货,7235,236.0,2025-06-20,B2509,空单持仓,B
5,乾坤期货,6285,127.0,2025-06-20,B2509,空单持仓,B
6,国投期货,5997,92.0,2025-06-20,B2509,空单持仓,B
7,东证期货,4874,-681.0,2025-06-20,B2509,空单持仓,B
8,摩根大通,4451,-384.0,2025-06-20,B2509,空单持仓,B
9,申银万国,4034,189.0,2025-06-20,B2509,空单持仓,B
10,银河期货,3980,-406.0,2025-06-20,B2509,空单持仓,B
11,平安期货,2957,-192.0,2025-06-20,B2509,空单持仓,B
12,招商期货,2443,-57.0,2025-06-20,B2509,空单持仓,B
13,中信期货,2272,-218.0,2025-06-20,B2509,空单持仓,B
14,徽商期货,2158,-464.0,2025-06-20,B2509,空单持仓,B
15,华安期货,2147,-7.0,2025-06-20,B2509,空单持仓,B
16,中信建投,1996,-127.0,2025-06-20,B2509,空单持仓,B
17,国盛期货,1881,-13.0,2025-06-20,B2509,空单持仓,B
18,创元期货,1873,-13.0,2025-06-20,B2509,空单持仓,B
19,金信期货,1755,-176.0,2025-06-20,B2509,空单持仓,B
20,国信期货,1659,-312.0,2025-06-20,B2509,空单持仓,B
1,华泰期货,12610,377.0,2025-06-23,B2509,空单持仓,B
2,广发期货,11505,2928.0,2025-06-23,B2509,空单持仓,B
3,国泰君安,9038,-1075.0,2025-06-23,B2509,空单持仓,B
4,国联期货,7283,48.0,2025-06-23,B2509,空单持仓,B
5,乾坤期货,6565,280.0,2025-06-23,B2509,空单持仓,B
6,国投期货,5811,-186.0,2025-06-23,B2509,空单持仓,B
7,东证期货,5038,164.0,2025-06-23,B2509,空单持仓,B
8,摩根大通,4771,320.0,2025-06-23,B2509,空单持仓,B
9,申银万国,4064,30.0,2025-06-23,B2509,空单持仓,B
10,平安期货,2936,-21.0,2025-06-23,B2509,空单持仓,B
11,招商期货,2592,149.0,2025-06-23,B2509,空单持仓,B
12,中信期货,2313,41.0,2025-06-23,B2509,空单持仓,B
13,银河期货,2062,-1918.0,2025-06-23,B2509,空单持仓,B
14,金信期货,1865,110.0,2025-06-23,B2509,空单持仓,B
15,中信建投,1842,-154.0,2025-06-23,B2509,空单持仓,B
16,创元期货,1747,-126.0,2025-06-23,B2509,空单持仓,B
17,国信期货,1674,15.0,2025-06-23,B2509,空单持仓,B
18,徽商期货,1669,-489.0,2025-06-23,B2509,空单持仓,B
19,中融汇信,1572,35.0,2025-06-23,B2509,空单持仓,B
20,上海大陆,1568,-25.0,2025-06-23,B2509,空单持仓,B
1,广发期货,10998,-507.0,2025-06-24,B2509,空单持仓,B
2,华泰期货,10647,-1963.0,2025-06-24,B2509,空单持仓,B
3,国泰君安,7672,-1366.0,2025-06-24,B2509,空单持仓,B
4,国联期货,7210,-73.0,2025-06-24,B2509,空单持仓,B
5,乾坤期货,7012,447.0,2025-06-24,B2509,空单持仓,B
6,摩根大通,5961,1190.0,2025-06-24,B2509,空单持仓,B
