排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol,成交量
1,东证期货,61187.0,15760.0,2025-06-16,B2509,成交量,B,
2,国泰君安,50486.0,8923.0,2025-06-16,B2509,成交量,B,
3,华泰期货,33932.0,10455.0,2025-06-16,B2509,成交量,B,
4,中信期货,16590.0,-1853.0,2025-06-16,B2509,成交量,B,
5,银河期货,13487.0,2023.0,2025-06-16,B2509,成交量,B,
6,中泰期货,10700.0,2009.0,2025-06-16,B2509,成交量,B,
7,徽商期货,6802.0,2566.0,2025-06-16,B2509,成交量,B,
8,光大期货,4954.0,1558.0,2025-06-16,B2509,成交量,B,
9,广发期货,4878.0,981.0,2025-06-16,B2509,成交量,B,
10,华安期货,4362.0,884.0,2025-06-16,B2509,成交量,B,
11,方正中期,4340.0,586.0,2025-06-16,B2509,成交量,B,
12,南华期货,4238.0,1752.0,2025-06-16,B2509,成交量,B,
13,中信建投,3946.0,986.0,2025-06-16,B2509,成交量,B,
14,宏源期货,3897.0,-22.0,2025-06-16,B2509,成交量,B,
15,浙商期货,3777.0,1021.0,2025-06-16,B2509,成交量,B,
16,国信期货,3753.0,913.0,2025-06-16,B2509,成交量,B,
17,海通期货,3643.0,778.0,2025-06-16,B2509,成交量,B,
18,东方财富,3576.0,566.0,2025-06-16,B2509,成交量,B,
19,兴证期货,3326.0,-357.0,2025-06-16,B2509,成交量,B,
20,华闻期货,3192.0,137.0,2025-06-16,B2509,成交量,B,
1,东证期货,51004.0,-10183.0,2025-06-17,B2509,成交量,B,
2,国泰君安,46363.0,-4123.0,2025-06-17,B2509,成交量,B,
3,华泰期货,29893.0,-4039.0,2025-06-17,B2509,成交量,B,
4,银河期货,13134.0,-353.0,2025-06-17,B2509,成交量,B,
5,中信期货,12963.0,-3627.0,2025-06-17,B2509,成交量,B,
6,中泰期货,10554.0,-146.0,2025-06-17,B2509,成交量,B,
7,徽商期货,6766.0,-36.0,2025-06-17,B2509,成交量,B,
8,浙商期货,6172.0,2395.0,2025-06-17,B2509,成交量,B,
9,光大期货,4516.0,-438.0,2025-06-17,B2509,成交量,B,
10,乾坤期货,3573.0,2781.0,2025-06-17,B2509,成交量,B,
11,海通期货,3153.0,-490.0,2025-06-17,B2509,成交量,B,
12,宏源期货,3075.0,-822.0,2025-06-17,B2509,成交量,B,
13,中粮期货,2902.0,1949.0,2025-06-17,B2509,成交量,B,
14,东方财富,2882.0,-694.0,2025-06-17,B2509,成交量,B,
15,方正中期,2868.0,-1472.0,2025-06-17,B2509,成交量,B,
16,摩根大通,2828.0,-226.0,2025-06-17,B2509,成交量,B,
17,南华期货,2798.0,-1440.0,2025-06-17,B2509,成交量,B,
18,正信期货,2669.0,1317.0,2025-06-17,B2509,成交量,B,
19,华安期货,2650.0,-1712.0,2025-06-17,B2509,成交量,B,
20,国信期货,2639.0,-1114.0,2025-06-17,B2509,成交量,B,
1,东证期货,42643.0,-8361.0,2025-06-18,B2509,成交量,B,
2,国泰君安,30502.0,-15861.0,2025-06-18,B2509,成交量,B,
3,华泰期货,23786.0,-6107.0,2025-06-18,B2509,成交量,B,
4,银河期货,15160.0,2026.0,2025-06-18,B2509,成交量,B,
5,中信期货,12615.0,-348.0,2025-06-18,B2509,成交量,B,
6,中泰期货,9583.0,-971.0,2025-06-18,B2509,成交量,B,
7,浙商期货,5834.0,-338.0,2025-06-18,B2509,成交量,B,
8,徽商期货,5482.0,-1284.0,2025-06-18,B2509,成交量,B,
9,方正中期,4091.0,1223.0,2025-06-18,B2509,成交量,B,
10,广发期货,3839.0,2103.0,2025-06-18,B2509,成交量,B,
11,南华期货,3224.0,426.0,2025-06-18,B2509,成交量,B,
12,海通期货,3079.0,-74.0,2025-06-18,B2509,成交量,B,
13,光大期货,3022.0,-1494.0,2025-06-18,B2509,成交量,B,
14,摩根大通,2438.0,-390.0,2025-06-18,B2509,成交量,B,
15,华安期货,2373.0,-277.0,2025-06-18,B2509,成交量,B,
16,中信建投,2100.0,-530.0,2025-06-18,B2509,成交量,B,
17,兴证期货,2088.0,-57.0,2025-06-18,B2509,成交量,B,
18,宏源期货,1952.0,-1123.0,2025-06-18,B2509,成交量,B,
19,国信期货,1888.0,-751.0,2025-06-18,B2509,成交量,B,
20,国贸期货,1793.0,826.0,2025-06-18,B2509,成交量,B,
1,东证期货,45061.0,2418.0,2025-06-19,B2509,成交量,B,
2,国泰君安,30802.0,300.0,2025-06-19,B2509,成交量,B,
3,华泰期货,22807.0,-979.0,2025-06-19,B2509,成交量,B,
4,中信期货,15160.0,2545.0,2025-06-19,B2509,成交量,B,
5,银河期货,13877.0,-1283.0,2025-06-19,B2509,成交量,B,
6,中泰期货,8904.0,-679.0,2025-06-19,B2509,成交量,B,
7,徽商期货,5544.0,62.0,2025-06-19,B2509,成交量,B,
8,中财期货,4673.0,3445.0,2025-06-19,B2509,成交量,B,
9,浙商期货,4488.0,-1346.0,2025-06-19,B2509,成交量,B,
10,广发期货,4157.0,318.0,2025-06-19,B2509,成交量,B,
11,方正中期,3949.0,-142.0,2025-06-19,B2509,成交量,B,
12,海通期货,3874.0,795.0,2025-06-19,B2509,成交量,B,
13,南华期货,3764.0,540.0,2025-06-19,B2509,成交量,B,
14,摩根大通,3081.0,643.0,2025-06-19,B2509,成交量,B,
15,光大期货,3056.0,34.0,2025-06-19,B2509,成交量,B,
16,华闻期货,2974.0,1523.0,2025-06-19,B2509,成交量,B,
17,国信期货,2912.0,1024.0,2025-06-19,B2509,成交量,B,
18,华安期货,2883.0,510.0,2025-06-19,B2509,成交量,B,
19,宏源期货,2815.0,863.0,2025-06-19,B2509,成交量,B,
20,中信建投,2813.0,713.0,2025-06-19,B2509,成交量,B,
1,东证期货,40652.0,-4409.0,2025-06-20,B2509,成交量,B,
2,国泰君安,27862.0,-2940.0,2025-06-20,B2509,成交量,B,
3,华泰期货,19434.0,-3373.0,2025-06-20,B2509,成交量,B,
4,中信期货,15626.0,466.0,2025-06-20,B2509,成交量,B,
5,银河期货,12005.0,-1872.0,2025-06-20,B2509,成交量,B,
6,中泰期货,6656.0,-2248.0,2025-06-20,B2509,成交量,B,
7,广发期货,5957.0,1800.0,2025-06-20,B2509,成交量,B,
8,摩根大通,5171.0,2090.0,2025-06-20,B2509,成交量,B,
9,徽商期货,4474.0,-1070.0,2025-06-20,B2509,成交量,B,
10,方正中期,4156.0,207.0,2025-06-20,B2509,成交量,B,
11,光大期货,3637.0,581.0,2025-06-20,B2509,成交量,B,
12,海通期货,3477.0,-397.0,2025-06-20,B2509,成交量,B,
13,国信期货,3111.0,199.0,2025-06-20,B2509,成交量,B,
14,兴证期货,2779.0,1225.0,2025-06-20,B2509,成交量,B,
15,南华期货,2684.0,-1080.0,2025-06-20,B2509,成交量,B,
16,宏源期货,2521.0,-294.0,2025-06-20,B2509,成交量,B,
17,东方财富,2264.0,-253.0,2025-06-20,B2509,成交量,B,
18,中财期货,2214.0,-2459.0,2025-06-20,B2509,成交量,B,
19,中信建投,2033.0,-780.0,2025-06-20,B2509,成交量,B,
20,浙商期货,2013.0,-2475.0,2025-06-20,B2509,成交量,B,
1,东证期货,44810.0,4158.0,2025-06-23,B2509,成交量,B,
2,国泰君安,35943.0,8081.0,2025-06-23,B2509,成交量,B,
3,华泰期货,25302.0,5868.0,2025-06-23,B2509,成交量,B,
4,中信期货,25123.0,9497.0,2025-06-23,B2509,成交量,B,
5,银河期货,13056.0,1051.0,2025-06-23,B2509,成交量,B,
6,摩根大通,7214.0,2043.0,2025-06-23,B2509,成交量,B,
7,中泰期货,6948.0,292.0,2025-06-23,B2509,成交量,B,
8,广发期货,6286.0,329.0,2025-06-23,B2509,成交量,B,
9,徽商期货,4430.0,-44.0,2025-06-23,B2509,成交量,B,
10,光大期货,4107.0,470.0,2025-06-23,B2509,成交量,B,
11,方正中期,3949.0,-207.0,2025-06-23,B2509,成交量,B,
12,南华期货,3850.0,1166.0,2025-06-23,B2509,成交量,B,
13,华安期货,3545.0,2102.0,2025-06-23,B2509,成交量,B,
14,国信期货,3094.0,-17.0,2025-06-23,B2509,成交量,B,
15,海通期货,2939.0,-538.0,2025-06-23,B2509,成交量,B,
16,兴证期货,2652.0,-127.0,2025-06-23,B2509,成交量,B,
17,中财期货,2550.0,336.0,2025-06-23,B2509,成交量,B,
18,招商期货,2387.0,590.0,2025-06-23,B2509,成交量,B,
19,东方财富,2383.0,119.0,2025-06-23,B2509,成交量,B,
20,浙商期货,2326.0,313.0,2025-06-23,B2509,成交量,B,
1,东证期货,43257.0,-1553.0,2025-06-24,B2509,成交量,B,
2,国泰君安,40434.0,4491.0,2025-06-24,B2509,成交量,B,
3,中信期货,31811.0,6688.0,2025-06-24,B2509,成交量,B,
4,华泰期货,25255.0,-47.0,2025-06-24,B2509,成交量,B,
5,银河期货,10189.0,-2867.0,2025-06-24,B2509,成交量,B,
6,浙商期货,8926.0,6600.0,2025-06-24,B2509,成交量,B,
7,中泰期货,8793.0,1845.0,2025-06-24,B2509,成交量,B,
8,中粮期货,4989.0,4430.0,2025-06-24,B2509,成交量,B,
9,广发期货,4771.0,-1515.0,2025-06-24,B2509,成交量,B,
10,摩根大通,4363.0,-2851.0,2025-06-24,B2509,成交量,B,
11,徽商期货,4314.0,-116.0,2025-06-24,B2509,成交量,B,
12,国投期货,4178.0,2437.0,2025-06-24,B2509,成交量,B,
13,光大期货,4145.0,38.0,2025-06-24,B2509,成交量,B,
14,海通期货,3594.0,655.0,2025-06-24,B2509,成交量,B,
15,国信期货,3202.0,108.0,2025-06-24,B2509,成交量,B,
16,南华期货,3067.0,-783.0,2025-06-24,B2509,成交量,B,
17,招商期货,2882.0,495.0,2025-06-24,B2509,成交量,B,
18,华安期货,2641.0,-904.0,2025-06-24,B2509,成交量,B,
19,中融汇信,2541.0,1731.0,2025-06-24,B2509,成交量,B,
20,宏源期货,2523.0,737.0,2025-06-24,B2509,成交量,B,
1,东证期货,42763.0,-494.0,2025-06-25,B2509,成交量,B,
2,国泰君安,32714.0,-7720.0,2025-06-25,B2509,成交量,B,
3,中信期货,24702.0,-7109.0,2025-06-25,B2509,成交量,B,
4,华泰期货,24001.0,-1254.0,2025-06-25,B2509,成交量,B,
5,中泰期货,9534.0,741.0,2025-06-25,B2509,成交量,B,
6,银河期货,9278.0,-911.0,2025-06-25,B2509,成交量,B,
7,浙商期货,4807.0,-4119.0,2025-06-25,B2509,成交量,B,
8,摩根大通,4475.0,112.0,2025-06-25,B2509,成交量,B,
9,乾坤期货,4321.0,2961.0,2025-06-25,B2509,成交量,B,
10,广发期货,4314.0,-457.0,2025-06-25,B2509,成交量,B,
11,徽商期货,3931.0,-383.0,2025-06-25,B2509,成交量,B,
12,南华期货,3612.0,545.0,2025-06-25,B2509,成交量,B,
13,招商期货,3377.0,495.0,2025-06-25,B2509,成交量,B,
14,国信期货,3217.0,15.0,2025-06-25,B2509,成交量,B,
15,光大期货,3080.0,-1065.0,2025-06-25,B2509,成交量,B,
16,方正中期,2738.0,369.0,2025-06-25,B2509,成交量,B,
17,海通期货,2620.0,-974.0,2025-06-25,B2509,成交量,B,
18,华闻期货,2466.0,-21.0,2025-06-25,B2509,成交量,B,
19,瑞达期货,2309.0,1044.0,2025-06-25,B2509,成交量,B,
20,金瑞期货,2161.0,127.0,2025-06-25,B2509,成交量,B,
1,东证期货,54686.0,11923.0,2025-06-26,B2509,成交量,B,
2,国泰君安,39043.0,6329.0,2025-06-26,B2509,成交量,B,
3,中信期货,32754.0,8052.0,2025-06-26,B2509,成交量,B,
4,华泰期货,32329.0,8328.0,2025-06-26,B2509,成交量,B,
5,浙商期货,12013.0,7206.0,2025-06-26,B2509,成交量,B,
6,中泰期货,11458.0,1924.0,2025-06-26,B2509,成交量,B,
7,银河期货,9865.0,587.0,2025-06-26,B2509,成交量,B,
8,乾坤期货,7173.0,2852.0,2025-06-26,B2509,成交量,B,
9,徽商期货,5385.0,1454.0,2025-06-26,B2509,成交量,B,
10,招商期货,4641.0,1264.0,2025-06-26,B2509,成交量,B,
11,光大期货,4261.0,1181.0,2025-06-26,B2509,成交量,B,
12,方正中期,3839.0,1101.0,2025-06-26,B2509,成交量,B,
13,国信期货,3357.0,140.0,2025-06-26,B2509,成交量,B,
14,海通期货,3085.0,465.0,2025-06-26,B2509,成交量,B,
15,东方财富,2897.0,872.0,2025-06-26,B2509,成交量,B,
16,南华期货,2799.0,-813.0,2025-06-26,B2509,成交量,B,
17,摩根大通,2788.0,-1687.0,2025-06-26,B2509,成交量,B,
18,兴证期货,2759.0,760.0,2025-06-26,B2509,成交量,B,
19,广发期货,2748.0,-1566.0,2025-06-26,B2509,成交量,B,
20,平安期货,2568.0,938.0,2025-06-26,B2509,成交量,B,
1,东证期货,38081.0,-16605.0,2025-06-27,B2509,成交量,B,
2,国泰君安,29185.0,-9858.0,2025-06-27,B2509,成交量,B,
3,中信期货,24141.0,-8613.0,2025-06-27,B2509,成交量,B,
4,华泰期货,19659.0,-12670.0,2025-06-27,B2509,成交量,B,
5,浙商期货,12334.0,321.0,2025-06-27,B2509,成交量,B,
6,银河期货,7785.0,-2080.0,2025-06-27,B2509,成交量,B,
7,中泰期货,7353.0,-4105.0,2025-06-27,B2509,成交量,B,
8,乾坤期货,5254.0,-1919.0,2025-06-27,B2509,成交量,B,
9,国联期货,4914.0,3602.0,2025-06-27,B2509,成交量,B,
10,摩根大通,3801.0,1013.0,2025-06-27,B2509,成交量,B,
11,徽商期货,3734.0,-1651.0,2025-06-27,B2509,成交量,B,
12,光大期货,3249.0,-1012.0,2025-06-27,B2509,成交量,B,
13,国信期货,3065.0,-292.0,2025-06-27,B2509,成交量,B,
14,海通期货,2750.0,-335.0,2025-06-27,B2509,成交量,B,
15,广发期货,2631.0,-117.0,2025-06-27,B2509,成交量,B,
16,兴证期货,2181.0,-578.0,2025-06-27,B2509,成交量,B,
17,南华期货,2145.0,-654.0,2025-06-27,B2509,成交量,B,
18,方正中期,2072.0,-1767.0,2025-06-27,B2509,成交量,B,
19,平安期货,2024.0,-544.0,2025-06-27,B2509,成交量,B,
20,东方财富,2018.0,-879.0,2025-06-27,B2509,成交量,B,
1,东证期货,37598.0,-483.0,2025-06-30,B2509,成交量,B,
2,国泰君安,31894.0,2709.0,2025-06-30,B2509,成交量,B,
3,华泰期货,22557.0,2898.0,2025-06-30,B2509,成交量,B,
4,中信期货,22108.0,-2033.0,2025-06-30,B2509,成交量,B,
5,浙商期货,13034.0,700.0,2025-06-30,B2509,成交量,B,
6,中泰期货,8934.0,1581.0,2025-06-30,B2509,成交量,B,
7,银河期货,6866.0,-919.0,2025-06-30,B2509,成交量,B,
8,徽商期货,5081.0,1347.0,2025-06-30,B2509,成交量,B,
9,乾坤期货,5029.0,-225.0,2025-06-30,B2509,成交量,B,
10,广发期货,4310.0,1679.0,2025-06-30,B2509,成交量,B,
11,光大期货,3831.0,582.0,2025-06-30,B2509,成交量,B,
12,海通期货,3057.0,307.0,2025-06-30,B2509,成交量,B,
13,中信建投,2644.0,969.0,2025-06-30,B2509,成交量,B,
14,宏源期货,2369.0,657.0,2025-06-30,B2509,成交量,B,
15,国信期货,2345.0,-720.0,2025-06-30,B2509,成交量,B,
16,方正中期,2336.0,264.0,2025-06-30,B2509,成交量,B,
17,南华期货,2302.0,157.0,2025-06-30,B2509,成交量,B,
18,摩根大通,2302.0,-1499.0,2025-06-30,B2509,成交量,B,
19,东方财富,2134.0,116.0,2025-06-30,B2509,成交量,B,
20,兴证期货,1955.0,-226.0,2025-06-30,B2509,成交量,B,
1,东证期货,39098.0,1500.0,2025-07-01,B2509,成交量,B,
2,国泰君安,24724.0,-7170.0,2025-07-01,B2509,成交量,B,
3,华泰期货,18799.0,-3758.0,2025-07-01,B2509,成交量,B,
4,中信期货,17416.0,-4692.0,2025-07-01,B2509,成交量,B,
5,广发期货,9191.0,4881.0,2025-07-01,B2509,成交量,B,
6,中泰期货,7418.0,-1516.0,2025-07-01,B2509,成交量,B,
7,银河期货,6394.0,-472.0,2025-07-01,B2509,成交量,B,
8,徽商期货,4990.0,-91.0,2025-07-01,B2509,成交量,B,
9,海通期货,3735.0,678.0,2025-07-01,B2509,成交量,B,
10,国投期货,3588.0,2281.0,2025-07-01,B2509,成交量,B,
11,光大期货,3293.0,-538.0,2025-07-01,B2509,成交量,B,
12,乾坤期货,2705.0,-2324.0,2025-07-01,B2509,成交量,B,
13,南华期货,2676.0,374.0,2025-07-01,B2509,成交量,B,
14,中信建投,2618.0,-26.0,2025-07-01,B2509,成交量,B,
15,招商期货,2378.0,1086.0,2025-07-01,B2509,成交量,B,
16,国信期货,2252.0,-93.0,2025-07-01,B2509,成交量,B,
17,方正中期,2102.0,-234.0,2025-07-01,B2509,成交量,B,
18,摩根大通,2088.0,-214.0,2025-07-01,B2509,成交量,B,
19,中融汇信,1917.0,1779.0,2025-07-01,B2509,成交量,B,
20,华闻期货,1890.0,91.0,2025-07-01,B2509,成交量,B,
1,东证期货,46778.0,7680.0,2025-07-02,B2509,成交量,B,
2,国泰君安,30710.0,5986.0,2025-07-02,B2509,成交量,B,
3,中信期货,22885.0,5469.0,2025-07-02,B2509,成交量,B,
4,华泰期货,21456.0,2657.0,2025-07-02,B2509,成交量,B,
5,中泰期货,8902.0,1484.0,2025-07-02,B2509,成交量,B,
6,广发期货,7944.0,-1247.0,2025-07-02,B2509,成交量,B,
7,银河期货,6844.0,450.0,2025-07-02,B2509,成交量,B,
8,徽商期货,5963.0,973.0,2025-07-02,B2509,成交量,B,
9,国投期货,5106.0,1518.0,2025-07-02,B2509,成交量,B,
10,光大期货,4725.0,1432.0,2025-07-02,B2509,成交量,B,
11,国信期货,3849.0,1597.0,2025-07-02,B2509,成交量,B,
12,南华期货,3733.0,1057.0,2025-07-02,B2509,成交量,B,
13,中信建投,3686.0,1068.0,2025-07-02,B2509,成交量,B,
14,摩根大通,3361.0,1273.0,2025-07-02,B2509,成交量,B,
15,东方财富,2829.0,939.0,2025-07-02,B2509,成交量,B,
16,招商期货,2756.0,378.0,2025-07-02,B2509,成交量,B,
17,华闻期货,2643.0,753.0,2025-07-02,B2509,成交量,B,
18,海通期货,2538.0,-1197.0,2025-07-02,B2509,成交量,B,
19,浙商期货,2406.0,520.0,2025-07-02,B2509,成交量,B,
20,方正中期,2322.0,220.0,2025-07-02,B2509,成交量,B,
1,东证期货,46667.0,-111.0,2025-07-03,B2509,成交量,B,
2,国泰君安,29854.0,-856.0,2025-07-03,B2509,成交量,B,
3,华泰期货,21846.0,390.0,2025-07-03,B2509,成交量,B,
4,中信期货,19358.0,-3527.0,2025-07-03,B2509,成交量,B,
5,中泰期货,8587.0,-315.0,2025-07-03,B2509,成交量,B,
6,银河期货,7318.0,474.0,2025-07-03,B2509,成交量,B,
7,徽商期货,4690.0,-1273.0,2025-07-03,B2509,成交量,B,
8,光大期货,4199.0,-526.0,2025-07-03,B2509,成交量,B,
9,东方财富,3222.0,393.0,2025-07-03,B2509,成交量,B,
10,海通期货,3158.0,620.0,2025-07-03,B2509,成交量,B,
11,国信期货,3158.0,-691.0,2025-07-03,B2509,成交量,B,
12,方正中期,2995.0,673.0,2025-07-03,B2509,成交量,B,
13,南华期货,2900.0,-833.0,2025-07-03,B2509,成交量,B,
14,摩根大通,2730.0,-631.0,2025-07-03,B2509,成交量,B,
15,广发期货,2580.0,-5364.0,2025-07-03,B2509,成交量,B,
16,国投期货,2273.0,-2833.0,2025-07-03,B2509,成交量,B,
17,中信建投,2115.0,-1571.0,2025-07-03,B2509,成交量,B,
18,招商期货,2059.0,-697.0,2025-07-03,B2509,成交量,B,
19,华闻期货,1985.0,-658.0,2025-07-03,B2509,成交量,B,
20,北京首创,1949.0,448.0,2025-07-03,B2509,成交量,B,
1,东证期货,28674.0,-17993.0,2025-07-04,B2509,成交量,B,
2,国泰君安,21276.0,-8578.0,2025-07-04,B2509,成交量,B,
3,华泰期货,17237.0,-4609.0,2025-07-04,B2509,成交量,B,
4,中信期货,14146.0,-5212.0,2025-07-04,B2509,成交量,B,
5,银河期货,6207.0,-1111.0,2025-07-04,B2509,成交量,B,
6,中泰期货,5957.0,-2630.0,2025-07-04,B2509,成交量,B,
7,徽商期货,4427.0,-263.0,2025-07-04,B2509,成交量,B,
8,光大期货,3172.0,-1027.0,2025-07-04,B2509,成交量,B,
9,海通期货,2755.0,-403.0,2025-07-04,B2509,成交量,B,
10,南华期货,2754.0,-146.0,2025-07-04,B2509,成交量,B,
11,中信建投,2343.0,228.0,2025-07-04,B2509,成交量,B,
12,方正中期,2284.0,-711.0,2025-07-04,B2509,成交量,B,
13,东方财富,2094.0,-1128.0,2025-07-04,B2509,成交量,B,
14,国信期货,2051.0,-1107.0,2025-07-04,B2509,成交量,B,
15,东兴期货,1765.0,944.0,2025-07-04,B2509,成交量,B,
16,广发期货,1744.0,-836.0,2025-07-04,B2509,成交量,B,
17,摩根大通,1605.0,-1125.0,2025-07-04,B2509,成交量,B,
18,平安期货,1587.0,159.0,2025-07-04,B2509,成交量,B,
19,宏源期货,1510.0,-102.0,2025-07-04,B2509,成交量,B,
20,兴证期货,1494.0,-406.0,2025-07-04,B2509,成交量,B,
1,东证期货,31363.0,2689.0,2025-07-07,B2509,成交量,B,
2,国泰君安,25796.0,4520.0,2025-07-07,B2509,成交量,B,
3,中信期货,20347.0,6201.0,2025-07-07,B2509,成交量,B,
4,华泰期货,17899.0,662.0,2025-07-07,B2509,成交量,B,
5,中泰期货,6841.0,884.0,2025-07-07,B2509,成交量,B,
6,银河期货,6350.0,143.0,2025-07-07,B2509,成交量,B,
7,徽商期货,3611.0,-816.0,2025-07-07,B2509,成交量,B,
8,中信建投,2951.0,608.0,2025-07-07,B2509,成交量,B,
9,方正中期,2915.0,631.0,2025-07-07,B2509,成交量,B,
10,光大期货,2885.0,-287.0,2025-07-07,B2509,成交量,B,
11,海通期货,2835.0,80.0,2025-07-07,B2509,成交量,B,
12,广发期货,2579.0,835.0,2025-07-07,B2509,成交量,B,
13,国信期货,2520.0,469.0,2025-07-07,B2509,成交量,B,
14,南华期货,2251.0,-503.0,2025-07-07,B2509,成交量,B,
15,摩根大通,2068.0,463.0,2025-07-07,B2509,成交量,B,
