排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,30090,480.0,2026-06-22,bu2609,空单持仓,BU
2,银河期货,23685,773.0,2026-06-22,bu2609,空单持仓,BU
3,中信期货,17216,-32.0,2026-06-22,bu2609,空单持仓,BU
4,东证期货,9993,-2507.0,2026-06-22,bu2609,空单持仓,BU
5,光大期货,9890,130.0,2026-06-22,bu2609,空单持仓,BU
6,广发期货,8112,1677.0,2026-06-22,bu2609,空单持仓,BU
7,永安期货,7856,-3577.0,2026-06-22,bu2609,空单持仓,BU
8,五矿期货,7688,-228.0,2026-06-22,bu2609,空单持仓,BU
9,中泰期货,6856,-1280.0,2026-06-22,bu2609,空单持仓,BU
10,方正中期,6429,-352.0,2026-06-22,bu2609,空单持仓,BU
11,瑞达期货,5693,564.0,2026-06-22,bu2609,空单持仓,BU
12,浙商期货,5539,-311.0,2026-06-22,bu2609,空单持仓,BU
13,海通期货,5032,641.0,2026-06-22,bu2609,空单持仓,BU
14,中信建投,4544,87.0,2026-06-22,bu2609,空单持仓,BU
15,国投期货,4305,564.0,2026-06-22,bu2609,空单持仓,BU
16,盛达期货,4296,-333.0,2026-06-22,bu2609,空单持仓,BU
17,华泰期货,4281,124.0,2026-06-22,bu2609,空单持仓,BU
18,东吴期货,4197,-841.0,2026-06-22,bu2609,空单持仓,BU
19,格林大华,4166,-54.0,2026-06-22,bu2609,空单持仓,BU
20,国信期货,4090,-256.0,2026-06-22,bu2609,空单持仓,BU
1,国泰君安,28641,-1449.0,2026-06-23,bu2609,空单持仓,BU
2,银河期货,22288,-1397.0,2026-06-23,bu2609,空单持仓,BU
3,中信期货,16344,-872.0,2026-06-23,bu2609,空单持仓,BU
4,方正中期,11102,4673.0,2026-06-23,bu2609,空单持仓,BU
5,永安期货,10685,2829.0,2026-06-23,bu2609,空单持仓,BU
6,光大期货,9978,88.0,2026-06-23,bu2609,空单持仓,BU
7,东证期货,9725,-268.0,2026-06-23,bu2609,空单持仓,BU
8,广发期货,9184,1072.0,2026-06-23,bu2609,空单持仓,BU
9,五矿期货,7542,-146.0,2026-06-23,bu2609,空单持仓,BU
10,中泰期货,6548,-308.0,2026-06-23,bu2609,空单持仓,BU
11,国投期货,5617,1312.0,2026-06-23,bu2609,空单持仓,BU
12,浙商期货,5577,38.0,2026-06-23,bu2609,空单持仓,BU
13,华泰期货,5200,919.0,2026-06-23,bu2609,空单持仓,BU
14,中信建投,4909,365.0,2026-06-23,bu2609,空单持仓,BU
15,瑞达期货,4864,-829.0,2026-06-23,bu2609,空单持仓,BU
16,申万期货,4845,1641.0,2026-06-23,bu2609,空单持仓,BU
17,东吴期货,4841,644.0,2026-06-23,bu2609,空单持仓,BU
18,海通期货,4661,-371.0,2026-06-23,bu2609,空单持仓,BU
19,国信期货,4641,551.0,2026-06-23,bu2609,空单持仓,BU
20,格林大华,3938,-228.0,2026-06-23,bu2609,空单持仓,BU
1,国泰君安,27024,-1617.0,2026-06-24,bu2609,空单持仓,BU
2,银河期货,23961,1673.0,2026-06-24,bu2609,空单持仓,BU
3,中信期货,16603,259.0,2026-06-24,bu2609,空单持仓,BU
4,永安期货,11194,509.0,2026-06-24,bu2609,空单持仓,BU
5,东证期货,10618,893.0,2026-06-24,bu2609,空单持仓,BU
6,方正中期,9861,-1241.0,2026-06-24,bu2609,空单持仓,BU
7,光大期货,9541,-437.0,2026-06-24,bu2609,空单持仓,BU
8,广发期货,8830,-354.0,2026-06-24,bu2609,空单持仓,BU
9,中泰期货,7663,1115.0,2026-06-24,bu2609,空单持仓,BU
10,五矿期货,7523,-19.0,2026-06-24,bu2609,空单持仓,BU
11,华泰期货,6697,1497.0,2026-06-24,bu2609,空单持仓,BU
12,浙商期货,6132,555.0,2026-06-24,bu2609,空单持仓,BU
13,海通期货,5620,959.0,2026-06-24,bu2609,空单持仓,BU
14,国投期货,5424,-193.0,2026-06-24,bu2609,空单持仓,BU
15,申万期货,5353,508.0,2026-06-24,bu2609,空单持仓,BU
16,中信建投,5344,435.0,2026-06-24,bu2609,空单持仓,BU
17,瑞达期货,4862,-2.0,2026-06-24,bu2609,空单持仓,BU
18,东吴期货,4800,-41.0,2026-06-24,bu2609,空单持仓,BU
