排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中粮期货,78419,-1313.0,2026-06-22,c2609,多单持仓,C
2,国泰君安,52685,2032.0,2026-06-22,c2609,多单持仓,C
3,中信期货,51240,3364.0,2026-06-22,c2609,多单持仓,C
4,东证期货,50162,-3483.0,2026-06-22,c2609,多单持仓,C
5,永安期货,38186,652.0,2026-06-22,c2609,多单持仓,C
6,申银万国,34317,205.0,2026-06-22,c2609,多单持仓,C
7,中泰期货,34040,-258.0,2026-06-22,c2609,多单持仓,C
8,银河期货,31038,2474.0,2026-06-22,c2609,多单持仓,C
9,华泰期货,29977,947.0,2026-06-22,c2609,多单持仓,C
10,光大期货,28846,298.0,2026-06-22,c2609,多单持仓,C
11,海通期货,26608,1578.0,2026-06-22,c2609,多单持仓,C
12,中信建投,25809,-316.0,2026-06-22,c2609,多单持仓,C
13,广发期货,20152,2746.0,2026-06-22,c2609,多单持仓,C
14,一德期货,19713,17.0,2026-06-22,c2609,多单持仓,C
15,瑞达期货,18221,478.0,2026-06-22,c2609,多单持仓,C
16,国投期货,16232,547.0,2026-06-22,c2609,多单持仓,C
17,东海期货,12917,-760.0,2026-06-22,c2609,多单持仓,C
18,东方财富,11867,1003.0,2026-06-22,c2609,多单持仓,C
19,建信期货,11816,95.0,2026-06-22,c2609,多单持仓,C
20,五矿期货,10888,135.0,2026-06-22,c2609,多单持仓,C
1,中粮期货,81169,2750.0,2026-06-23,c2609,多单持仓,C
2,中信期货,54503,3263.0,2026-06-23,c2609,多单持仓,C
3,国泰君安,53785,1100.0,2026-06-23,c2609,多单持仓,C
4,东证期货,52360,2198.0,2026-06-23,c2609,多单持仓,C
5,申银万国,42472,8155.0,2026-06-23,c2609,多单持仓,C
6,永安期货,38379,193.0,2026-06-23,c2609,多单持仓,C
7,光大期货,35930,7084.0,2026-06-23,c2609,多单持仓,C
8,中泰期货,34561,521.0,2026-06-23,c2609,多单持仓,C
9,华泰期货,29583,-394.0,2026-06-23,c2609,多单持仓,C
10,银河期货,27483,-3555.0,2026-06-23,c2609,多单持仓,C
11,中信建投,25550,-259.0,2026-06-23,c2609,多单持仓,C
12,海通期货,23792,-2816.0,2026-06-23,c2609,多单持仓,C
13,广发期货,19753,-399.0,2026-06-23,c2609,多单持仓,C
14,一德期货,19299,-414.0,2026-06-23,c2609,多单持仓,C
15,瑞达期货,18286,65.0,2026-06-23,c2609,多单持仓,C
16,国投期货,16750,518.0,2026-06-23,c2609,多单持仓,C
17,东方财富,13649,1782.0,2026-06-23,c2609,多单持仓,C
18,建信期货,12806,990.0,2026-06-23,c2609,多单持仓,C
19,浙商期货,11637,926.0,2026-06-23,c2609,多单持仓,C
20,西南期货,11177,1292.0,2026-06-23,c2609,多单持仓,C
1,中粮期货,83236,2067.0,2026-06-24,c2609,多单持仓,C
2,东证期货,57347,4987.0,2026-06-24,c2609,多单持仓,C
3,国泰君安,54555,770.0,2026-06-24,c2609,多单持仓,C
4,中信期货,53179,-1324.0,2026-06-24,c2609,多单持仓,C
5,申银万国,42468,-4.0,2026-06-24,c2609,多单持仓,C
6,永安期货,39461,1082.0,2026-06-24,c2609,多单持仓,C
7,光大期货,35178,-752.0,2026-06-24,c2609,多单持仓,C
8,中泰期货,33935,-626.0,2026-06-24,c2609,多单持仓,C
9,银河期货,27566,83.0,2026-06-24,c2609,多单持仓,C
10,华泰期货,26497,-3086.0,2026-06-24,c2609,多单持仓,C
11,海通期货,26374,2582.0,2026-06-24,c2609,多单持仓,C
12,中信建投,24961,-589.0,2026-06-24,c2609,多单持仓,C
13,广发期货,19574,-179.0,2026-06-24,c2609,多单持仓,C
14,瑞达期货,17474,-812.0,2026-06-24,c2609,多单持仓,C
15,国投期货,15769,-981.0,2026-06-24,c2609,多单持仓,C
16,一德期货,14781,-4518.0,2026-06-24,c2609,多单持仓,C
17,建信期货,12847,41.0,2026-06-24,c2609,多单持仓,C
18,浙商期货,11935,298.0,2026-06-24,c2609,多单持仓,C
19,东方财富,11796,-1853.0,2026-06-24,c2609,多单持仓,C
20,五矿期货,11529,672.0,2026-06-24,c2609,多单持仓,C
