排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,129463,2920.0,2025-08-18,c2511,空单持仓,C
2,东证期货,85789,18974.0,2025-08-18,c2511,空单持仓,C
3,国泰君安,84282,5631.0,2025-08-18,c2511,空单持仓,C
4,银河期货,66670,5086.0,2025-08-18,c2511,空单持仓,C
5,国投期货,48521,1105.0,2025-08-18,c2511,空单持仓,C
6,中粮期货,45215,1008.0,2025-08-18,c2511,空单持仓,C
7,浙商期货,37388,1086.0,2025-08-18,c2511,空单持仓,C
8,华泰期货,28039,1627.0,2025-08-18,c2511,空单持仓,C
9,广发期货,27382,98.0,2025-08-18,c2511,空单持仓,C
10,中金财富,26526,1358.0,2025-08-18,c2511,空单持仓,C
11,光大期货,22590,3392.0,2025-08-18,c2511,空单持仓,C
12,中信建投,20154,1949.0,2025-08-18,c2511,空单持仓,C
13,五矿期货,18094,-38.0,2025-08-18,c2511,空单持仓,C
14,中泰期货,16599,1803.0,2025-08-18,c2511,空单持仓,C
15,平安期货,12834,2720.0,2025-08-18,c2511,空单持仓,C
16,新湖期货,10736,1664.0,2025-08-18,c2511,空单持仓,C
17,国信期货,7210,764.0,2025-08-18,c2511,空单持仓,C
18,南华期货,7200,119.0,2025-08-18,c2511,空单持仓,C
19,广州期货,7004,30.0,2025-08-18,c2511,空单持仓,C
20,创元期货,6721,285.0,2025-08-18,c2511,空单持仓,C
1,中信期货,126776,-2687.0,2025-08-19,c2511,空单持仓,C
2,东证期货,94975,9186.0,2025-08-19,c2511,空单持仓,C
3,国泰君安,86624,2342.0,2025-08-19,c2511,空单持仓,C
4,银河期货,65188,-1482.0,2025-08-19,c2511,空单持仓,C
5,国投期货,48645,124.0,2025-08-19,c2511,空单持仓,C
6,中粮期货,44915,-300.0,2025-08-19,c2511,空单持仓,C
7,浙商期货,39157,1769.0,2025-08-19,c2511,空单持仓,C
8,华泰期货,28176,137.0,2025-08-19,c2511,空单持仓,C
9,中金财富,27613,1087.0,2025-08-19,c2511,空单持仓,C
10,广发期货,27525,143.0,2025-08-19,c2511,空单持仓,C
11,中信建投,21260,1106.0,2025-08-19,c2511,空单持仓,C
12,光大期货,18786,-3804.0,2025-08-19,c2511,空单持仓,C
13,五矿期货,17955,-139.0,2025-08-19,c2511,空单持仓,C
14,中泰期货,17510,911.0,2025-08-19,c2511,空单持仓,C
15,平安期货,12899,65.0,2025-08-19,c2511,空单持仓,C
16,新湖期货,12246,1510.0,2025-08-19,c2511,空单持仓,C
17,海通期货,9475,3165.0,2025-08-19,c2511,空单持仓,C
18,国信期货,8012,802.0,2025-08-19,c2511,空单持仓,C
19,南华期货,7677,477.0,2025-08-19,c2511,空单持仓,C
20,创元期货,7294,573.0,2025-08-19,c2511,空单持仓,C
1,中信期货,133132,6356.0,2025-08-20,c2511,空单持仓,C
2,东证期货,90369,-4606.0,2025-08-20,c2511,空单持仓,C
3,国泰君安,86299,-325.0,2025-08-20,c2511,空单持仓,C
4,银河期货,67877,2689.0,2025-08-20,c2511,空单持仓,C
5,国投期货,49046,401.0,2025-08-20,c2511,空单持仓,C
6,中粮期货,45837,922.0,2025-08-20,c2511,空单持仓,C
7,浙商期货,42680,3523.0,2025-08-20,c2511,空单持仓,C
8,华泰期货,28039,-137.0,2025-08-20,c2511,空单持仓,C
9,中金财富,27188,-425.0,2025-08-20,c2511,空单持仓,C
10,广发期货,27161,-364.0,2025-08-20,c2511,空单持仓,C
11,中信建投,22124,864.0,2025-08-20,c2511,空单持仓,C
12,光大期货,19333,547.0,2025-08-20,c2511,空单持仓,C
13,五矿期货,19129,1174.0,2025-08-20,c2511,空单持仓,C
14,中泰期货,18796,1286.0,2025-08-20,c2511,空单持仓,C
15,新湖期货,14469,2223.0,2025-08-20,c2511,空单持仓,C
16,平安期货,12263,-636.0,2025-08-20,c2511,空单持仓,C
17,海通期货,10865,1390.0,2025-08-20,c2511,空单持仓,C
18,瑞达期货,9006,2063.0,2025-08-20,c2511,空单持仓,C
19,南华期货,7471,-206.0,2025-08-20,c2511,空单持仓,C
20,国信期货,7332,-680.0,2025-08-20,c2511,空单持仓,C
1,中信期货,143299,5619.0,20250822,c2511,空单持仓,C
2,国泰君安,92447,4240.0,20250822,c2511,空单持仓,C
3,东证期货,87709,-5192.0,20250822,c2511,空单持仓,C
4,银河期货,67386,720.0,20250822,c2511,空单持仓,C
5,国投期货,49296,621.0,20250822,c2511,空单持仓,C
6,浙商期货,47976,2853.0,20250822,c2511,空单持仓,C
7,中粮期货,45588,2690.0,20250822,c2511,空单持仓,C
8,华泰期货,28118,-187.0,20250822,c2511,空单持仓,C
9,中金财富,27439,333.0,20250822,c2511,空单持仓,C
10,广发期货,26564,-660.0,20250822,c2511,空单持仓,C
11,中信建投,21067,-723.0,20250822,c2511,空单持仓,C
12,中泰期货,18807,-593.0,20250822,c2511,空单持仓,C
13,五矿期货,16572,-4044.0,20250822,c2511,空单持仓,C
14,光大期货,15453,-1285.0,20250822,c2511,空单持仓,C
15,新湖期货,14157,-449.0,20250822,c2511,空单持仓,C
16,平安期货,12850,145.0,20250822,c2511,空单持仓,C
17,海通期货,9357,-1257.0,20250822,c2511,空单持仓,C
18,南华期货,8770,379.0,20250822,c2511,空单持仓,C
19,瑞达期货,7875,-320.0,20250822,c2511,空单持仓,C
20,国信期货,7747,557.0,20250822,c2511,空单持仓,C
1,中信期货,145906,2607.0,20250825,c2511,空单持仓,C
2,国泰君安,95054,2607.0,20250825,c2511,空单持仓,C
3,东证期货,86879,-830.0,20250825,c2511,空单持仓,C
4,银河期货,68660,1274.0,20250825,c2511,空单持仓,C
5,中粮期货,57209,11621.0,20250825,c2511,空单持仓,C
6,浙商期货,49220,1244.0,20250825,c2511,空单持仓,C
7,国投期货,48129,-1167.0,20250825,c2511,空单持仓,C
8,广发期货,28293,1729.0,20250825,c2511,空单持仓,C
9,华泰期货,28205,87.0,20250825,c2511,空单持仓,C
10,中金财富,27267,-172.0,20250825,c2511,空单持仓,C
11,中信建投,23247,2180.0,20250825,c2511,空单持仓,C
12,中泰期货,18918,111.0,20250825,c2511,空单持仓,C
13,五矿期货,17203,631.0,20250825,c2511,空单持仓,C
14,新湖期货,16313,2156.0,20250825,c2511,空单持仓,C
15,光大期货,15211,-242.0,20250825,c2511,空单持仓,C
16,海通期货,12009,2652.0,20250825,c2511,空单持仓,C
17,平安期货,11602,-1248.0,20250825,c2511,空单持仓,C
18,南华期货,9999,1229.0,20250825,c2511,空单持仓,C
19,瑞达期货,8165,290.0,20250825,c2511,空单持仓,C
20,国信期货,8141,394.0,20250825,c2511,空单持仓,C
1,中信期货,149474,3568.0,20250826,c2511,空单持仓,C
2,国泰君安,94210,-844.0,20250826,c2511,空单持仓,C
3,东证期货,93454,6575.0,20250826,c2511,空单持仓,C
4,银河期货,68860,200.0,20250826,c2511,空单持仓,C
5,中粮期货,59369,2160.0,20250826,c2511,空单持仓,C
6,浙商期货,51004,1784.0,20250826,c2511,空单持仓,C
7,国投期货,48480,351.0,20250826,c2511,空单持仓,C
8,华泰期货,33342,5137.0,20250826,c2511,空单持仓,C
9,广发期货,30790,2497.0,20250826,c2511,空单持仓,C
10,中金财富,27575,308.0,20250826,c2511,空单持仓,C
11,中信建投,23479,232.0,20250826,c2511,空单持仓,C
12,中泰期货,18829,-89.0,20250826,c2511,空单持仓,C
13,五矿期货,18756,1553.0,20250826,c2511,空单持仓,C
14,新湖期货,15685,-628.0,20250826,c2511,空单持仓,C
15,光大期货,15483,272.0,20250826,c2511,空单持仓,C
16,平安期货,11857,255.0,20250826,c2511,空单持仓,C
17,海通期货,11371,-638.0,20250826,c2511,空单持仓,C
18,南华期货,9885,-114.0,20250826,c2511,空单持仓,C
19,广州期货,7494,224.0,20250826,c2511,空单持仓,C
20,国信期货,7294,-847.0,20250826,c2511,空单持仓,C
1,中信期货,151024,1550.0,20250827,C2511,空单持仓,C
2,国泰君安,93958,-252.0,20250827,C2511,空单持仓,C
3,东证期货,88413,-5041.0,20250827,C2511,空单持仓,C
4,银河期货,69821,961.0,20250827,C2511,空单持仓,C
5,中粮期货,62185,2816.0,20250827,C2511,空单持仓,C
6,浙商期货,52201,1197.0,20250827,C2511,空单持仓,C
7,国投期货,48455,-25.0,20250827,C2511,空单持仓,C
8,华泰期货,33692,350.0,20250827,C2511,空单持仓,C
9,广发期货,31862,1072.0,20250827,C2511,空单持仓,C
10,中金财富,27717,142.0,20250827,C2511,空单持仓,C
11,中信建投,24954,1475.0,20250827,C2511,空单持仓,C
12,五矿期货,19068,312.0,20250827,C2511,空单持仓,C
13,中泰期货,19039,210.0,20250827,C2511,空单持仓,C
14,新湖期货,17808,2123.0,20250827,C2511,空单持仓,C
15,光大期货,15836,353.0,20250827,C2511,空单持仓,C
16,平安期货,12115,258.0,20250827,C2511,空单持仓,C
17,海通期货,10273,-1098.0,20250827,C2511,空单持仓,C
18,南华期货,9876,-9.0,20250827,C2511,空单持仓,C
19,国信期货,7919,625.0,20250827,C2511,空单持仓,C
20,广州期货,7915,421.0,20250827,C2511,空单持仓,C
1,中信期货,144195,-6829.0,20250828,C2511,空单持仓,C
2,东证期货,87437,-976.0,20250828,C2511,空单持仓,C
3,国泰君安,85932,-8026.0,20250828,C2511,空单持仓,C
4,中粮期货,67524,5339.0,20250828,C2511,空单持仓,C
5,银河期货,66838,-2983.0,20250828,C2511,空单持仓,C
6,浙商期货,52399,198.0,20250828,C2511,空单持仓,C
7,国投期货,47405,-1050.0,20250828,C2511,空单持仓,C
8,华泰期货,32211,-1481.0,20250828,C2511,空单持仓,C
9,广发期货,31422,-440.0,20250828,C2511,空单持仓,C
10,中金财富,24452,-3265.0,20250828,C2511,空单持仓,C
11,中信建投,23464,-1490.0,20250828,C2511,空单持仓,C
12,中泰期货,18873,-166.0,20250828,C2511,空单持仓,C
13,五矿期货,18048,-1020.0,20250828,C2511,空单持仓,C
14,光大期货,15097,-739.0,20250828,C2511,空单持仓,C
15,新湖期货,11934,-5874.0,20250828,C2511,空单持仓,C
16,东海期货,11855,8035.0,20250828,C2511,空单持仓,C
17,一德期货,10269,9724.0,20250828,C2511,空单持仓,C
