排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,232363,14322.0,2025-11-10,c2601,成交量,C
2,中信期货,110977,36367.0,2025-11-10,c2601,成交量,C
3,东证期货,108880,9327.0,2025-11-10,c2601,成交量,C
4,五矿期货,84536,26208.0,2025-11-10,c2601,成交量,C
5,银河期货,39856,9793.0,2025-11-10,c2601,成交量,C
6,广发期货,36486,6578.0,2025-11-10,c2601,成交量,C
7,中泰期货,27645,6908.0,2025-11-10,c2601,成交量,C
8,瑞达期货,20715,11398.0,2025-11-10,c2601,成交量,C
9,中信建投,19785,-9380.0,2025-11-10,c2601,成交量,C
10,光大期货,18858,3651.0,2025-11-10,c2601,成交量,C
11,华泰期货,16317,-877.0,2025-11-10,c2601,成交量,C
12,浙商期货,15788,4752.0,2025-11-10,c2601,成交量,C
13,东方财富,15703,2066.0,2025-11-10,c2601,成交量,C
14,南华期货,13610,3509.0,2025-11-10,c2601,成交量,C
15,海通期货,13076,3530.0,2025-11-10,c2601,成交量,C
16,国信期货,12874,2448.0,2025-11-10,c2601,成交量,C
17,兴证期货,12785,2897.0,2025-11-10,c2601,成交量,C
18,中粮期货,12586,6503.0,2025-11-10,c2601,成交量,C
19,国联期货,12033,4992.0,2025-11-10,c2601,成交量,C
20,大地期货,11026,9287.0,2025-11-10,c2601,成交量,C
1,国泰君安,271927,39564.0,2025-11-11,c2601,成交量,C
2,中信期货,133940,22963.0,2025-11-11,c2601,成交量,C
3,东证期货,123327,14447.0,2025-11-11,c2601,成交量,C
4,五矿期货,119770,35234.0,2025-11-11,c2601,成交量,C
5,银河期货,40866,1010.0,2025-11-11,c2601,成交量,C
6,华泰期货,35337,19020.0,2025-11-11,c2601,成交量,C
7,广发期货,29869,-6617.0,2025-11-11,c2601,成交量,C
8,中泰期货,29735,2090.0,2025-11-11,c2601,成交量,C
9,中信建投,23813,4028.0,2025-11-11,c2601,成交量,C
10,光大期货,22849,3991.0,2025-11-11,c2601,成交量,C
11,冠通期货,21528,18366.0,2025-11-11,c2601,成交量,C
12,南华期货,21289,7679.0,2025-11-11,c2601,成交量,C
13,东方财富,19714,4011.0,2025-11-11,c2601,成交量,C
14,宏源期货,15688,7799.0,2025-11-11,c2601,成交量,C
15,国信期货,14838,1964.0,2025-11-11,c2601,成交量,C
16,海通期货,13913,837.0,2025-11-11,c2601,成交量,C
17,方正中期,13393,3544.0,2025-11-11,c2601,成交量,C
18,永安期货,13298,3283.0,2025-11-11,c2601,成交量,C
19,浙商期货,13041,-2747.0,2025-11-11,c2601,成交量,C
20,招商期货,12823,3019.0,2025-11-11,c2601,成交量,C
1,国泰君安,208813,-63114.0,2025-11-12,c2601,成交量,C
2,东证期货,111763,-11564.0,2025-11-12,c2601,成交量,C
3,中信期货,85730,-48210.0,2025-11-12,c2601,成交量,C
4,五矿期货,73389,-46381.0,2025-11-12,c2601,成交量,C
5,银河期货,24279,-16587.0,2025-11-12,c2601,成交量,C
6,中泰期货,21230,-8505.0,2025-11-12,c2601,成交量,C
7,广发期货,20977,-8892.0,2025-11-12,c2601,成交量,C
8,华泰期货,20223,-15114.0,2025-11-12,c2601,成交量,C
9,中信建投,18392,-5421.0,2025-11-12,c2601,成交量,C
10,瑞达期货,15882,4689.0,2025-11-12,c2601,成交量,C
11,浙商期货,12249,-792.0,2025-11-12,c2601,成交量,C
12,东方财富,12013,-7701.0,2025-11-12,c2601,成交量,C
13,永安期货,11576,-1722.0,2025-11-12,c2601,成交量,C
14,国信期货,11184,-3654.0,2025-11-12,c2601,成交量,C
15,光大期货,11072,-11777.0,2025-11-12,c2601,成交量,C
16,申银万国,10669,-1103.0,2025-11-12,c2601,成交量,C
17,方正中期,10455,-2938.0,2025-11-12,c2601,成交量,C
18,国投期货,10438,-1832.0,2025-11-12,c2601,成交量,C
19,国联期货,9009,-1266.0,2025-11-12,c2601,成交量,C
20,中粮期货,8774,-651.0,2025-11-12,c2601,成交量,C
