排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,67570,-145.0,2026-06-22,CF2609,空单持仓,CF
2,中粮期货,60573,1535.0,2026-06-22,CF2609,空单持仓,CF
3,国泰君安,48946,-942.0,2026-06-22,CF2609,空单持仓,CF
4,银河期货,35826,-1647.0,2026-06-22,CF2609,空单持仓,CF
5,国投期货,29132,-154.0,2026-06-22,CF2609,空单持仓,CF
6,中国国际,26009,-532.0,2026-06-22,CF2609,空单持仓,CF
7,永安期货,24695,166.0,2026-06-22,CF2609,空单持仓,CF
8,国贸期货,23045,1078.0,2026-06-22,CF2609,空单持仓,CF
9,东证期货,11398,-4295.0,2026-06-22,CF2609,空单持仓,CF
10,融达期货,9251,-177.0,2026-06-22,CF2609,空单持仓,CF
11,中信建投,8777,97.0,2026-06-22,CF2609,空单持仓,CF
12,招商期货,8485,149.0,2026-06-22,CF2609,空单持仓,CF
13,华泰期货,8330,-28.0,2026-06-22,CF2609,空单持仓,CF
14,金石期货,7760,1.0,2026-06-22,CF2609,空单持仓,CF
15,新湖期货,7298,23.0,2026-06-22,CF2609,空单持仓,CF
16,长江期货,7151,-7.0,2026-06-22,CF2609,空单持仓,CF
17,瑞达期货,6699,-809.0,2026-06-22,CF2609,空单持仓,CF
18,大地期货,6559,2090.0,2026-06-22,CF2609,空单持仓,CF
19,中州期货,6523,146.0,2026-06-22,CF2609,空单持仓,CF
20,混沌天成期货,6461,25.0,2026-06-22,CF2609,空单持仓,CF
1,中信期货,67482,-88.0,2026-06-23,CF2609,空单持仓,CF
2,中粮期货,60251,-322.0,2026-06-23,CF2609,空单持仓,CF
3,国泰君安,47756,-1190.0,2026-06-23,CF2609,空单持仓,CF
4,银河期货,35462,-364.0,2026-06-23,CF2609,空单持仓,CF
5,国投期货,28318,-814.0,2026-06-23,CF2609,空单持仓,CF
6,永安期货,26357,1662.0,2026-06-23,CF2609,空单持仓,CF
7,中国国际,25959,-50.0,2026-06-23,CF2609,空单持仓,CF
8,国贸期货,18825,-4220.0,2026-06-23,CF2609,空单持仓,CF
9,东证期货,10842,-556.0,2026-06-23,CF2609,空单持仓,CF
10,招商期货,10446,1961.0,2026-06-23,CF2609,空单持仓,CF
11,华泰期货,8851,521.0,2026-06-23,CF2609,空单持仓,CF
12,中信建投,8537,-240.0,2026-06-23,CF2609,空单持仓,CF
13,浙商期货,7448,1319.0,2026-06-23,CF2609,空单持仓,CF
14,融达期货,7426,-1825.0,2026-06-23,CF2609,空单持仓,CF
15,金石期货,7261,-499.0,2026-06-23,CF2609,空单持仓,CF
16,新湖期货,7230,-68.0,2026-06-23,CF2609,空单持仓,CF
17,混沌天成期货,7190,729.0,2026-06-23,CF2609,空单持仓,CF
18,海证期货,7108,745.0,2026-06-23,CF2609,空单持仓,CF
19,中州期货,7071,548.0,2026-06-23,CF2609,空单持仓,CF
20,中泰期货,6786,508.0,2026-06-23,CF2609,空单持仓,CF
1,中信期货,66779,-703.0,2026-06-24,CF2609,空单持仓,CF
2,中粮期货,62601,2350.0,2026-06-24,CF2609,空单持仓,CF
3,国泰君安,49187,1431.0,2026-06-24,CF2609,空单持仓,CF
4,银河期货,35226,-236.0,2026-06-24,CF2609,空单持仓,CF
5,国投期货,28017,-301.0,2026-06-24,CF2609,空单持仓,CF
6,永安期货,26472,115.0,2026-06-24,CF2609,空单持仓,CF
7,中国国际,25997,38.0,2026-06-24,CF2609,空单持仓,CF
8,国贸期货,17689,-1136.0,2026-06-24,CF2609,空单持仓,CF
9,华泰期货,9449,598.0,2026-06-24,CF2609,空单持仓,CF
10,东证期货,9035,-1807.0,2026-06-24,CF2609,空单持仓,CF
11,浙商期货,8974,1526.0,2026-06-24,CF2609,空单持仓,CF
12,招商期货,8685,-1761.0,2026-06-24,CF2609,空单持仓,CF
13,中信建投,8206,-331.0,2026-06-24,CF2609,空单持仓,CF
14,新湖期货,7314,84.0,2026-06-24,CF2609,空单持仓,CF
15,金石期货,7307,46.0,2026-06-24,CF2609,空单持仓,CF
16,融达期货,7289,-137.0,2026-06-24,CF2609,空单持仓,CF
17,混沌天成期货,7286,96.0,2026-06-24,CF2609,空单持仓,CF
18,中州期货,6823,-248.0,2026-06-24,CF2609,空单持仓,CF
19,瑞达期货,6705,170.0,2026-06-24,CF2609,空单持仓,CF
20,长江期货,6632,217.0,2026-06-24,CF2609,空单持仓,CF
1,中信期货,67113,334.0,2026-06-25,CF2609,空单持仓,CF
2,中粮期货,63882,1281.0,2026-06-25,CF2609,空单持仓,CF
3,国泰君安,48949,-238.0,2026-06-25,CF2609,空单持仓,CF
4,银河期货,35256,30.0,2026-06-25,CF2609,空单持仓,CF
5,永安期货,28688,2216.0,2026-06-25,CF2609,空单持仓,CF
6,国投期货,27402,-615.0,2026-06-25,CF2609,空单持仓,CF
7,中国国际,24552,-1445.0,2026-06-25,CF2609,空单持仓,CF
8,国贸期货,15875,-1814.0,2026-06-25,CF2609,空单持仓,CF
9,东证期货,10115,1080.0,2026-06-25,CF2609,空单持仓,CF
10,华泰期货,9840,391.0,2026-06-25,CF2609,空单持仓,CF
11,招商期货,9272,587.0,2026-06-25,CF2609,空单持仓,CF
12,浙商期货,9101,127.0,2026-06-25,CF2609,空单持仓,CF
13,中信建投,8730,524.0,2026-06-25,CF2609,空单持仓,CF
14,中泰期货,7639,1072.0,2026-06-25,CF2609,空单持仓,CF
15,新湖期货,7421,107.0,2026-06-25,CF2609,空单持仓,CF
16,混沌天成期货,7322,36.0,2026-06-25,CF2609,空单持仓,CF
17,东吴期货,7001,684.0,2026-06-25,CF2609,空单持仓,CF
18,融达期货,6731,-558.0,2026-06-25,CF2609,空单持仓,CF
19,瑞达期货,6721,16.0,2026-06-25,CF2609,空单持仓,CF
20,中州期货,6553,-270.0,2026-06-25,CF2609,空单持仓,CF
1,中信期货,65911,-1202.0,2026-06-26,CF2609,空单持仓,CF
2,中粮期货,64198,316.0,2026-06-26,CF2609,空单持仓,CF
3,国泰君安,45002,-3947.0,2026-06-26,CF2609,空单持仓,CF
4,银河期货,35680,424.0,2026-06-26,CF2609,空单持仓,CF
5,永安期货,28058,-630.0,2026-06-26,CF2609,空单持仓,CF
6,国投期货,27278,-124.0,2026-06-26,CF2609,空单持仓,CF
7,中国国际,23984,-568.0,2026-06-26,CF2609,空单持仓,CF
8,浙商期货,17814,8713.0,2026-06-26,CF2609,空单持仓,CF
9,国贸期货,15374,-501.0,2026-06-26,CF2609,空单持仓,CF
10,东证期货,10715,600.0,2026-06-26,CF2609,空单持仓,CF
11,华泰期货,10017,177.0,2026-06-26,CF2609,空单持仓,CF
12,招商期货,9664,392.0,2026-06-26,CF2609,空单持仓,CF
13,中信建投,9032,302.0,2026-06-26,CF2609,空单持仓,CF
14,广州期货,7912,2381.0,2026-06-26,CF2609,空单持仓,CF
15,中泰期货,7696,57.0,2026-06-26,CF2609,空单持仓,CF
16,中金财富,7537,992.0,2026-06-26,CF2609,空单持仓,CF
17,瑞达期货,7535,814.0,2026-06-26,CF2609,空单持仓,CF
18,海证期货,7010,878.0,2026-06-26,CF2609,空单持仓,CF
19,新湖期货,6940,-481.0,2026-06-26,CF2609,空单持仓,CF
20,长江期货,6931,984.0,2026-06-26,CF2609,空单持仓,CF
