排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,66589,-35298.0,2025-11-06,CF2601,成交量,CF
2,东证期货,50025,-10070.0,2025-11-06,CF2601,成交量,CF
3,中信期货,44075,-11228.0,2025-11-06,CF2601,成交量,CF
4,中信建投,15011,8279.0,2025-11-06,CF2601,成交量,CF
5,银河期货,13508,-7766.0,2025-11-06,CF2601,成交量,CF
6,招商期货,11670,-12277.0,2025-11-06,CF2601,成交量,CF
7,南华期货,9634,-722.0,2025-11-06,CF2601,成交量,CF
8,华泰期货,8049,-6032.0,2025-11-06,CF2601,成交量,CF
9,永安期货,6854,733.0,2025-11-06,CF2601,成交量,CF
10,中粮期货,6588,-7846.0,2025-11-06,CF2601,成交量,CF
11,国投期货,6575,1843.0,2025-11-06,CF2601,成交量,CF
12,国信期货,5572,-7249.0,2025-11-06,CF2601,成交量,CF
13,海通期货,5328,-886.0,2025-11-06,CF2601,成交量,CF
14,华闻期货,5196,-2106.0,2025-11-06,CF2601,成交量,CF
15,中辉期货,5151,-3287.0,2025-11-06,CF2601,成交量,CF
16,华安期货,4815,1006.0,2025-11-06,CF2601,成交量,CF
17,浙商期货,4423,-2235.0,2025-11-06,CF2601,成交量,CF
18,方正中期,3554,-3485.0,2025-11-06,CF2601,成交量,CF
19,瑞达期货,3512,472.0,2025-11-06,CF2601,成交量,CF
20,长江期货,3085,-727.0,2025-11-06,CF2601,成交量,CF
1,国泰君安,59231,-7358.0,2025-11-07,CF2601,成交量,CF
2,东证期货,47277,-2748.0,2025-11-07,CF2601,成交量,CF
3,中信期货,43699,-376.0,2025-11-07,CF2601,成交量,CF
4,招商期货,13077,1407.0,2025-11-07,CF2601,成交量,CF
5,银河期货,10090,-3418.0,2025-11-07,CF2601,成交量,CF
6,永安期货,7939,1085.0,2025-11-07,CF2601,成交量,CF
7,中粮期货,7905,1317.0,2025-11-07,CF2601,成交量,CF
8,国投期货,7766,1191.0,2025-11-07,CF2601,成交量,CF
9,华泰期货,6585,-1464.0,2025-11-07,CF2601,成交量,CF
10,中信建投,5225,-9786.0,2025-11-07,CF2601,成交量,CF
11,新湖期货,4467,2007.0,2025-11-07,CF2601,成交量,CF
