排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,9407,764.0,2025-06-16,CS2509,多单持仓,CS
2,中信期货,8466,312.0,2025-06-16,CS2509,多单持仓,CS
3,广发期货,6254,316.0,2025-06-16,CS2509,多单持仓,CS
4,一德期货,6034,-4126.0,2025-06-16,CS2509,多单持仓,CS
5,东证期货,5047,-563.0,2025-06-16,CS2509,多单持仓,CS
6,银河期货,4377,-845.0,2025-06-16,CS2509,多单持仓,CS
7,海通期货,3195,-12.0,2025-06-16,CS2509,多单持仓,CS
8,华泰期货,2846,-118.0,2025-06-16,CS2509,多单持仓,CS
9,兴证期货,2501,487.0,2025-06-16,CS2509,多单持仓,CS
10,正信期货,2404,-52.0,2025-06-16,CS2509,多单持仓,CS
11,中国国际,2347,2319.0,2025-06-16,CS2509,多单持仓,CS
12,永安期货,2252,-1192.0,2025-06-16,CS2509,多单持仓,CS
13,国信期货,1993,-137.0,2025-06-16,CS2509,多单持仓,CS
14,东吴期货,1483,-281.0,2025-06-16,CS2509,多单持仓,CS
15,国投期货,1479,-665.0,2025-06-16,CS2509,多单持仓,CS
16,中粮期货,1406,-399.0,2025-06-16,CS2509,多单持仓,CS
17,中信建投,1228,-21.0,2025-06-16,CS2509,多单持仓,CS
18,宏源期货,1095,-122.0,2025-06-16,CS2509,多单持仓,CS
19,广州金控,1029,-54.0,2025-06-16,CS2509,多单持仓,CS
20,渤海期货,975,145.0,2025-06-16,CS2509,多单持仓,CS
1,国泰君安,10359,952.0,2025-06-17,CS2509,多单持仓,CS
2,中信期货,8523,57.0,2025-06-17,CS2509,多单持仓,CS
3,东证期货,5879,832.0,2025-06-17,CS2509,多单持仓,CS
4,广发期货,5096,-1158.0,2025-06-17,CS2509,多单持仓,CS
5,一德期货,4510,-1524.0,2025-06-17,CS2509,多单持仓,CS
6,海通期货,3110,-85.0,2025-06-17,CS2509,多单持仓,CS
7,银河期货,2848,-1529.0,2025-06-17,CS2509,多单持仓,CS
8,华泰期货,2842,-4.0,2025-06-17,CS2509,多单持仓,CS
9,兴证期货,2696,195.0,2025-06-17,CS2509,多单持仓,CS
10,正信期货,2406,2.0,2025-06-17,CS2509,多单持仓,CS
11,中国国际,2326,-21.0,2025-06-17,CS2509,多单持仓,CS
12,永安期货,2245,-7.0,2025-06-17,CS2509,多单持仓,CS
13,国信期货,1879,-114.0,2025-06-17,CS2509,多单持仓,CS
14,国投期货,1752,273.0,2025-06-17,CS2509,多单持仓,CS
15,西南期货,1501,1000.0,2025-06-17,CS2509,多单持仓,CS
16,东吴期货,1293,-190.0,2025-06-17,CS2509,多单持仓,CS
17,广州金控,1077,48.0,2025-06-17,CS2509,多单持仓,CS
18,民生期货,1040,509.0,2025-06-17,CS2509,多单持仓,CS
19,西部期货,995,549.0,2025-06-17,CS2509,多单持仓,CS
20,宏源期货,966,-129.0,2025-06-17,CS2509,多单持仓,CS
1,国泰君安,12162,1803.0,2025-06-18,CS2509,多单持仓,CS
2,中信期货,7972,-551.0,2025-06-18,CS2509,多单持仓,CS
3,东证期货,6613,734.0,2025-06-18,CS2509,多单持仓,CS
