排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,15017,-398.0,2025-06-16,CS2509,空单持仓,CS
2,银河期货,5990,-71.0,2025-06-16,CS2509,空单持仓,CS
3,国泰君安,5323,18.0,2025-06-16,CS2509,空单持仓,CS
4,中金期货,4569,-1417.0,2025-06-16,CS2509,空单持仓,CS
5,华泰期货,4324,-414.0,2025-06-16,CS2509,空单持仓,CS
6,浙商期货,4021,-1476.0,2025-06-16,CS2509,空单持仓,CS
7,东证期货,3644,-1274.0,2025-06-16,CS2509,空单持仓,CS
8,广发期货,3555,89.0,2025-06-16,CS2509,空单持仓,CS
9,中泰期货,2600,758.0,2025-06-16,CS2509,空单持仓,CS
10,国投期货,2162,-4298.0,2025-06-16,CS2509,空单持仓,CS
11,广州期货,1918,0.0,2025-06-16,CS2509,空单持仓,CS
12,海通期货,1840,230.0,2025-06-16,CS2509,空单持仓,CS
13,宏源期货,1765,247.0,2025-06-16,CS2509,空单持仓,CS
14,中金财富,1636,-540.0,2025-06-16,CS2509,空单持仓,CS
15,国信期货,1461,312.0,2025-06-16,CS2509,空单持仓,CS
16,中粮期货,1427,165.0,2025-06-16,CS2509,空单持仓,CS
17,海证期货,1378,24.0,2025-06-16,CS2509,空单持仓,CS
18,平安期货,1257,45.0,2025-06-16,CS2509,空单持仓,CS
19,渤海期货,1249,-17.0,2025-06-16,CS2509,空单持仓,CS
20,光大期货,1213,318.0,2025-06-16,CS2509,空单持仓,CS
1,中信期货,15141,124.0,2025-06-17,CS2509,空单持仓,CS
2,国泰君安,5395,72.0,2025-06-17,CS2509,空单持仓,CS
3,银河期货,5219,-771.0,2025-06-17,CS2509,空单持仓,CS
4,中金期货,4569,0.0,2025-06-17,CS2509,空单持仓,CS
5,华泰期货,4133,-191.0,2025-06-17,CS2509,空单持仓,CS
6,浙商期货,3579,-442.0,2025-06-17,CS2509,空单持仓,CS
7,广发期货,3320,-235.0,2025-06-17,CS2509,空单持仓,CS
8,东证期货,3170,-474.0,2025-06-17,CS2509,空单持仓,CS
9,中泰期货,2816,216.0,2025-06-17,CS2509,空单持仓,CS
10,光大期货,2145,932.0,2025-06-17,CS2509,空单持仓,CS
11,海通期货,1813,-27.0,2025-06-17,CS2509,空单持仓,CS
12,国信期货,1719,258.0,2025-06-17,CS2509,空单持仓,CS
13,国投期货,1678,-484.0,2025-06-17,CS2509,空单持仓,CS
14,中粮期货,1407,-20.0,2025-06-17,CS2509,空单持仓,CS
15,中金财富,1394,-242.0,2025-06-17,CS2509,空单持仓,CS
16,海证期货,1305,-73.0,2025-06-17,CS2509,空单持仓,CS
17,中信建投,1193,16.0,2025-06-17,CS2509,空单持仓,CS
18,平安期货,1137,-120.0,2025-06-17,CS2509,空单持仓,CS
19,广州期货,1120,-798.0,2025-06-17,CS2509,空单持仓,CS
20,物产中大,1100,-3.0,2025-06-17,CS2509,空单持仓,CS
1,中信期货,18665,3524.0,2025-06-18,CS2509,空单持仓,CS
2,国泰君安,7039,1644.0,2025-06-18,CS2509,空单持仓,CS
3,银河期货,5734,515.0,2025-06-18,CS2509,空单持仓,CS
4,华泰期货,4204,71.0,2025-06-18,CS2509,空单持仓,CS
5,中金期货,3338,-1231.0,2025-06-18,CS2509,空单持仓,CS
6,广发期货,2980,-340.0,2025-06-18,CS2509,空单持仓,CS
7,中泰期货,2971,155.0,2025-06-18,CS2509,空单持仓,CS
8,东证期货,2326,-844.0,2025-06-18,CS2509,空单持仓,CS
9,浙商期货,2230,-1349.0,2025-06-18,CS2509,空单持仓,CS
10,中金财富,2047,653.0,2025-06-18,CS2509,空单持仓,CS
11,海通期货,1910,97.0,2025-06-18,CS2509,空单持仓,CS
12,国信期货,1686,-33.0,2025-06-18,CS2509,空单持仓,CS
13,国投期货,1640,-38.0,2025-06-18,CS2509,空单持仓,CS
14,方正中期,1496,495.0,2025-06-18,CS2509,空单持仓,CS
15,平安期货,1460,323.0,2025-06-18,CS2509,空单持仓,CS
16,创元期货,1426,738.0,2025-06-18,CS2509,空单持仓,CS
17,海证期货,1341,36.0,2025-06-18,CS2509,空单持仓,CS
18,中粮期货,1258,-149.0,2025-06-18,CS2509,空单持仓,CS
19,宏源期货,1210,176.0,2025-06-18,CS2509,空单持仓,CS
20,广州期货,1118,-2.0,2025-06-18,CS2509,空单持仓,CS
1,中信期货,20207,1542.0,2025-06-19,CS2509,空单持仓,CS
2,国泰君安,7207,168.0,2025-06-19,CS2509,空单持仓,CS
3,银河期货,5034,-700.0,2025-06-19,CS2509,空单持仓,CS
4,华泰期货,4272,68.0,2025-06-19,CS2509,空单持仓,CS
