排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol,成交量
1,中信期货,15188.0,-4873.0,2025-06-16,CS2509,成交量,CS,
2,国泰君安,13144.0,-894.0,2025-06-16,CS2509,成交量,CS,
3,东证期货,9695.0,-1031.0,2025-06-16,CS2509,成交量,CS,
4,国投期货,6011.0,4209.0,2025-06-16,CS2509,成交量,CS,
5,一德期货,4149.0,4052.0,2025-06-16,CS2509,成交量,CS,
6,银河期货,3302.0,893.0,2025-06-16,CS2509,成交量,CS,
7,南华期货,3138.0,-5797.0,2025-06-16,CS2509,成交量,CS,
8,华泰期货,2938.0,-246.0,2025-06-16,CS2509,成交量,CS,
9,国信期货,2733.0,1398.0,2025-06-16,CS2509,成交量,CS,
10,宏源期货,2451.0,251.0,2025-06-16,CS2509,成交量,CS,
11,浙商期货,2383.0,-1402.0,2025-06-16,CS2509,成交量,CS,
12,中国国际,2336.0,2122.0,2025-06-16,CS2509,成交量,CS,
13,光大期货,1945.0,484.0,2025-06-16,CS2509,成交量,CS,
14,中粮期货,1860.0,-1185.0,2025-06-16,CS2509,成交量,CS,
15,东方财富,1829.0,-190.0,2025-06-16,CS2509,成交量,CS,
16,永安期货,1551.0,1078.0,2025-06-16,CS2509,成交量,CS,
17,渤海期货,1498.0,366.0,2025-06-16,CS2509,成交量,CS,
18,广发期货,1421.0,55.0,2025-06-16,CS2509,成交量,CS,
19,中金期货,1417.0,-97.0,2025-06-16,CS2509,成交量,CS,
20,中金财富,1251.0,12.0,2025-06-16,CS2509,成交量,CS,
1,中信期货,10417.0,-4771.0,2025-06-17,CS2509,成交量,CS,
2,东证期货,7918.0,-1777.0,2025-06-17,CS2509,成交量,CS,
3,国泰君安,6342.0,-6802.0,2025-06-17,CS2509,成交量,CS,
4,银河期货,3038.0,-264.0,2025-06-17,CS2509,成交量,CS,
5,华泰期货,2793.0,-145.0,2025-06-17,CS2509,成交量,CS,
6,国信期货,2758.0,25.0,2025-06-17,CS2509,成交量,CS,
7,光大期货,2469.0,524.0,2025-06-17,CS2509,成交量,CS,
8,东方财富,2264.0,435.0,2025-06-17,CS2509,成交量,CS,
9,南华期货,1974.0,-1164.0,2025-06-17,CS2509,成交量,CS,
10,国投期货,1827.0,-4184.0,2025-06-17,CS2509,成交量,CS,
11,广发期货,1793.0,372.0,2025-06-17,CS2509,成交量,CS,
12,宏源期货,1700.0,-751.0,2025-06-17,CS2509,成交量,CS,
13,民生期货,1586.0,1503.0,2025-06-17,CS2509,成交量,CS,
14,中粮期货,1578.0,-282.0,2025-06-17,CS2509,成交量,CS,
15,一德期货,1548.0,-2601.0,2025-06-17,CS2509,成交量,CS,
16,中信建投,1227.0,763.0,2025-06-17,CS2509,成交量,CS,
17,恒力期货,1124.0,1116.0,2025-06-17,CS2509,成交量,CS,
18,国贸期货,1081.0,-122.0,2025-06-17,CS2509,成交量,CS,
19,西南期货,1039.0,948.0,2025-06-17,CS2509,成交量,CS,
20,中金财富,1002.0,-249.0,2025-06-17,CS2509,成交量,CS,
1,中信期货,25987.0,15570.0,2025-06-18,CS2509,成交量,CS,
2,东证期货,16726.0,8808.0,2025-06-18,CS2509,成交量,CS,
3,国泰君安,12155.0,5813.0,2025-06-18,CS2509,成交量,CS,
