排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,金瑞期货,17270,-264.0,2026-06-22,cu2608,空单持仓,CU
2,国泰君安,13813,-155.0,2026-06-22,cu2608,空单持仓,CU
3,中信期货,10178,-166.0,2026-06-22,cu2608,空单持仓,CU
4,五矿期货,7824,44.0,2026-06-22,cu2608,空单持仓,CU
5,银河期货,7254,392.0,2026-06-22,cu2608,空单持仓,CU
6,中银期货,6779,-960.0,2026-06-22,cu2608,空单持仓,CU
7,东证期货,6161,120.0,2026-06-22,cu2608,空单持仓,CU
8,光大期货,5265,100.0,2026-06-22,cu2608,空单持仓,CU
9,方正中期,5040,9.0,2026-06-22,cu2608,空单持仓,CU
10,紫金天风,4047,17.0,2026-06-22,cu2608,空单持仓,CU
11,云晨期货,3657,181.0,2026-06-22,cu2608,空单持仓,CU
12,国投期货,3496,-9.0,2026-06-22,cu2608,空单持仓,CU
13,广发期货,2911,-41.0,2026-06-22,cu2608,空单持仓,CU
14,申万期货,2709,2.0,2026-06-22,cu2608,空单持仓,CU
15,南华期货,2601,65.0,2026-06-22,cu2608,空单持仓,CU
16,国贸期货,2441,23.0,2026-06-22,cu2608,空单持仓,CU
17,中粮期货,2409,24.0,2026-06-22,cu2608,空单持仓,CU
18,兴业期货,2301,-87.0,2026-06-22,cu2608,空单持仓,CU
19,先锋期货,1970,0.0,2026-06-22,cu2608,空单持仓,CU
20,华泰期货,1812,259.0,2026-06-22,cu2608,空单持仓,CU
1,金瑞期货,15073,-2197.0,2026-06-23,cu2608,空单持仓,CU
2,国泰君安,13769,-44.0,2026-06-23,cu2608,空单持仓,CU
3,中信期货,10759,581.0,2026-06-23,cu2608,空单持仓,CU
4,东证期货,8196,2035.0,2026-06-23,cu2608,空单持仓,CU
5,五矿期货,7296,-528.0,2026-06-23,cu2608,空单持仓,CU
6,银河期货,7258,4.0,2026-06-23,cu2608,空单持仓,CU
7,中银期货,6137,-642.0,2026-06-23,cu2608,空单持仓,CU
8,光大期货,4890,-375.0,2026-06-23,cu2608,空单持仓,CU
9,方正中期,4871,-169.0,2026-06-23,cu2608,空单持仓,CU
10,紫金天风,4083,36.0,2026-06-23,cu2608,空单持仓,CU
11,国投期货,3719,223.0,2026-06-23,cu2608,空单持仓,CU
12,云晨期货,3654,-3.0,2026-06-23,cu2608,空单持仓,CU
13,广发期货,3178,267.0,2026-06-23,cu2608,空单持仓,CU
14,南华期货,2801,200.0,2026-06-23,cu2608,空单持仓,CU
15,申万期货,2551,-158.0,2026-06-23,cu2608,空单持仓,CU
16,中粮期货,2491,82.0,2026-06-23,cu2608,空单持仓,CU
17,兴业期货,2392,91.0,2026-06-23,cu2608,空单持仓,CU
18,华泰期货,2122,310.0,2026-06-23,cu2608,空单持仓,CU
19,海通期货,1995,282.0,2026-06-23,cu2608,空单持仓,CU
20,先锋期货,1942,-28.0,2026-06-23,cu2608,空单持仓,CU
1,金瑞期货,15139,66.0,2026-06-24,cu2608,空单持仓,CU
2,国泰君安,14134,365.0,2026-06-24,cu2608,空单持仓,CU
3,中信期货,12232,1473.0,2026-06-24,cu2608,空单持仓,CU
4,东证期货,9071,875.0,2026-06-24,cu2608,空单持仓,CU
5,银河期货,7353,95.0,2026-06-24,cu2608,空单持仓,CU
6,五矿期货,7104,-192.0,2026-06-24,cu2608,空单持仓,CU
7,光大期货,6052,1162.0,2026-06-24,cu2608,空单持仓,CU
8,中银期货,5785,-352.0,2026-06-24,cu2608,空单持仓,CU
9,方正中期,4923,52.0,2026-06-24,cu2608,空单持仓,CU
10,紫金天风,4283,200.0,2026-06-24,cu2608,空单持仓,CU
11,国投期货,3762,43.0,2026-06-24,cu2608,空单持仓,CU
12,云晨期货,3620,-34.0,2026-06-24,cu2608,空单持仓,CU
13,广发期货,3344,166.0,2026-06-24,cu2608,空单持仓,CU
14,中粮期货,3271,780.0,2026-06-24,cu2608,空单持仓,CU
15,南华期货,2912,111.0,2026-06-24,cu2608,空单持仓,CU
16,华泰期货,2330,208.0,2026-06-24,cu2608,空单持仓,CU
17,兴业期货,2269,-123.0,2026-06-24,cu2608,空单持仓,CU
18,申万期货,2112,-439.0,2026-06-24,cu2608,空单持仓,CU
19,先锋期货,1960,18.0,2026-06-24,cu2608,空单持仓,CU
20,海通期货,1850,-145.0,2026-06-24,cu2608,空单持仓,CU
1,中信期货,15077,2845.0,2026-06-25,cu2608,空单持仓,CU
2,国泰君安,14075,-59.0,2026-06-25,cu2608,空单持仓,CU
3,金瑞期货,12908,-2231.0,2026-06-25,cu2608,空单持仓,CU
4,东证期货,8574,-497.0,2026-06-25,cu2608,空单持仓,CU
5,银河期货,8199,846.0,2026-06-25,cu2608,空单持仓,CU
6,五矿期货,6813,-291.0,2026-06-25,cu2608,空单持仓,CU
7,中银期货,5990,205.0,2026-06-25,cu2608,空单持仓,CU
8,光大期货,5603,-449.0,2026-06-25,cu2608,空单持仓,CU
9,方正中期,5266,343.0,2026-06-25,cu2608,空单持仓,CU
10,国投期货,4174,412.0,2026-06-25,cu2608,空单持仓,CU
11,紫金天风,3825,-458.0,2026-06-25,cu2608,空单持仓,CU
12,广发期货,3766,422.0,2026-06-25,cu2608,空单持仓,CU
13,中粮期货,3368,97.0,2026-06-25,cu2608,空单持仓,CU
14,南华期货,2941,29.0,2026-06-25,cu2608,空单持仓,CU
15,华泰期货,2824,494.0,2026-06-25,cu2608,空单持仓,CU
16,云晨期货,2699,-921.0,2026-06-25,cu2608,空单持仓,CU
17,兴业期货,2340,71.0,2026-06-25,cu2608,空单持仓,CU
18,海通期货,2032,182.0,2026-06-25,cu2608,空单持仓,CU
19,先锋期货,2022,62.0,2026-06-25,cu2608,空单持仓,CU
20,国联期货,1904,260.0,2026-06-25,cu2608,空单持仓,CU
1,中信期货,16031,954.0,2026-06-26,cu2608,空单持仓,CU
2,国泰君安,13455,-620.0,2026-06-26,cu2608,空单持仓,CU
3,金瑞期货,13146,238.0,2026-06-26,cu2608,空单持仓,CU
4,银河期货,7622,-577.0,2026-06-26,cu2608,空单持仓,CU
5,东证期货,7021,-1553.0,2026-06-26,cu2608,空单持仓,CU
6,五矿期货,6813,0.0,2026-06-26,cu2608,空单持仓,CU
7,光大期货,5518,-85.0,2026-06-26,cu2608,空单持仓,CU
8,方正中期,5336,70.0,2026-06-26,cu2608,空单持仓,CU
9,国投期货,4086,-88.0,2026-06-26,cu2608,空单持仓,CU
10,中银期货,3857,-2133.0,2026-06-26,cu2608,空单持仓,CU
11,紫金天风,3698,-127.0,2026-06-26,cu2608,空单持仓,CU
12,广发期货,3685,-81.0,2026-06-26,cu2608,空单持仓,CU
13,中粮期货,3367,-1.0,2026-06-26,cu2608,空单持仓,CU
14,华泰期货,3228,404.0,2026-06-26,cu2608,空单持仓,CU
15,云晨期货,2730,31.0,2026-06-26,cu2608,空单持仓,CU
16,南华期货,2619,-322.0,2026-06-26,cu2608,空单持仓,CU
17,国信期货,2327,455.0,2026-06-26,cu2608,空单持仓,CU
18,兴业期货,2284,-56.0,2026-06-26,cu2608,空单持仓,CU
19,中泰期货,2133,408.0,2026-06-26,cu2608,空单持仓,CU
20,永安期货,2000,481.0,2026-06-26,cu2608,空单持仓,CU
