排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,东证期货,11970,659.0,2026-06-22,cu2608,成交量,CU
2,中信期货,8907,-3816.0,2026-06-22,cu2608,成交量,CU
3,国泰君安,7943,-4690.0,2026-06-22,cu2608,成交量,CU
4,华泰期货,4982,-308.0,2026-06-22,cu2608,成交量,CU
5,银河期货,2834,-406.0,2026-06-22,cu2608,成交量,CU
6,中泰期货,2692,-333.0,2026-06-22,cu2608,成交量,CU
7,浙商期货,2587,-2095.0,2026-06-22,cu2608,成交量,CU
8,金瑞期货,2565,-389.0,2026-06-22,cu2608,成交量,CU
9,海通期货,2024,-638.0,2026-06-22,cu2608,成交量,CU
10,国信期货,1752,-544.0,2026-06-22,cu2608,成交量,CU
11,南华期货,1651,-1285.0,2026-06-22,cu2608,成交量,CU
12,广发期货,1595,-124.0,2026-06-22,cu2608,成交量,CU
13,方正中期,1578,-526.0,2026-06-22,cu2608,成交量,CU
14,中银期货,1431,908.0,2026-06-22,cu2608,成交量,CU
15,永安期货,1326,114.0,2026-06-22,cu2608,成交量,CU
16,中信建投,981,-531.0,2026-06-22,cu2608,成交量,CU
17,铜冠金源,958,-443.0,2026-06-22,cu2608,成交量,CU
18,渤海期货,939,619.0,2026-06-22,cu2608,成交量,CU
19,宝城期货,924,-268.0,2026-06-22,cu2608,成交量,CU
20,新湖期货,913,-491.0,2026-06-22,cu2608,成交量,CU
1,国泰君安,18024,10081.0,2026-06-23,cu2608,成交量,CU
2,东证期货,15425,3455.0,2026-06-23,cu2608,成交量,CU
3,中信期货,11716,2809.0,2026-06-23,cu2608,成交量,CU
4,华泰期货,7690,2708.0,2026-06-23,cu2608,成交量,CU
5,中泰期货,6566,3874.0,2026-06-23,cu2608,成交量,CU
6,金瑞期货,4840,2275.0,2026-06-23,cu2608,成交量,CU
7,银河期货,4293,1459.0,2026-06-23,cu2608,成交量,CU
8,南华期货,3507,1856.0,2026-06-23,cu2608,成交量,CU
9,国信期货,3256,1504.0,2026-06-23,cu2608,成交量,CU
10,海通期货,3024,1000.0,2026-06-23,cu2608,成交量,CU
11,光大期货,2843,1965.0,2026-06-23,cu2608,成交量,CU
12,方正中期,2770,1192.0,2026-06-23,cu2608,成交量,CU
13,永安期货,2476,1150.0,2026-06-23,cu2608,成交量,CU
14,广发期货,2451,856.0,2026-06-23,cu2608,成交量,CU
15,浙商期货,2253,-334.0,2026-06-23,cu2608,成交量,CU
16,新湖期货,2179,1266.0,2026-06-23,cu2608,成交量,CU
17,东吴期货,2176,1280.0,2026-06-23,cu2608,成交量,CU
18,国贸期货,1858,1101.0,2026-06-23,cu2608,成交量,CU
19,创元期货,1653,1027.0,2026-06-23,cu2608,成交量,CU
20,中银期货,1617,186.0,2026-06-23,cu2608,成交量,CU
1,东证期货,23253,7828.0,2026-06-24,cu2608,成交量,CU
2,中信期货,16719,5003.0,2026-06-24,cu2608,成交量,CU
3,国泰君安,16079,-1945.0,2026-06-24,cu2608,成交量,CU
4,华泰期货,10749,3059.0,2026-06-24,cu2608,成交量,CU
5,南华期货,6514,3007.0,2026-06-24,cu2608,成交量,CU
6,银河期货,6391,2098.0,2026-06-24,cu2608,成交量,CU
7,金瑞期货,6159,1319.0,2026-06-24,cu2608,成交量,CU
8,中泰期货,4680,-1886.0,2026-06-24,cu2608,成交量,CU
9,光大期货,4407,1564.0,2026-06-24,cu2608,成交量,CU
10,国信期货,4392,1136.0,2026-06-24,cu2608,成交量,CU
11,海通期货,4192,1168.0,2026-06-24,cu2608,成交量,CU
