排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国投期货,2507,327.0,2026-06-22,CY2609,空单持仓,CY
2,永安期货,1536,88.0,2026-06-22,CY2609,空单持仓,CY
3,五矿期货,1084,51.0,2026-06-22,CY2609,空单持仓,CY
4,申银万国,1025,-8.0,2026-06-22,CY2609,空单持仓,CY
5,锦泰期货,1000,0.0,2026-06-22,CY2609,空单持仓,CY
6,浙商期货,820,8.0,2026-06-22,CY2609,空单持仓,CY
7,弘业期货,684,2.0,2026-06-22,CY2609,空单持仓,CY
8,国泰君安,643,4.0,2026-06-22,CY2609,空单持仓,CY
9,中信建投,624,-11.0,2026-06-22,CY2609,空单持仓,CY
10,国海良时,616,3.0,2026-06-22,CY2609,空单持仓,CY
11,南华期货,598,-2.0,2026-06-22,CY2609,空单持仓,CY
12,创元期货,390,-2.0,2026-06-22,CY2609,空单持仓,CY
13,宝城期货,340,-44.0,2026-06-22,CY2609,空单持仓,CY
14,广发期货,163,38.0,2026-06-22,CY2609,空单持仓,CY
15,国信期货,155,-78.0,2026-06-22,CY2609,空单持仓,CY
16,银河期货,144,73.0,2026-06-22,CY2609,空单持仓,CY
17,中信期货,120,-10.0,2026-06-22,CY2609,空单持仓,CY
18,大有期货,111,2.0,2026-06-22,CY2609,空单持仓,CY
19,中粮期货,107,0.0,2026-06-22,CY2609,空单持仓,CY
20,融达期货,105,0.0,2026-06-22,CY2609,空单持仓,CY
1,国投期货,2557,50.0,2026-06-23,CY2609,空单持仓,CY
2,永安期货,1443,-93.0,2026-06-23,CY2609,空单持仓,CY
3,五矿期货,1107,23.0,2026-06-23,CY2609,空单持仓,CY
4,申银万国,1032,7.0,2026-06-23,CY2609,空单持仓,CY
5,锦泰期货,1000,0.0,2026-06-23,CY2609,空单持仓,CY
6,浙商期货,814,-6.0,2026-06-23,CY2609,空单持仓,CY
7,弘业期货,683,-1.0,2026-06-23,CY2609,空单持仓,CY
8,国泰君安,625,-18.0,2026-06-23,CY2609,空单持仓,CY
9,中信建投,620,-4.0,2026-06-23,CY2609,空单持仓,CY
10,国海良时,614,-2.0,2026-06-23,CY2609,空单持仓,CY
11,南华期货,604,6.0,2026-06-23,CY2609,空单持仓,CY
12,创元期货,396,6.0,2026-06-23,CY2609,空单持仓,CY
13,宝城期货,213,-127.0,2026-06-23,CY2609,空单持仓,CY
14,国信期货,171,16.0,2026-06-23,CY2609,空单持仓,CY
15,广发期货,161,-2.0,2026-06-23,CY2609,空单持仓,CY
16,银河期货,146,2.0,2026-06-23,CY2609,空单持仓,CY
17,东证期货,118,35.0,2026-06-23,CY2609,空单持仓,CY
18,大有期货,111,0.0,2026-06-23,CY2609,空单持仓,CY
19,中粮期货,105,-2.0,2026-06-23,CY2609,空单持仓,CY
20,中信期货,100,-20.0,2026-06-23,CY2609,空单持仓,CY
1,国投期货,2557,0.0,2026-06-24,CY2609,空单持仓,CY
2,永安期货,1422,-21.0,2026-06-24,CY2609,空单持仓,CY
3,五矿期货,1120,13.0,2026-06-24,CY2609,空单持仓,CY
4,申银万国,1027,-5.0,2026-06-24,CY2609,空单持仓,CY
5,锦泰期货,1000,0.0,2026-06-24,CY2609,空单持仓,CY
6,浙商期货,808,-6.0,2026-06-24,CY2609,空单持仓,CY
7,弘业期货,684,1.0,2026-06-24,CY2609,空单持仓,CY
8,国泰君安,638,13.0,2026-06-24,CY2609,空单持仓,CY
9,中信建投,630,10.0,2026-06-24,CY2609,空单持仓,CY
10,国海良时,619,5.0,2026-06-24,CY2609,空单持仓,CY
11,南华期货,610,6.0,2026-06-24,CY2609,空单持仓,CY
12,创元期货,386,-10.0,2026-06-24,CY2609,空单持仓,CY
13,宝城期货,252,39.0,2026-06-24,CY2609,空单持仓,CY
14,国信期货,209,38.0,2026-06-24,CY2609,空单持仓,CY
15,广发期货,161,0.0,2026-06-24,CY2609,空单持仓,CY
16,银河期货,136,-10.0,2026-06-24,CY2609,空单持仓,CY
17,中信期货,114,14.0,2026-06-24,CY2609,空单持仓,CY
18,东证期货,110,-8.0,2026-06-24,CY2609,空单持仓,CY
19,大有期货,108,-3.0,2026-06-24,CY2609,空单持仓,CY
20,中粮期货,105,0.0,2026-06-24,CY2609,空单持仓,CY
1,国投期货,2611,54.0,2026-06-25,CY2609,空单持仓,CY
2,永安期货,1346,-76.0,2026-06-25,CY2609,空单持仓,CY
3,五矿期货,1148,28.0,2026-06-25,CY2609,空单持仓,CY
4,申银万国,1042,15.0,2026-06-25,CY2609,空单持仓,CY
5,锦泰期货,1001,1.0,2026-06-25,CY2609,空单持仓,CY
6,浙商期货,810,2.0,2026-06-25,CY2609,空单持仓,CY
