排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,65426,-3244.0,2025-11-10,eb2512,多单持仓,EB
2,华泰期货,25717,305.0,2025-11-10,eb2512,多单持仓,EB
3,东证期货,22973,490.0,2025-11-10,eb2512,多单持仓,EB
4,中信期货,17150,1260.0,2025-11-10,eb2512,多单持仓,EB
5,国海良时,15052,-1062.0,2025-11-10,eb2512,多单持仓,EB
6,中信建投,12561,230.0,2025-11-10,eb2512,多单持仓,EB
7,中泰期货,10759,628.0,2025-11-10,eb2512,多单持仓,EB
8,银河期货,9734,-3725.0,2025-11-10,eb2512,多单持仓,EB
9,南华期货,9335,-580.0,2025-11-10,eb2512,多单持仓,EB
10,弘业期货,8691,142.0,2025-11-10,eb2512,多单持仓,EB
11,浙商期货,7886,-577.0,2025-11-10,eb2512,多单持仓,EB
12,国贸期货,7582,-216.0,2025-11-10,eb2512,多单持仓,EB
13,通惠期货,6812,192.0,2025-11-10,eb2512,多单持仓,EB
14,五矿期货,5103,-372.0,2025-11-10,eb2512,多单持仓,EB
15,冠通期货,4809,51.0,2025-11-10,eb2512,多单持仓,EB
16,紫金天风,4808,-568.0,2025-11-10,eb2512,多单持仓,EB
17,永安期货,4774,94.0,2025-11-10,eb2512,多单持仓,EB
18,东吴期货,4519,-2.0,2025-11-10,eb2512,多单持仓,EB
19,宏源期货,4325,189.0,2025-11-10,eb2512,多单持仓,EB
20,国联期货,4276,203.0,2025-11-10,eb2512,多单持仓,EB
1,国泰君安,69106,3680.0,2025-11-11,eb2512,多单持仓,EB
2,华泰期货,26355,638.0,2025-11-11,eb2512,多单持仓,EB
3,东证期货,21648,-1325.0,2025-11-11,eb2512,多单持仓,EB
4,中信期货,16715,-435.0,2025-11-11,eb2512,多单持仓,EB
5,国海良时,15304,252.0,2025-11-11,eb2512,多单持仓,EB
6,中信建投,12873,312.0,2025-11-11,eb2512,多单持仓,EB
7,中泰期货,10710,-49.0,2025-11-11,eb2512,多单持仓,EB
8,银河期货,10683,949.0,2025-11-11,eb2512,多单持仓,EB
9,南华期货,9337,2.0,2025-11-11,eb2512,多单持仓,EB
10,弘业期货,8346,-345.0,2025-11-11,eb2512,多单持仓,EB
11,浙商期货,8203,317.0,2025-11-11,eb2512,多单持仓,EB
12,国贸期货,7852,270.0,2025-11-11,eb2512,多单持仓,EB
13,通惠期货,6623,-189.0,2025-11-11,eb2512,多单持仓,EB
14,永安期货,5653,879.0,2025-11-11,eb2512,多单持仓,EB
15,五矿期货,5476,373.0,2025-11-11,eb2512,多单持仓,EB
16,国联期货,4886,610.0,2025-11-11,eb2512,多单持仓,EB
17,紫金天风,4882,74.0,2025-11-11,eb2512,多单持仓,EB
18,冠通期货,4767,-42.0,2025-11-11,eb2512,多单持仓,EB
19,方正中期,4391,389.0,2025-11-11,eb2512,多单持仓,EB
20,东吴期货,4368,-151.0,2025-11-11,eb2512,多单持仓,EB
1,国泰君安,63808,-5298.0,2025-11-12,eb2512,多单持仓,EB
2,华泰期货,25443,-912.0,2025-11-12,eb2512,多单持仓,EB
3,东证期货,21629,-19.0,2025-11-12,eb2512,多单持仓,EB
4,中信期货,18290,1575.0,2025-11-12,eb2512,多单持仓,EB
5,国海良时,15320,16.0,2025-11-12,eb2512,多单持仓,EB
6,中信建投,13620,747.0,2025-11-12,eb2512,多单持仓,EB
7,中泰期货,10158,-552.0,2025-11-12,eb2512,多单持仓,EB
8,银河期货,8905,-1778.0,2025-11-12,eb2512,多单持仓,EB
9,南华期货,8482,-855.0,2025-11-12,eb2512,多单持仓,EB
10,浙商期货,7608,-595.0,2025-11-12,eb2512,多单持仓,EB
11,弘业期货,7547,-799.0,2025-11-12,eb2512,多单持仓,EB
12,国贸期货,7398,-454.0,2025-11-12,eb2512,多单持仓,EB
13,通惠期货,6634,11.0,2025-11-12,eb2512,多单持仓,EB
14,永安期货,5523,-130.0,2025-11-12,eb2512,多单持仓,EB
15,五矿期货,4945,-531.0,2025-11-12,eb2512,多单持仓,EB
16,冠通期货,4529,-238.0,2025-11-12,eb2512,多单持仓,EB
17,宏源期货,4414,75.0,2025-11-12,eb2512,多单持仓,EB
18,东吴期货,4322,-46.0,2025-11-12,eb2512,多单持仓,EB
19,创元期货,3921,-307.0,2025-11-12,eb2512,多单持仓,EB
20,国联期货,3781,-1105.0,2025-11-12,eb2512,多单持仓,EB
