排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,61785,-3181.0,2025-11-10,eb2512,空单持仓,EB
2,中信期货,32654,-1434.0,2025-11-10,eb2512,空单持仓,EB
3,东证期货,29507,3791.0,2025-11-10,eb2512,空单持仓,EB
4,中金财富,19848,41.0,2025-11-10,eb2512,空单持仓,EB
5,永安期货,13890,-142.0,2025-11-10,eb2512,空单持仓,EB
6,平安期货,13063,-895.0,2025-11-10,eb2512,空单持仓,EB
7,瑞银期货,11429,-588.0,2025-11-10,eb2512,空单持仓,EB
8,乾坤期货,10349,278.0,2025-11-10,eb2512,空单持仓,EB
9,华泰期货,9026,-1315.0,2025-11-10,eb2512,空单持仓,EB
10,中信建投,8924,-454.0,2025-11-10,eb2512,空单持仓,EB
11,银河期货,6764,-317.0,2025-11-10,eb2512,空单持仓,EB
12,光大期货,5972,467.0,2025-11-10,eb2512,空单持仓,EB
13,瑞达期货,5719,-306.0,2025-11-10,eb2512,空单持仓,EB
14,华闻期货,5349,-240.0,2025-11-10,eb2512,空单持仓,EB
15,紫金天风,5124,77.0,2025-11-10,eb2512,空单持仓,EB
16,华源期货,4451,4.0,2025-11-10,eb2512,空单持仓,EB
17,南华期货,4240,-284.0,2025-11-10,eb2512,空单持仓,EB
18,浙商期货,4206,65.0,2025-11-10,eb2512,空单持仓,EB
19,广发期货,3968,-633.0,2025-11-10,eb2512,空单持仓,EB
20,国投期货,3881,766.0,2025-11-10,eb2512,空单持仓,EB
1,国泰君安,58406,-3379.0,2025-11-11,eb2512,空单持仓,EB
2,中信期货,39203,6549.0,2025-11-11,eb2512,空单持仓,EB
3,东证期货,32595,3088.0,2025-11-11,eb2512,空单持仓,EB
4,中金财富,19460,-388.0,2025-11-11,eb2512,空单持仓,EB
5,永安期货,14700,810.0,2025-11-11,eb2512,空单持仓,EB
6,平安期货,12418,-645.0,2025-11-11,eb2512,空单持仓,EB
7,瑞银期货,10831,-598.0,2025-11-11,eb2512,空单持仓,EB
8,乾坤期货,10262,-87.0,2025-11-11,eb2512,空单持仓,EB
9,华泰期货,9054,28.0,2025-11-11,eb2512,空单持仓,EB
10,中信建投,8148,-776.0,2025-11-11,eb2512,空单持仓,EB
11,银河期货,6801,37.0,2025-11-11,eb2512,空单持仓,EB
12,光大期货,5936,-36.0,2025-11-11,eb2512,空单持仓,EB
13,华闻期货,5333,-16.0,2025-11-11,eb2512,空单持仓,EB
14,瑞达期货,5123,-596.0,2025-11-11,eb2512,空单持仓,EB
15,国投期货,4889,1008.0,2025-11-11,eb2512,空单持仓,EB
16,华源期货,4532,81.0,2025-11-11,eb2512,空单持仓,EB
17,南华期货,4225,-15.0,2025-11-11,eb2512,空单持仓,EB
18,浙商期货,4168,-38.0,2025-11-11,eb2512,空单持仓,EB
19,广发期货,4155,187.0,2025-11-11,eb2512,空单持仓,EB
20,宝城期货,3940,662.0,2025-11-11,eb2512,空单持仓,EB
1,国泰君安,61220,2814.0,2025-11-12,eb2512,空单持仓,EB
2,中信期货,36939,-2264.0,2025-11-12,eb2512,空单持仓,EB
3,东证期货,26271,-6324.0,2025-11-12,eb2512,空单持仓,EB
4,中金财富,18013,-1447.0,2025-11-12,eb2512,空单持仓,EB
5,永安期货,12920,-1780.0,2025-11-12,eb2512,空单持仓,EB
6,平安期货,12678,260.0,2025-11-12,eb2512,空单持仓,EB
7,瑞银期货,10821,-10.0,2025-11-12,eb2512,空单持仓,EB
8,乾坤期货,9441,-821.0,2025-11-12,eb2512,空单持仓,EB
9,中信建投,9432,1284.0,2025-11-12,eb2512,空单持仓,EB
10,华泰期货,8004,-1050.0,2025-11-12,eb2512,空单持仓,EB
11,银河期货,6787,-14.0,2025-11-12,eb2512,空单持仓,EB
12,光大期货,5500,-436.0,2025-11-12,eb2512,空单持仓,EB
13,瑞达期货,5056,-67.0,2025-11-12,eb2512,空单持仓,EB
14,国投期货,4566,-323.0,2025-11-12,eb2512,空单持仓,EB
15,华闻期货,4438,-895.0,2025-11-12,eb2512,空单持仓,EB
16,华源期货,4386,-146.0,2025-11-12,eb2512,空单持仓,EB
17,南华期货,3951,-274.0,2025-11-12,eb2512,空单持仓,EB
18,浙商期货,3558,-610.0,2025-11-12,eb2512,空单持仓,EB
19,广发期货,3524,-631.0,2025-11-12,eb2512,空单持仓,EB
20,中泰期货,3445,-428.0,2025-11-12,eb2512,空单持仓,EB
