排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,68161,7892.0,2025-11-10,eb2512,成交量,EB
2,东证期货,62421,2653.0,2025-11-10,eb2512,成交量,EB
3,中信期货,40214,-5624.0,2025-11-10,eb2512,成交量,EB
4,国投期货,24158,2999.0,2025-11-10,eb2512,成交量,EB
5,华泰期货,20596,4.0,2025-11-10,eb2512,成交量,EB
6,浙商期货,19342,-9243.0,2025-11-10,eb2512,成交量,EB
7,中信建投,16966,-2502.0,2025-11-10,eb2512,成交量,EB
8,徽商期货,14684,-10439.0,2025-11-10,eb2512,成交量,EB
9,银河期货,14628,-329.0,2025-11-10,eb2512,成交量,EB
10,广发期货,14230,-1902.0,2025-11-10,eb2512,成交量,EB
11,永安期货,11634,599.0,2025-11-10,eb2512,成交量,EB
12,中泰期货,11458,1606.0,2025-11-10,eb2512,成交量,EB
13,海通期货,10728,-1084.0,2025-11-10,eb2512,成交量,EB
14,国联期货,9110,3022.0,2025-11-10,eb2512,成交量,EB
15,申银万国,8611,552.0,2025-11-10,eb2512,成交量,EB
16,华闻期货,8338,-1109.0,2025-11-10,eb2512,成交量,EB
17,国信期货,7977,-3058.0,2025-11-10,eb2512,成交量,EB
18,宝城期货,7717,-5185.0,2025-11-10,eb2512,成交量,EB
19,方正中期,6541,-533.0,2025-11-10,eb2512,成交量,EB
20,东海期货,6136,-1673.0,2025-11-10,eb2512,成交量,EB
1,国泰君安,62456,-5705.0,2025-11-11,eb2512,成交量,EB
2,东证期货,48454,-13967.0,2025-11-11,eb2512,成交量,EB
3,中信期货,33078,-7136.0,2025-11-11,eb2512,成交量,EB
4,华泰期货,17350,-3246.0,2025-11-11,eb2512,成交量,EB
5,国投期货,16897,-7261.0,2025-11-11,eb2512,成交量,EB
6,徽商期货,16475,1791.0,2025-11-11,eb2512,成交量,EB
7,中信建投,15654,-1312.0,2025-11-11,eb2512,成交量,EB
8,银河期货,11206,-3422.0,2025-11-11,eb2512,成交量,EB
9,永安期货,10987,-647.0,2025-11-11,eb2512,成交量,EB
10,浙商期货,9999,-9343.0,2025-11-11,eb2512,成交量,EB
11,广发期货,9830,-4400.0,2025-11-11,eb2512,成交量,EB
12,中泰期货,8742,-2716.0,2025-11-11,eb2512,成交量,EB
13,海通期货,8219,-2509.0,2025-11-11,eb2512,成交量,EB
14,方正中期,7687,1146.0,2025-11-11,eb2512,成交量,EB
15,华闻期货,7272,-1066.0,2025-11-11,eb2512,成交量,EB
16,宝城期货,7197,-520.0,2025-11-11,eb2512,成交量,EB
17,国联期货,6604,-2506.0,2025-11-11,eb2512,成交量,EB
18,国信期货,5482,-2495.0,2025-11-11,eb2512,成交量,EB
19,渤海期货,5092,2232.0,2025-11-11,eb2512,成交量,EB
20,金信期货,4926,120.0,2025-11-11,eb2512,成交量,EB
1,国泰君安,68050,5594.0,2025-11-12,eb2512,成交量,EB
2,东证期货,57051,8597.0,2025-11-12,eb2512,成交量,EB
3,中信期货,36613,3535.0,2025-11-12,eb2512,成交量,EB
4,国投期货,21644,4747.0,2025-11-12,eb2512,成交量,EB
5,浙商期货,21341,11342.0,2025-11-12,eb2512,成交量,EB
6,华泰期货,19080,1730.0,2025-11-12,eb2512,成交量,EB
7,中信建投,18047,2393.0,2025-11-12,eb2512,成交量,EB
8,永安期货,17506,6519.0,2025-11-12,eb2512,成交量,EB
9,徽商期货,16811,336.0,2025-11-12,eb2512,成交量,EB
10,广发期货,15203,5373.0,2025-11-12,eb2512,成交量,EB
11,海通期货,11492,3273.0,2025-11-12,eb2512,成交量,EB
12,中泰期货,11152,2410.0,2025-11-12,eb2512,成交量,EB
13,银河期货,10636,-570.0,2025-11-12,eb2512,成交量,EB
14,国联期货,9360,2756.0,2025-11-12,eb2512,成交量,EB
15,国信期货,8807,3325.0,2025-11-12,eb2512,成交量,EB
16,宝城期货,8300,1103.0,2025-11-12,eb2512,成交量,EB
17,方正中期,8296,609.0,2025-11-12,eb2512,成交量,EB
18,华闻期货,7249,-23.0,2025-11-12,eb2512,成交量,EB
19,东海期货,6056,1841.0,2025-11-12,eb2512,成交量,EB
20,金信期货,5829,903.0,2025-11-12,eb2512,成交量,EB
