排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,东证期货,37659,4416.0,2026-06-22,eg2609,多单持仓,EG
2,国泰君安,33073,5392.0,2026-06-22,eg2609,多单持仓,EG
3,永安期货,24148,794.0,2026-06-22,eg2609,多单持仓,EG
4,申银万国,15902,-6589.0,2026-06-22,eg2609,多单持仓,EG
5,中信期货,12664,1385.0,2026-06-22,eg2609,多单持仓,EG
6,华泰期货,11950,1630.0,2026-06-22,eg2609,多单持仓,EG
7,银河期货,8401,808.0,2026-06-22,eg2609,多单持仓,EG
8,东海期货,8025,6.0,2026-06-22,eg2609,多单持仓,EG
9,创元期货,7739,-471.0,2026-06-22,eg2609,多单持仓,EG
10,浙商期货,6769,1411.0,2026-06-22,eg2609,多单持仓,EG
11,南华期货,6124,740.0,2026-06-22,eg2609,多单持仓,EG
12,中信建投,5959,733.0,2026-06-22,eg2609,多单持仓,EG
13,国海良时,5205,1237.0,2026-06-22,eg2609,多单持仓,EG
14,瑞达期货,5121,2535.0,2026-06-22,eg2609,多单持仓,EG
15,海通期货,4420,609.0,2026-06-22,eg2609,多单持仓,EG
16,东吴期货,4333,864.0,2026-06-22,eg2609,多单持仓,EG
17,广发期货,4102,-126.0,2026-06-22,eg2609,多单持仓,EG
18,中泰期货,3833,-529.0,2026-06-22,eg2609,多单持仓,EG
19,海证期货,3604,544.0,2026-06-22,eg2609,多单持仓,EG
20,物产中大,3514,4.0,2026-06-22,eg2609,多单持仓,EG
1,东证期货,36739,-920.0,2026-06-23,eg2609,多单持仓,EG
2,国泰君安,30181,-2892.0,2026-06-23,eg2609,多单持仓,EG
3,永安期货,26785,2637.0,2026-06-23,eg2609,多单持仓,EG
4,申银万国,15923,21.0,2026-06-23,eg2609,多单持仓,EG
5,中信期货,12549,-115.0,2026-06-23,eg2609,多单持仓,EG
6,华泰期货,10231,-1719.0,2026-06-23,eg2609,多单持仓,EG
7,创元期货,7955,216.0,2026-06-23,eg2609,多单持仓,EG
8,银河期货,7762,-639.0,2026-06-23,eg2609,多单持仓,EG
9,东海期货,6989,-1036.0,2026-06-23,eg2609,多单持仓,EG
10,大地期货,6527,4757.0,2026-06-23,eg2609,多单持仓,EG
11,瑞达期货,6021,900.0,2026-06-23,eg2609,多单持仓,EG
12,南华期货,5750,-374.0,2026-06-23,eg2609,多单持仓,EG
13,浙商期货,5648,-1121.0,2026-06-23,eg2609,多单持仓,EG
14,中信建投,5643,-316.0,2026-06-23,eg2609,多单持仓,EG
15,广发期货,4219,117.0,2026-06-23,eg2609,多单持仓,EG
16,海通期货,4192,-228.0,2026-06-23,eg2609,多单持仓,EG
17,国海良时,4075,-1130.0,2026-06-23,eg2609,多单持仓,EG
18,东吴期货,3872,-461.0,2026-06-23,eg2609,多单持仓,EG
19,中泰期货,3641,-192.0,2026-06-23,eg2609,多单持仓,EG
20,物产中大,3534,20.0,2026-06-23,eg2609,多单持仓,EG
1,东证期货,34547,-2192.0,2026-06-24,eg2609,多单持仓,EG
2,永安期货,27859,1074.0,2026-06-24,eg2609,多单持仓,EG
3,国泰君安,26565,-3616.0,2026-06-24,eg2609,多单持仓,EG
4,申银万国,16111,188.0,2026-06-24,eg2609,多单持仓,EG
5,中信期货,12845,296.0,2026-06-24,eg2609,多单持仓,EG
6,华泰期货,10632,401.0,2026-06-24,eg2609,多单持仓,EG
7,大地期货,10458,3931.0,2026-06-24,eg2609,多单持仓,EG
8,创元期货,8268,313.0,2026-06-24,eg2609,多单持仓,EG
9,银河期货,7735,-27.0,2026-06-24,eg2609,多单持仓,EG
10,东海期货,6089,-900.0,2026-06-24,eg2609,多单持仓,EG
11,中信建投,6041,398.0,2026-06-24,eg2609,多单持仓,EG
12,浙商期货,5964,316.0,2026-06-24,eg2609,多单持仓,EG
13,瑞达期货,5512,-509.0,2026-06-24,eg2609,多单持仓,EG
14,南华期货,5036,-714.0,2026-06-24,eg2609,多单持仓,EG
15,东吴期货,4742,870.0,2026-06-24,eg2609,多单持仓,EG
16,广发期货,4471,252.0,2026-06-24,eg2609,多单持仓,EG
17,海通期货,4152,-40.0,2026-06-24,eg2609,多单持仓,EG
18,国海良时,4129,54.0,2026-06-24,eg2609,多单持仓,EG
19,中泰期货,3931,290.0,2026-06-24,eg2609,多单持仓,EG
20,物产中大,3751,217.0,2026-06-24,eg2609,多单持仓,EG
