排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,54818,3055.0,2025-11-10,eg2601,成交量,EG
2,中信期货,53237,-708.0,2025-11-10,eg2601,成交量,EG
3,东证期货,35939,-8970.0,2025-11-10,eg2601,成交量,EG
4,国投期货,18888,-617.0,2025-11-10,eg2601,成交量,EG
5,银河期货,15586,2576.0,2025-11-10,eg2601,成交量,EG
6,华泰期货,12521,-885.0,2025-11-10,eg2601,成交量,EG
7,浙商期货,11610,-4097.0,2025-11-10,eg2601,成交量,EG
8,中信建投,11058,-1298.0,2025-11-10,eg2601,成交量,EG
9,徽商期货,9326,-3336.0,2025-11-10,eg2601,成交量,EG
10,广发期货,8734,-3865.0,2025-11-10,eg2601,成交量,EG
11,华闻期货,7999,-5703.0,2025-11-10,eg2601,成交量,EG
12,永安期货,6544,971.0,2025-11-10,eg2601,成交量,EG
13,中财期货,6114,1862.0,2025-11-10,eg2601,成交量,EG
14,宝城期货,6077,-687.0,2025-11-10,eg2601,成交量,EG
15,东吴期货,5868,-1472.0,2025-11-10,eg2601,成交量,EG
16,创元期货,5312,-4528.0,2025-11-10,eg2601,成交量,EG
17,国联期货,4941,-2566.0,2025-11-10,eg2601,成交量,EG
18,海通期货,4922,-2559.0,2025-11-10,eg2601,成交量,EG
19,方正中期,4871,-2064.0,2025-11-10,eg2601,成交量,EG
20,招商期货,4790,-1926.0,2025-11-10,eg2601,成交量,EG
1,国泰君安,43252,-11566.0,2025-11-11,eg2601,成交量,EG
2,中信期货,40579,-12658.0,2025-11-11,eg2601,成交量,EG
3,东证期货,29625,-6314.0,2025-11-11,eg2601,成交量,EG
4,国投期货,11585,-7303.0,2025-11-11,eg2601,成交量,EG
5,银河期货,10976,-4610.0,2025-11-11,eg2601,成交量,EG
6,华泰期货,8511,-4010.0,2025-11-11,eg2601,成交量,EG
7,徽商期货,7860,-1466.0,2025-11-11,eg2601,成交量,EG
8,华闻期货,7708,-291.0,2025-11-11,eg2601,成交量,EG
9,广发期货,7607,-1127.0,2025-11-11,eg2601,成交量,EG
10,永安期货,7201,657.0,2025-11-11,eg2601,成交量,EG
11,东吴期货,5502,-366.0,2025-11-11,eg2601,成交量,EG
12,中信建投,5269,-5789.0,2025-11-11,eg2601,成交量,EG
13,浙商期货,5193,-6417.0,2025-11-11,eg2601,成交量,EG
14,国联期货,5129,188.0,2025-11-11,eg2601,成交量,EG
15,中泰期货,4950,497.0,2025-11-11,eg2601,成交量,EG
16,方正中期,4938,67.0,2025-11-11,eg2601,成交量,EG
17,宝城期货,4819,-1258.0,2025-11-11,eg2601,成交量,EG
18,创元期货,4540,-772.0,2025-11-11,eg2601,成交量,EG
19,招商期货,4325,-465.0,2025-11-11,eg2601,成交量,EG
20,国贸期货,4015,1425.0,2025-11-11,eg2601,成交量,EG
1,中信期货,42639,2060.0,2025-11-12,eg2601,成交量,EG
2,国泰君安,41499,-1753.0,2025-11-12,eg2601,成交量,EG
3,东证期货,38648,9023.0,2025-11-12,eg2601,成交量,EG
4,国投期货,16769,5184.0,2025-11-12,eg2601,成交量,EG
5,徽商期货,10637,2777.0,2025-11-12,eg2601,成交量,EG
6,华闻期货,10571,2863.0,2025-11-12,eg2601,成交量,EG
7,中信建投,8938,3669.0,2025-11-12,eg2601,成交量,EG
8,华泰期货,8478,-33.0,2025-11-12,eg2601,成交量,EG
9,银河期货,8197,-2779.0,2025-11-12,eg2601,成交量,EG
10,浙商期货,8185,2992.0,2025-11-12,eg2601,成交量,EG
11,永安期货,7688,487.0,2025-11-12,eg2601,成交量,EG
12,广发期货,7210,-397.0,2025-11-12,eg2601,成交量,EG
13,申银万国,7207,3369.0,2025-11-12,eg2601,成交量,EG
14,国联期货,6250,1121.0,2025-11-12,eg2601,成交量,EG
15,东吴期货,5354,-148.0,2025-11-12,eg2601,成交量,EG
16,招商期货,5350,1025.0,2025-11-12,eg2601,成交量,EG
17,创元期货,5001,461.0,2025-11-12,eg2601,成交量,EG
18,中泰期货,4953,3.0,2025-11-12,eg2601,成交量,EG
19,方正中期,4531,-407.0,2025-11-12,eg2601,成交量,EG
20,东海期货,4254,592.0,2025-11-12,eg2601,成交量,EG
