排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,450585,-172027.0,2025-11-06,FG2601,成交量,FG
2,东证期货,225709,-69915.0,2025-11-06,FG2601,成交量,FG
3,中信期货,213229,-81091.0,2025-11-06,FG2601,成交量,FG
4,海通期货,112692,-11711.0,2025-11-06,FG2601,成交量,FG
5,大地期货,104962,66927.0,2025-11-06,FG2601,成交量,FG
6,中信建投,92296,-41574.0,2025-11-06,FG2601,成交量,FG
7,中泰期货,87899,-28176.0,2025-11-06,FG2601,成交量,FG
8,银河期货,87509,-12954.0,2025-11-06,FG2601,成交量,FG
9,华泰期货,82096,-44534.0,2025-11-06,FG2601,成交量,FG
10,光大期货,78326,-23684.0,2025-11-06,FG2601,成交量,FG
11,南华期货,73375,6293.0,2025-11-06,FG2601,成交量,FG
12,冠通期货,72925,31024.0,2025-11-06,FG2601,成交量,FG
13,徽商期货,67387,-26966.0,2025-11-06,FG2601,成交量,FG
14,方正中期,65197,-71678.0,2025-11-06,FG2601,成交量,FG
15,华闻期货,64756,-13711.0,2025-11-06,FG2601,成交量,FG
16,永安期货,54588,-1954.0,2025-11-06,FG2601,成交量,FG
17,广发期货,51878,-31948.0,2025-11-06,FG2601,成交量,FG
18,申银万国,50137,-17536.0,2025-11-06,FG2601,成交量,FG
19,国金期货,48152,16392.0,2025-11-06,FG2601,成交量,FG
20,新湖期货,45747,-5435.0,2025-11-06,FG2601,成交量,FG
1,国泰君安,359030,-91555.0,2025-11-07,FG2601,成交量,FG
2,中信期货,190700,-22529.0,2025-11-07,FG2601,成交量,FG
3,东证期货,186813,-38896.0,2025-11-07,FG2601,成交量,FG
4,方正中期,96482,31285.0,2025-11-07,FG2601,成交量,FG
5,中信建投,86455,-5841.0,2025-11-07,FG2601,成交量,FG
6,银河期货,79410,-8099.0,2025-11-07,FG2601,成交量,FG
7,海通期货,77937,-34755.0,2025-11-07,FG2601,成交量,FG
8,中泰期货,71951,-15948.0,2025-11-07,FG2601,成交量,FG
9,光大期货,70424,-7902.0,2025-11-07,FG2601,成交量,FG
10,华泰期货,65260,-16836.0,2025-11-07,FG2601,成交量,FG
11,徽商期货,49523,-17864.0,2025-11-07,FG2601,成交量,FG
12,南华期货,48686,-24689.0,2025-11-07,FG2601,成交量,FG
13,华闻期货,48326,-16430.0,2025-11-07,FG2601,成交量,FG
14,瑞达期货,40989,1074.0,2025-11-07,FG2601,成交量,FG
15,平安期货,40416,5245.0,2025-11-07,FG2601,成交量,FG
16,广发期货,40375,-11503.0,2025-11-07,FG2601,成交量,FG
17,冠通期货,36615,-36310.0,2025-11-07,FG2601,成交量,FG
18,新湖期货,36324,-9423.0,2025-11-07,FG2601,成交量,FG
19,国金期货,34276,-13876.0,2025-11-07,FG2601,成交量,FG
20,国信期货,32343,-12851.0,2025-11-07,FG2601,成交量,FG
1,国泰君安,622694,263664.0,2025-11-10,FG2601,成交量,FG
2,中信期货,376989,186289.0,2025-11-10,FG2601,成交量,FG
