排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,24791,488.0,2026-06-22,fu2609,多单持仓,FU
2,中信期货,16450,-791.0,2026-06-22,fu2609,多单持仓,FU
3,东证期货,14561,-4357.0,2026-06-22,fu2609,多单持仓,FU
4,申万期货,11845,-89.0,2026-06-22,fu2609,多单持仓,FU
5,银河期货,7347,-1027.0,2026-06-22,fu2609,多单持仓,FU
6,永安期货,6580,-4997.0,2026-06-22,fu2609,多单持仓,FU
7,中信建投,6451,-672.0,2026-06-22,fu2609,多单持仓,FU
8,华泰期货,6381,-118.0,2026-06-22,fu2609,多单持仓,FU
9,海通期货,6109,-782.0,2026-06-22,fu2609,多单持仓,FU
10,广发期货,6025,-388.0,2026-06-22,fu2609,多单持仓,FU
11,东方财富,5376,-438.0,2026-06-22,fu2609,多单持仓,FU
12,平安期货,5006,272.0,2026-06-22,fu2609,多单持仓,FU
13,高盛期货,4962,-91.0,2026-06-22,fu2609,多单持仓,FU
14,方正中期,4496,-573.0,2026-06-22,fu2609,多单持仓,FU
15,瑞银期货,4177,0.0,2026-06-22,fu2609,多单持仓,FU
16,光大期货,3810,-93.0,2026-06-22,fu2609,多单持仓,FU
17,东吴期货,3662,-192.0,2026-06-22,fu2609,多单持仓,FU
18,中银期货,3573,2507.0,2026-06-22,fu2609,多单持仓,FU
19,中泰期货,3463,-713.0,2026-06-22,fu2609,多单持仓,FU
20,国信期货,3445,-318.0,2026-06-22,fu2609,多单持仓,FU
1,国泰君安,23082,-1709.0,2026-06-23,fu2609,多单持仓,FU
2,中信期货,17640,1190.0,2026-06-23,fu2609,多单持仓,FU
3,东证期货,12093,-2468.0,2026-06-23,fu2609,多单持仓,FU
4,申万期货,11945,100.0,2026-06-23,fu2609,多单持仓,FU
5,银河期货,7683,336.0,2026-06-23,fu2609,多单持仓,FU
6,永安期货,7021,441.0,2026-06-23,fu2609,多单持仓,FU
7,中信建投,6741,290.0,2026-06-23,fu2609,多单持仓,FU
8,广发期货,6577,552.0,2026-06-23,fu2609,多单持仓,FU
9,海通期货,6267,158.0,2026-06-23,fu2609,多单持仓,FU
10,华泰期货,6246,-135.0,2026-06-23,fu2609,多单持仓,FU
11,东方财富,5592,216.0,2026-06-23,fu2609,多单持仓,FU
12,平安期货,5508,502.0,2026-06-23,fu2609,多单持仓,FU
13,方正中期,4544,48.0,2026-06-23,fu2609,多单持仓,FU
14,中银期货,4511,938.0,2026-06-23,fu2609,多单持仓,FU
15,东吴期货,3852,190.0,2026-06-23,fu2609,多单持仓,FU
16,高盛期货,3819,-1143.0,2026-06-23,fu2609,多单持仓,FU
17,徽商期货,3704,457.0,2026-06-23,fu2609,多单持仓,FU
18,中泰期货,3663,200.0,2026-06-23,fu2609,多单持仓,FU
19,瑞银期货,3632,-545.0,2026-06-23,fu2609,多单持仓,FU
20,光大期货,3625,-185.0,2026-06-23,fu2609,多单持仓,FU
1,国泰君安,23608,526.0,2026-06-24,fu2609,多单持仓,FU
2,中信期货,17903,263.0,2026-06-24,fu2609,多单持仓,FU
3,东证期货,12621,528.0,2026-06-24,fu2609,多单持仓,FU
4,申万期货,11930,-15.0,2026-06-24,fu2609,多单持仓,FU
5,银河期货,8351,668.0,2026-06-24,fu2609,多单持仓,FU
6,海通期货,6835,568.0,2026-06-24,fu2609,多单持仓,FU
7,永安期货,6824,-197.0,2026-06-24,fu2609,多单持仓,FU
8,广发期货,6395,-182.0,2026-06-24,fu2609,多单持仓,FU
9,中信建投,6028,-713.0,2026-06-24,fu2609,多单持仓,FU
10,华泰期货,5971,-275.0,2026-06-24,fu2609,多单持仓,FU
11,方正中期,4855,311.0,2026-06-24,fu2609,多单持仓,FU
12,平安期货,4596,-912.0,2026-06-24,fu2609,多单持仓,FU
13,东方财富,4366,-1226.0,2026-06-24,fu2609,多单持仓,FU
14,东吴期货,3755,-97.0,2026-06-24,fu2609,多单持仓,FU
15,大地期货,3705,3067.0,2026-06-24,fu2609,多单持仓,FU
16,光大期货,3637,12.0,2026-06-24,fu2609,多单持仓,FU
17,中泰期货,3447,-216.0,2026-06-24,fu2609,多单持仓,FU
18,国联期货,3385,958.0,2026-06-24,fu2609,多单持仓,FU
19,徽商期货,3348,-356.0,2026-06-24,fu2609,多单持仓,FU
20,瑞达期货,3025,973.0,2026-06-24,fu2609,多单持仓,FU
1,国泰君安,19880,-3728.0,2026-06-25,fu2609,多单持仓,FU
2,东证期货,18252,5631.0,2026-06-25,fu2609,多单持仓,FU
3,中信期货,13995,-3908.0,2026-06-25,fu2609,多单持仓,FU
4,广发期货,8788,2393.0,2026-06-25,fu2609,多单持仓,FU
5,银河期货,7598,-753.0,2026-06-25,fu2609,多单持仓,FU
6,海通期货,6583,-252.0,2026-06-25,fu2609,多单持仓,FU
7,中信建投,6133,105.0,2026-06-25,fu2609,多单持仓,FU
8,东方财富,5833,1467.0,2026-06-25,fu2609,多单持仓,FU
9,永安期货,5702,-1122.0,2026-06-25,fu2609,多单持仓,FU
10,方正中期,5643,788.0,2026-06-25,fu2609,多单持仓,FU
11,申万期货,5515,-6415.0,2026-06-25,fu2609,多单持仓,FU
12,华泰期货,4997,-974.0,2026-06-25,fu2609,多单持仓,FU
13,平安期货,4534,-62.0,2026-06-25,fu2609,多单持仓,FU
14,徽商期货,4037,689.0,2026-06-25,fu2609,多单持仓,FU
15,东吴期货,3635,-120.0,2026-06-25,fu2609,多单持仓,FU
