排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,32247,-5277.0,2026-06-22,fu2609,空单持仓,FU
2,中信期货,26837,-5884.0,2026-06-22,fu2609,空单持仓,FU
3,东证期货,16077,-1823.0,2026-06-22,fu2609,空单持仓,FU
4,银河期货,11496,-663.0,2026-06-22,fu2609,空单持仓,FU
5,永安期货,9472,-341.0,2026-06-22,fu2609,空单持仓,FU
6,中信建投,6957,-2014.0,2026-06-22,fu2609,空单持仓,FU
7,华泰期货,6649,-626.0,2026-06-22,fu2609,空单持仓,FU
8,瑞达期货,6484,178.0,2026-06-22,fu2609,空单持仓,FU
9,海通期货,6027,-824.0,2026-06-22,fu2609,空单持仓,FU
10,中银期货,5398,-6916.0,2026-06-22,fu2609,空单持仓,FU
11,方正中期,5096,-5.0,2026-06-22,fu2609,空单持仓,FU
12,广发期货,4058,-321.0,2026-06-22,fu2609,空单持仓,FU
13,中金财富,4048,-154.0,2026-06-22,fu2609,空单持仓,FU
14,国信期货,3786,37.0,2026-06-22,fu2609,空单持仓,FU
15,高盛期货,3509,-186.0,2026-06-22,fu2609,空单持仓,FU
16,国投期货,3456,-37.0,2026-06-22,fu2609,空单持仓,FU
17,东吴期货,3282,-35.0,2026-06-22,fu2609,空单持仓,FU
18,中辉期货,3193,193.0,2026-06-22,fu2609,空单持仓,FU
19,光大期货,3178,257.0,2026-06-22,fu2609,空单持仓,FU
20,中泰期货,2954,-432.0,2026-06-22,fu2609,空单持仓,FU
1,国泰君安,32898,651.0,2026-06-23,fu2609,空单持仓,FU
2,中信期货,25494,-1343.0,2026-06-23,fu2609,空单持仓,FU
3,东证期货,19402,3325.0,2026-06-23,fu2609,空单持仓,FU
4,银河期货,12026,530.0,2026-06-23,fu2609,空单持仓,FU
5,永安期货,8470,-1002.0,2026-06-23,fu2609,空单持仓,FU
6,华泰期货,7027,378.0,2026-06-23,fu2609,空单持仓,FU
7,瑞达期货,6802,318.0,2026-06-23,fu2609,空单持仓,FU
8,中信建投,6295,-662.0,2026-06-23,fu2609,空单持仓,FU
9,中银期货,6268,870.0,2026-06-23,fu2609,空单持仓,FU
10,海通期货,6122,95.0,2026-06-23,fu2609,空单持仓,FU
11,中金财富,4573,525.0,2026-06-23,fu2609,空单持仓,FU
12,广发期货,4497,439.0,2026-06-23,fu2609,空单持仓,FU
13,高盛期货,4394,885.0,2026-06-23,fu2609,空单持仓,FU
