排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,166036,4071.0,2025-11-06,hc2601,多单持仓,HC
2,中信期货,115188,1790.0,2025-11-06,hc2601,多单持仓,HC
3,永安期货,85243,-1993.0,2025-11-06,hc2601,多单持仓,HC
4,光大期货,79876,-2213.0,2025-11-06,hc2601,多单持仓,HC
5,五矿期货,65835,-1248.0,2025-11-06,hc2601,多单持仓,HC
6,银河期货,52129,-1800.0,2025-11-06,hc2601,多单持仓,HC
7,华泰期货,39517,-213.0,2025-11-06,hc2601,多单持仓,HC
8,中泰期货,35097,-24.0,2025-11-06,hc2601,多单持仓,HC
9,东证期货,33871,118.0,2025-11-06,hc2601,多单持仓,HC
10,瑞达期货,33175,2073.0,2025-11-06,hc2601,多单持仓,HC
11,国贸期货,31759,-180.0,2025-11-06,hc2601,多单持仓,HC
12,乾坤期货,30562,-5741.0,2025-11-06,hc2601,多单持仓,HC
13,物产中大,27681,-259.0,2025-11-06,hc2601,多单持仓,HC
14,平安期货,22708,50.0,2025-11-06,hc2601,多单持仓,HC
15,方正中期,19559,58.0,2025-11-06,hc2601,多单持仓,HC
16,中辉期货,19197,-289.0,2025-11-06,hc2601,多单持仓,HC
17,中银期货,19020,195.0,2025-11-06,hc2601,多单持仓,HC
18,一德期货,17785,-127.0,2025-11-06,hc2601,多单持仓,HC
19,中金财富,17600,500.0,2025-11-06,hc2601,多单持仓,HC
20,兴证期货,16722,-185.0,2025-11-06,hc2601,多单持仓,HC
1,国泰君安,167966,1930.0,2025-11-07,hc2601,多单持仓,HC
2,中信期货,113677,-1511.0,2025-11-07,hc2601,多单持仓,HC
3,永安期货,86926,1683.0,2025-11-07,hc2601,多单持仓,HC
4,光大期货,74903,-4973.0,2025-11-07,hc2601,多单持仓,HC
5,五矿期货,66655,820.0,2025-11-07,hc2601,多单持仓,HC
6,银河期货,51947,-182.0,2025-11-07,hc2601,多单持仓,HC
7,华泰期货,38936,-581.0,2025-11-07,hc2601,多单持仓,HC
8,中泰期货,35509,412.0,2025-11-07,hc2601,多单持仓,HC
9,东证期货,34195,324.0,2025-11-07,hc2601,多单持仓,HC
10,瑞达期货,33110,-65.0,2025-11-07,hc2601,多单持仓,HC
11,乾坤期货,31567,1005.0,2025-11-07,hc2601,多单持仓,HC
12,国贸期货,29574,-2185.0,2025-11-07,hc2601,多单持仓,HC
13,物产中大,27484,-197.0,2025-11-07,hc2601,多单持仓,HC
14,平安期货,21733,-975.0,2025-11-07,hc2601,多单持仓,HC
15,方正中期,20783,1224.0,2025-11-07,hc2601,多单持仓,HC
16,中辉期货,19629,432.0,2025-11-07,hc2601,多单持仓,HC
17,中银期货,19018,-2.0,2025-11-07,hc2601,多单持仓,HC
18,一德期货,18227,442.0,2025-11-07,hc2601,多单持仓,HC
19,中金财富,17765,165.0,2025-11-07,hc2601,多单持仓,HC
20,兴证期货,16683,-39.0,2025-11-07,hc2601,多单持仓,HC
1,国泰君安,170762,2796.0,2025-11-10,hc2601,多单持仓,HC
2,中信期货,108244,-5433.0,2025-11-10,hc2601,多单持仓,HC
3,永安期货,84340,-2586.0,2025-11-10,hc2601,多单持仓,HC
4,光大期货,75299,396.0,2025-11-10,hc2601,多单持仓,HC
5,五矿期货,63050,-3605.0,2025-11-10,hc2601,多单持仓,HC
6,银河期货,50895,-1052.0,2025-11-10,hc2601,多单持仓,HC
7,华泰期货,38951,15.0,2025-11-10,hc2601,多单持仓,HC
8,东证期货,37159,2964.0,2025-11-10,hc2601,多单持仓,HC
9,中泰期货,34976,-533.0,2025-11-10,hc2601,多单持仓,HC
10,瑞达期货,33582,472.0,2025-11-10,hc2601,多单持仓,HC
11,乾坤期货,30268,-1299.0,2025-11-10,hc2601,多单持仓,HC
12,国贸期货,29886,312.0,2025-11-10,hc2601,多单持仓,HC
13,物产中大,28303,819.0,2025-11-10,hc2601,多单持仓,HC
14,平安期货,22105,372.0,2025-11-10,hc2601,多单持仓,HC
15,方正中期,21251,468.0,2025-11-10,hc2601,多单持仓,HC
