排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,231830,-12684.0,2026-06-22,hc2610,空单持仓,HC
2,永安期货,100770,3901.0,2026-06-22,hc2610,空单持仓,HC
3,银河期货,91095,2416.0,2026-06-22,hc2610,空单持仓,HC
4,国贸期货,89493,-5290.0,2026-06-22,hc2610,空单持仓,HC
5,中信期货,86670,4400.0,2026-06-22,hc2610,空单持仓,HC
6,东证期货,71860,-2829.0,2026-06-22,hc2610,空单持仓,HC
7,华闻期货,34505,393.0,2026-06-22,hc2610,空单持仓,HC
8,南华期货,34088,127.0,2026-06-22,hc2610,空单持仓,HC
9,瑞达期货,33742,469.0,2026-06-22,hc2610,空单持仓,HC
10,华泰期货,33429,915.0,2026-06-22,hc2610,空单持仓,HC
11,浙商期货,33355,2032.0,2026-06-22,hc2610,空单持仓,HC
12,五矿期货,28622,-2203.0,2026-06-22,hc2610,空单持仓,HC
13,中泰期货,26914,-1476.0,2026-06-22,hc2610,空单持仓,HC
14,宝城期货,25924,-172.0,2026-06-22,hc2610,空单持仓,HC
15,一德期货,25869,-1557.0,2026-06-22,hc2610,空单持仓,HC
16,光大期货,23949,-563.0,2026-06-22,hc2610,空单持仓,HC
17,宏源期货,22191,2692.0,2026-06-22,hc2610,空单持仓,HC
18,海通期货,21055,-4296.0,2026-06-22,hc2610,空单持仓,HC
19,物产中大,20883,-6844.0,2026-06-22,hc2610,空单持仓,HC
20,方正中期,20841,-923.0,2026-06-22,hc2610,空单持仓,HC
1,国泰君安,224043,-7787.0,2026-06-23,hc2610,空单持仓,HC
2,永安期货,99917,-853.0,2026-06-23,hc2610,空单持仓,HC
3,银河期货,89270,-1825.0,2026-06-23,hc2610,空单持仓,HC
4,中信期货,86536,-134.0,2026-06-23,hc2610,空单持仓,HC
5,国贸期货,85330,-4163.0,2026-06-23,hc2610,空单持仓,HC
6,东证期货,71477,-383.0,2026-06-23,hc2610,空单持仓,HC
7,华泰期货,37011,3582.0,2026-06-23,hc2610,空单持仓,HC
8,瑞达期货,33871,129.0,2026-06-23,hc2610,空单持仓,HC
9,华闻期货,33772,-733.0,2026-06-23,hc2610,空单持仓,HC
10,浙商期货,32706,-649.0,2026-06-23,hc2610,空单持仓,HC
11,南华期货,32259,-1829.0,2026-06-23,hc2610,空单持仓,HC
12,五矿期货,27273,-1349.0,2026-06-23,hc2610,空单持仓,HC
